r,t,m,y,TechnologyActivityChangeByModeCostTotal
REGION1,LNDAGRAMHC02,56,2025,3.2468
REGION1,LNDAGRAMHC02,56,2026,3.3449
REGION1,LNDAGRAMHC02,56,2027,2.6752
REGION1,LNDAGRAMHC02,56,2028,2.8567
REGION1,LNDAGRAMHC02,56,2029,3.0203
REGION1,LNDAGRAMHC02,56,2030,2.6826
REGION1,LNDAGRBENC01,55,2019,0.0308
REGION1,LNDAGRBENC01,55,2020,0.0067
REGION1,LNDAGRBENC01,55,2021,0.0057
REGION1,LNDAGRBENC01,55,2022,0.0045
REGION1,LNDAGRBENC01,55,2023,0.0024
REGION1,LNDAGRBENC01,55,2024,0.0002
REGION1,LNDAGRBENC01,55,2028,0.032
REGION1,LNDAGRBENC01,55,2029,0.0296
REGION1,LNDAGRBENC01,55,2030,0.0268
REGION1,LNDAGRBENC02,55,2020,0.1188
REGION1,LNDAGRBENC02,55,2021,0.1177
REGION1,LNDAGRBENC02,55,2022,0.0698
REGION1,LNDAGRBENC03,55,2023,0.0869
REGION1,LNDAGRBENC03,55,2024,0.0953
REGION1,LNDAGRBENC03,55,2025,0.1045
REGION1,LNDAGRBENC03,55,2026,0.1094
REGION1,LNDAGRBENC03,55,2027,0.1134
REGION1,LNDAGRBENC03,55,2028,0.091
REGION1,LNDAGRBENC03,55,2029,0.1037
REGION1,LNDAGRBENC03,55,2030,2.104
REGION1,LNDAGRBENC03,56,2019,0.0824
REGION1,LNDAGRBENC03,56,2020,0.0912
REGION1,LNDAGRBENC03,56,2021,0.0718
REGION1,LNDAGRBENC03,56,2022,0.0061
REGION1,LNDAGRBENC03,56,2030,2.0159
REGION1,LNDAGRGAMC01,55,2027,0.0002
REGION1,LNDAGRGAMC01,55,2028,0.0011
REGION1,LNDAGRGAMC01,55,2029,0.0074
REGION1,LNDAGRGAMC01,55,2030,0.0697
REGION1,LNDAGRGAMC01,56,2019,0.0466
REGION1,LNDAGRGAMC01,56,2020,0.0524
REGION1,LNDAGRGAMC01,56,2021,0.0437
REGION1,LNDAGRGAMC01,56,2022,0.0364
REGION1,LNDAGRGAMC01,56,2023,0.0276
