r,e,y,AnnualEmissions
REGION1,CO2COA,2015,1.1849
REGION1,CO2COA,2016,1.1849
REGION1,CO2COA,2017,1.2307
REGION1,CO2COA,2018,1.2764
REGION1,CO2COA,2019,1.3213
REGION1,CO2COA,2020,1.3661
REGION1,CO2COA,2021,1.4494
REGION1,CO2COA,2022,1.5299
REGION1,CO2COA,2023,1.6086
REGION1,CO2COA,2024,1.6854
REGION1,CO2COA,2025,1.7605
REGION1,CO2COA,2026,1.8346
REGION1,CO2COA,2027,1.9069
REGION1,CO2COA,2028,1.9782
REGION1,CO2COA,2029,2.0496
REGION1,CO2COA,2030,2.1191
REGION1,CO2PET,2015,9.2615
REGION1,CO2PET,2016,9.265
REGION1,CO2PET,2017,9.6309
REGION1,CO2PET,2018,9.994
REGION1,CO2PET,2019,10.3564
REGION1,CO2PET,2020,10.7122
REGION1,CO2PET,2021,11.3729
REGION1,CO2PET,2022,12.0153
REGION1,CO2PET,2023,12.6368
REGION1,CO2PET,2024,13.2463
REGION1,CO2PET,2025,13.8383
REGION1,CO2PET,2026,14.4211
REGION1,CO2PET,2027,14.9947
REGION1,CO2PET,2028,15.5586
REGION1,CO2PET,2029,16.1133
REGION1,CO2PET,2030,16.6639
