r,t,e,m,y,AnnualTechnologyEmissionByMode
REGION1,DEMAGRDSL,CO2PET,1,2015,0.4515
REGION1,DEMAGRDSL,CO2PET,1,2016,0.4551
REGION1,DEMAGRDSL,CO2PET,1,2017,0.4798
REGION1,DEMAGRDSL,CO2PET,1,2018,0.5054
REGION1,DEMAGRDSL,CO2PET,1,2019,0.5315
REGION1,DEMAGRDSL,CO2PET,1,2020,0.5559
REGION1,DEMAGRDSL,CO2PET,1,2021,0.5985
REGION1,DEMAGRDSL,CO2PET,1,2022,0.6394
REGION1,DEMAGRDSL,CO2PET,1,2023,0.6787
REGION1,DEMAGRDSL,CO2PET,1,2024,0.7156
REGION1,DEMAGRDSL,CO2PET,1,2025,0.7502
REGION1,DEMAGRDSL,CO2PET,1,2026,0.7831
REGION1,DEMAGRDSL,CO2PET,1,2027,0.8158
REGION1,DEMAGRDSL,CO2PET,1,2028,0.8478
REGION1,DEMAGRDSL,CO2PET,1,2029,0.8789
REGION1,DEMAGRDSL,CO2PET,1,2030,0.9099
REGION1,DEMCOMDSL,CO2PET,1,2015,0.1649
REGION1,DEMCOMDSL,CO2PET,1,2016,0.1649
REGION1,DEMCOMDSL,CO2PET,1,2017,0.1711
REGION1,DEMCOMDSL,CO2PET,1,2018,0.1773
REGION1,DEMCOMDSL,CO2PET,1,2019,0.1842
REGION1,DEMCOMDSL,CO2PET,1,2020,0.1904
REGION1,DEMCOMDSL,CO2PET,1,2021,0.2015
REGION1,DEMCOMDSL,CO2PET,1,2022,0.2132
REGION1,DEMCOMDSL,CO2PET,1,2023,0.2236
REGION1,DEMCOMDSL,CO2PET,1,2024,0.2346
REGION1,DEMCOMDSL,CO2PET,1,2025,0.245
REGION1,DEMCOMDSL,CO2PET,1,2026,0.2553
REGION1,DEMCOMDSL,CO2PET,1,2027,0.2656
REGION1,DEMCOMDSL,CO2PET,1,2028,0.2753
REGION1,DEMCOMDSL,CO2PET,1,2029,0.285
REGION1,DEMCOMDSL,CO2PET,1,2030,0.2946
REGION1,DEMINDCOA,CO2COA,1,2015,1.1849
REGION1,DEMINDCOA,CO2COA,1,2016,1.1849
REGION1,DEMINDCOA,CO2COA,1,2017,1.2307
REGION1,DEMINDCOA,CO2COA,1,2018,1.2764
REGION1,DEMINDCOA,CO2COA,1,2019,1.3213
REGION1,DEMINDCOA,CO2COA,1,2020,1.3661
REGION1,DEMINDCOA,CO2COA,1,2021,1.4494
REGION1,DEMINDCOA,CO2COA,1,2022,1.5299
REGION1,DEMINDCOA,CO2COA,1,2023,1.6086
REGION1,DEMINDCOA,CO2COA,1,2024,1.6854
REGION1,DEMINDCOA,CO2COA,1,2025,1.7605
REGION1,DEMINDCOA,CO2COA,1,2026,1.8346
REGION1,DEMINDCOA,CO2COA,1,2027,1.9069
REGION1,DEMINDCOA,CO2COA,1,2028,1.9782
REGION1,DEMINDCOA,CO2COA,1,2029,2.0496
REGION1,DEMINDCOA,CO2COA,1,2030,2.1191
REGION1,DEMINDDSL,CO2PET,1,2015,1.4097
REGION1,DEMINDDSL,CO2PET,1,2016,1.4097
REGION1,DEMINDDSL,CO2PET,1,2017,1.4642
REGION1,DEMINDDSL,CO2PET,1,2018,1.518
REGION1,DEMINDDSL,CO2PET,1,2019,1.5718
REGION1,DEMINDDSL,CO2PET,1,2020,1.6249
REGION1,DEMINDDSL,CO2PET,1,2021,1.7243
REGION1,DEMINDDSL,CO2PET,1,2022,1.8202
REGION1,DEMINDDSL,CO2PET,1,2023,1.9134
REGION1,DEMINDDSL,CO2PET,1,2024,2.0051
REGION1,DEMINDDSL,CO2PET,1,2025,2.0942
