r,t,TotalTechnologyModelPeriodActivity
REGION1,DEMAGRDSL,153.579
REGION1,DEMAGRELC002,3.4497
REGION1,DEMAGRGWTETH,199.4071
REGION1,DEMCOMBIO,339.69
REGION1,DEMCOMDSL,51.4
REGION1,DEMCOMELC002,249.6798
REGION1,DEMINDCOA,278.54
REGION1,DEMINDDSL,439.4
REGION1,DEMINDELC002,316.3597
REGION1,DEMINDHFO,64.75
REGION1,DEMINDOHC,242.18
REGION1,DEMOTHDSL,120.66
REGION1,DEMOTHOHC,85.61
REGION1,DEMPUBSURETH,19.16
REGION1,DEMPWRBIO,3.5581
REGION1,DEMPWRGEO,98.0417
REGION1,DEMPWRHYD,1114.4882
REGION1,DEMPWRSOL,65.2518
REGION1,DEMPWRWND,35.8767
REGION1,DEMRESBIO,33759.57
REGION1,DEMRESELC002,344.2397
REGION1,DEMRESKER,241.3
REGION1,DEMRESLPG,7.1
REGION1,DEMTRADSL,1126.59
REGION1,DEMTRAGSL,299.82
REGION1,DEMTRAOHC,71.2
REGION1,EXPELC002,320.0963
REGION1,IMPCOA,278.54
REGION1,IMPDSL,1891.629
REGION1,IMPGSL,299.82
REGION1,IMPHFO,64.75
REGION1,IMPKER,241.3
REGION1,IMPLPG,7.1
REGION1,IMPOHC,398.99
REGION1,LNDAGRETHC01,437.92
REGION1,LNDAGRETHC02,3065.76
REGION1,LNDAGRETHC03,3537.92
REGION1,LNDAGRETHC04,3908.8
REGION1,LNDAGRETHC05,1548.0
REGION1,LNDAGRETHC06,2685.28
REGION1,LNDAGRETHC07,919.68
REGION1,LNDAGRETHC08,2218.56
REGION1,LNDBARETH,1401.28
REGION1,LNDBLTETH,482.67
REGION1,LNDCP01HIETH,1.1129
REGION1,LNDCP01HRETH,13.5436
REGION1,LNDCP01IIETH,1.2287
REGION1,LNDCP01IRETH,46.9144
REGION1,LNDCP01LRETH,89.6107
REGION1,LNDCP02HIETH,50.3789
REGION1,LNDCP02HRETH,32.9817
REGION1,LNDCP02IIETH,42.9804
REGION1,LNDCP02IRETH,43.261
REGION1,LNDCP02LRETH,166.099
REGION1,LNDCP03HIETH,10.0849
REGION1,LNDCP03HRETH,48.8466
REGION1,LNDCP03IIETH,7.5545
REGION1,LNDCP03IRETH,58.2177
REGION1,LNDCP03LRETH,162.3254
REGION1,LNDCP04HIETH,3.1703
REGION1,LNDCP04IIETH,1.9931
REGION1,LNDCP04LRETH,0.4576
REGION1,LNDCP05HIETH,6.7975
REGION1,LNDCP05HRETH,18.2682
REGION1,LNDCP05IIETH,1.0785
REGION1,LNDCP05IRETH,5.4987
REGION1,LNDCP05LRETH,1.4458
REGION1,LNDCP06HIETH,3.343
REGION1,LNDCP06HRETH,416.0483
REGION1,LNDCP06LRETH,157.2267
REGION1,LNDCP07HIETH,3.3017
REGION1,LNDCP07HRETH,22.9667
REGION1,LNDCP07IIETH,4.1765
REGION1,LNDCP07IRETH,88.696
REGION1,LNDCP07LRETH,156.3121
REGION1,LNDCP08HIETH,152.2666
REGION1,LNDCP08HRETH,123.5086
REGION1,LNDCP08IIETH,93.8402
REGION1,LNDCP08IRETH,177.8934
REGION1,LNDCP08LRETH,401.1177
REGION1,LNDFORETH,1358.5844
REGION1,LNDGRSETH,12596.28
REGION1,LNDWATETH,125.92
REGION1,MINGWTETH,199.4071
REGION1,MINLNDETH,18579.282
REGION1,MINPRCETH,15648.626
REGION1,PWRBIO001,1.8701
REGION1,PWRBIO002,0.2647
REGION1,PWRGEO001,1.7326
REGION1,PWRGEO002,28.9064
REGION1,PWRGEO003,31.1109
REGION1,PWRHYD001,1.801
REGION1,PWRHYD002,0.0611
REGION1,PWRHYD003,5.3861
REGION1,PWRHYD004,6.3106
REGION1,PWRHYD005,0.545
REGION1,PWRHYD006,4.847
REGION1,PWRHYD007,3.0964
REGION1,PWRHYD008,3.0421
REGION1,PWRHYD009,39.7499
REGION1,PWRHYD010,16.1283
REGION1,PWRHYD011,126.0638
REGION1,PWRHYD012,85.2349
REGION1,PWRHYD013,38.9902
REGION1,PWRHYD014,37.7731
REGION1,PWRHYD015,128.6121
REGION1,PWRHYD016,167.963
REGION1,PWRHYD017,48.5737
REGION1,PWRHYD042,400.31
REGION1,PWRSOL001,6.6331
REGION1,PWRSOL002,6.3854
REGION1,PWRSOL003,6.557
REGION1,PWRTRN001,1233.8252
REGION1,PWRWND001,4.9493
REGION1,PWRWND002,2.3739
REGION1,PWRWND003,8.7487
REGION1,PWRWND004,19.8047
REGION1,RNWBIO,34102.818
REGION1,RNWGEO,98.0417
REGION1,RNWHYD,1114.4882
REGION1,RNWSOL,65.2518
REGION1,RNWWND,35.8767
