r,t,y,AnnualFixedOperatingCost
REGION1,PWRBIO001,2015,6.6
REGION1,PWRBIO001,2016,6.6
REGION1,PWRBIO001,2017,6.5945
REGION1,PWRBIO001,2018,6.5945
REGION1,PWRBIO001,2019,6.589
REGION1,PWRBIO001,2020,6.589
REGION1,PWRBIO001,2021,6.5835
REGION1,PWRBIO001,2022,6.5835
REGION1,PWRBIO001,2023,6.578
REGION1,PWRBIO001,2024,6.578
REGION1,PWRBIO001,2025,6.5725
REGION1,PWRBIO001,2026,6.5725
REGION1,PWRBIO001,2027,6.567
REGION1,PWRBIO001,2028,6.567
REGION1,PWRBIO001,2029,6.5615
REGION1,PWRBIO001,2030,6.5615
REGION1,PWRBIO002,2015,7.5625
REGION1,PWRBIO002,2016,7.5625
REGION1,PWRBIO002,2017,7.557
REGION1,PWRBIO002,2018,7.557
REGION1,PWRBIO002,2019,7.5515
REGION1,PWRBIO002,2020,7.5515
REGION1,PWRBIO002,2021,7.546
REGION1,PWRBIO002,2022,7.546
REGION1,PWRBIO002,2023,7.5405
REGION1,PWRBIO002,2024,7.5405
REGION1,PWRBIO002,2025,7.535
REGION1,PWRBIO002,2026,7.535
REGION1,PWRBIO002,2027,7.5295
REGION1,PWRBIO002,2028,7.5295
REGION1,PWRBIO002,2029,7.524
REGION1,PWRBIO002,2030,7.524
REGION1,PWRDSL001,2015,0.688
REGION1,PWRDSL001,2016,0.6863
REGION1,PWRDSL001,2017,0.6863
REGION1,PWRDSL001,2018,0.6846
REGION1,PWRDSL001,2019,0.6846
REGION1,PWRDSL001,2020,0.6828
REGION1,PWRDSL001,2021,0.6828
REGION1,PWRDSL001,2022,0.6811
REGION1,PWRDSL001,2023,0.6811
REGION1,PWRDSL002,2015,0.602
REGION1,PWRDSL002,2016,0.6003
REGION1,PWRDSL002,2017,0.6003
REGION1,PWRDSL002,2018,0.5986
REGION1,PWRDSL002,2019,0.5986
REGION1,PWRDSL002,2020,0.5968
REGION1,PWRDSL003,2015,0.2064
REGION1,PWRDSL003,2016,0.2047
REGION1,PWRDSL003,2017,0.2047
REGION1,PWRDSL003,2018,0.203
REGION1,PWRDSL003,2019,0.203
REGION1,PWRDSL003,2020,0.2012
REGION1,PWRGEO001,2015,0.297
REGION1,PWRGEO001,2016,0.297
REGION1,PWRGEO001,2017,0.2925
REGION1,PWRGEO001,2018,0.2925
REGION1,PWRGEO001,2019,0.288
REGION1,PWRGEO001,2020,0.288
REGION1,PWRGEO001,2021,0.2835
