r,t,y,SalvageValue
REGION1,DEMAGRELC002,2015,5.8973
REGION1,DEMAGRELC002,2016,0.8146
REGION1,DEMAGRELC002,2017,0.9841
REGION1,DEMAGRELC002,2018,1.1569
REGION1,DEMAGRELC002,2019,1.244
REGION1,DEMAGRELC002,2020,1.4354
REGION1,DEMAGRELC002,2021,1.6994
REGION1,DEMAGRELC002,2022,1.9111
REGION1,DEMAGRELC002,2023,2.1518
REGION1,DEMAGRELC002,2024,1.5988
REGION1,DEMAGRELC002,2025,1.8419
REGION1,DEMAGRELC002,2026,1.9845
REGION1,DEMAGRELC002,2027,2.1984
REGION1,DEMAGRELC002,2028,1.524
REGION1,DEMCOMELC002,2015,263.8782
REGION1,DEMCOMELC002,2016,14.4383
REGION1,DEMCOMELC002,2017,18.9632
REGION1,DEMCOMELC002,2018,19.3154
REGION1,DEMCOMELC002,2019,19.3437
REGION1,DEMCOMELC002,2020,19.3696
REGION1,DEMCOMELC002,2021,45.8978
REGION1,DEMCOMELC002,2022,46.5966
REGION1,DEMCOMELC002,2023,47.2925
REGION1,DEMCOMELC002,2024,47.9857
REGION1,DEMCOMELC002,2025,48.6763
REGION1,DEMCOMELC002,2026,49.3645
REGION1,DEMCOMELC002,2027,49.7254
REGION1,DEMCOMELC002,2028,50.0838
REGION1,DEMCOMELC002,2029,50.7653
REGION1,DEMCOMELC002,2030,51.1194
REGION1,DEMINDELC002,2015,334.0108
REGION1,DEMINDELC002,2016,18.6093
REGION1,DEMINDELC002,2017,24.1058
REGION1,DEMINDELC002,2018,24.4662
REGION1,DEMINDELC002,2019,24.502
REGION1,DEMINDELC002,2020,24.5349
REGION1,DEMINDELC002,2021,58.1803
REGION1,DEMINDELC002,2022,58.893
REGION1,DEMINDELC002,2023,60.2494
REGION1,DEMINDELC002,2024,60.6306
REGION1,DEMINDELC002,2025,61.6566
REGION1,DEMINDELC002,2026,62.3551
REGION1,DEMINDELC002,2027,63.0505
REGION1,DEMINDELC002,2028,63.7431
REGION1,DEMINDELC002,2029,64.1075
REGION1,DEMINDELC002,2030,64.7947
REGION1,DEMRESELC002,2015,1052.4022
REGION1,DEMRESELC002,2016,58.5266
REGION1,DEMRESELC002,2017,76.3103
REGION1,DEMRESELC002,2018,76.4323
REGION1,DEMRESELC002,2019,77.4776
REGION1,DEMRESELC002,2020,77.5815
REGION1,DEMRESELC002,2021,182.4936
REGION1,DEMRESELC002,2022,186.4467
REGION1,DEMRESELC002,2023,189.4527
REGION1,DEMRESELC002,2024,191.5093
REGION1,DEMRESELC002,2025,194.494
REGION1,DEMRESELC002,2026,195.5888
REGION1,DEMRESELC002,2027,198.5542
REGION1,DEMRESELC002,2028,200.5701
REGION1,DEMRESELC002,2029,202.5772
REGION1,DEMRESELC002,2030,203.6336
REGION1,LNDBLTETH,2017,13.0888
REGION1,LNDBLTETH,2018,26.4062
REGION1,LNDBLTETH,2019,37.9976
REGION1,LNDBLTETH,2020,50.6414
REGION1,LNDBLTETH,2021,68.5215
REGION1,LNDBLTETH,2022,81.2517
REGION1,LNDBLTETH,2023,91.7843
REGION1,LNDBLTETH,2024,105.7431
REGION1,LNDBLTETH,2025,109.3333
REGION1,LNDBLTETH,2026,131.3677
REGION1,LNDBLTETH,2027,135.9234
REGION1,LNDBLTETH,2028,147.4664
REGION1,LNDBLTETH,2029,155.1125
REGION1,LNDBLTETH,2030,2212.0059
REGION1,LNDFORETH,2030,8.1411
REGION1,LNDGRSETH,2030,75.0687
REGION1,PWRHYD042,2022,3374.7324
REGION1,PWRHYD042,2023,3375.3472
REGION1,PWRHYD042,2024,3375.9112
REGION1,PWRHYD042,2025,3376.4287
REGION1,PWRHYD042,2026,3376.9034
REGION1,PWRHYD042,2027,405.2807
REGION1,PWRTRN001,2015,5731.7871
REGION1,PWRTRN001,2016,316.6833
REGION1,PWRTRN001,2017,416.9217
REGION1,PWRTRN001,2018,419.8449
REGION1,PWRTRN001,2019,590.2717
REGION1,PWRTRN001,2020,949.898
REGION1,PWRTRN001,2021,710.5556
REGION1,PWRTRN001,2022,1634.1756
REGION1,PWRTRN001,2023,1913.7427
REGION1,PWRTRN001,2024,1775.7926
REGION1,PWRTRN001,2025,1778.7067
REGION1,PWRTRN001,2026,1778.7428
REGION1,PWRTRN001,2027,88.4542
REGION1,PWRTRN001,2030,213.0129
