r,t,f,y,UseByTechnologyAnnual
REGION1,DEMAGRDSL,DSL,2015,6.5441
REGION1,DEMAGRDSL,DSL,2016,6.5952
REGION1,DEMAGRDSL,DSL,2017,6.9535
REGION1,DEMAGRDSL,DSL,2018,7.3243
REGION1,DEMAGRDSL,DSL,2019,7.7022
REGION1,DEMAGRDSL,DSL,2020,8.0563
REGION1,DEMAGRDSL,DSL,2021,8.6734
REGION1,DEMAGRDSL,DSL,2022,9.2666
REGION1,DEMAGRDSL,DSL,2023,9.836
REGION1,DEMAGRDSL,DSL,2024,10.3716
REGION1,DEMAGRDSL,DSL,2025,10.8722
REGION1,DEMAGRDSL,DSL,2026,11.349
REGION1,DEMAGRDSL,DSL,2027,11.8238
REGION1,DEMAGRDSL,DSL,2028,12.2864
REGION1,DEMAGRDSL,DSL,2029,12.7374
REGION1,DEMAGRDSL,DSL,2030,13.187
REGION1,DEMAGRELC002,ELC002,2015,0.0778
REGION1,DEMAGRELC002,ELC002,2016,0.0878
REGION1,DEMAGRELC002,ELC002,2017,0.1015
REGION1,DEMAGRELC002,ELC002,2018,0.1167
REGION1,DEMAGRELC002,ELC002,2019,0.133
REGION1,DEMAGRELC002,ELC002,2020,0.1517
REGION1,DEMAGRELC002,ELC002,2021,0.174
REGION1,DEMAGRELC002,ELC002,2022,0.1989
REGION1,DEMAGRELC002,ELC002,2023,0.227
REGION1,DEMAGRELC002,ELC002,2024,0.2478
REGION1,DEMAGRELC002,ELC002,2025,0.2718
REGION1,DEMAGRELC002,ELC002,2026,0.2976
REGION1,DEMAGRELC002,ELC002,2027,0.3262
REGION1,DEMAGRELC002,ELC002,2028,0.346
REGION1,DEMAGRELC002,ELC002,2029,0.346
REGION1,DEMAGRELC002,ELC002,2030,0.346
REGION1,DEMAGRGWTETH,AGRELC002,2015,0.0778
REGION1,DEMAGRGWTETH,AGRELC002,2016,0.0878
REGION1,DEMAGRGWTETH,AGRELC002,2017,0.1015
REGION1,DEMAGRGWTETH,AGRELC002,2018,0.1166
REGION1,DEMAGRGWTETH,AGRELC002,2019,0.133
REGION1,DEMAGRGWTETH,AGRELC002,2020,0.1517
REGION1,DEMAGRGWTETH,AGRELC002,2021,0.174
REGION1,DEMAGRGWTETH,AGRELC002,2022,0.1989
REGION1,DEMAGRGWTETH,AGRELC002,2023,0.227
REGION1,DEMAGRGWTETH,AGRELC002,2024,0.2478
REGION1,DEMAGRGWTETH,AGRELC002,2025,0.2718
