r,l,f,y,Demand
REGION1,SEA1BAS,COMELC002,2015,0.8114
REGION1,SEA1BAS,COMELC002,2016,0.8558
REGION1,SEA1BAS,COMELC002,2017,0.9139
REGION1,SEA1BAS,COMELC002,2018,0.9729
REGION1,SEA1BAS,COMELC002,2019,1.032
REGION1,SEA1BAS,COMELC002,2020,1.0911
REGION1,SEA1BAS,COMELC002,2021,1.231
REGION1,SEA1BAS,COMELC002,2022,1.3728
REGION1,SEA1BAS,COMELC002,2023,1.5165
REGION1,SEA1BAS,COMELC002,2024,1.6623
REGION1,SEA1BAS,COMELC002,2025,1.81
REGION1,SEA1BAS,COMELC002,2026,1.9597
REGION1,SEA1BAS,COMELC002,2027,2.1103
REGION1,SEA1BAS,COMELC002,2028,2.262
REGION1,SEA1BAS,COMELC002,2029,2.4156
REGION1,SEA1BAS,COMELC002,2030,2.5702
REGION1,SEA1BAS,INDELC002,2015,1.0271
REGION1,SEA1BAS,INDELC002,2016,1.0842
REGION1,SEA1BAS,INDELC002,2017,1.1581
REGION1,SEA1BAS,INDELC002,2018,1.2329
REGION1,SEA1BAS,INDELC002,2019,1.3078
REGION1,SEA1BAS,INDELC002,2020,1.3826
REGION1,SEA1BAS,INDELC002,2021,1.5599
REGION1,SEA1BAS,INDELC002,2022,1.7391
REGION1,SEA1BAS,INDELC002,2023,1.9223
REGION1,SEA1BAS,INDELC002,2024,2.1064
REGION1,SEA1BAS,INDELC002,2025,2.2935
REGION1,SEA1BAS,INDELC002,2026,2.4826
REGION1,SEA1BAS,INDELC002,2027,2.6736
REGION1,SEA1BAS,INDELC002,2028,2.8666
REGION1,SEA1BAS,INDELC002,2029,3.0606
REGION1,SEA1BAS,INDELC002,2030,3.2566
REGION1,SEA1BAS,RESELC002,2015,1.1177
REGION1,SEA1BAS,RESELC002,2016,1.1797
REGION1,SEA1BAS,RESELC002,2017,1.2605
REGION1,SEA1BAS,RESELC002,2018,1.3412
REGION1,SEA1BAS,RESELC002,2019,1.423
REGION1,SEA1BAS,RESELC002,2020,1.5047
REGION1,SEA1BAS,RESELC002,2021,1.6967
REGION1,SEA1BAS,RESELC002,2022,1.8927
REGION1,SEA1BAS,RESELC002,2023,2.0916
REGION1,SEA1BAS,RESELC002,2024,2.2925
REGION1,SEA1BAS,RESELC002,2025,2.4964
REGION1,SEA1BAS,RESELC002,2026,2.7012
REGION1,SEA1BAS,RESELC002,2027,2.909
REGION1,SEA1BAS,RESELC002,2028,3.1187
REGION1,SEA1BAS,RESELC002,2029,3.3305
REGION1,SEA1BAS,RESELC002,2030,3.5432
REGION1,SEA1INT,COMELC002,2015,2.0973
REGION1,SEA1INT,COMELC002,2016,2.2119
REGION1,SEA1INT,COMELC002,2017,2.362
REGION1,SEA1INT,COMELC002,2018,2.5148
REGION1,SEA1INT,COMELC002,2019,2.6675
REGION1,SEA1INT,COMELC002,2020,2.8202
REGION1,SEA1INT,COMELC002,2021,3.1816
REGION1,SEA1INT,COMELC002,2022,3.5482
REGION1,SEA1INT,COMELC002,2023,3.9198
REGION1,SEA1INT,COMELC002,2024,4.2965
REGION1,SEA1INT,COMELC002,2025,4.6783
REGION1,SEA1INT,COMELC002,2026,5.0652
REGION1,SEA1INT,COMELC002,2027,5.4546
REGION1,SEA1INT,COMELC002,2028,5.8466
REGION1,SEA1INT,COMELC002,2029,6.2436
REGION1,SEA1INT,COMELC002,2030,6.6433
REGION1,SEA1INT,INDELC002,2015,2.6548
REGION1,SEA1INT,INDELC002,2016,2.8024
REGION1,SEA1INT,INDELC002,2017,2.9933
REGION1,SEA1INT,INDELC002,2018,3.1867
REGION1,SEA1INT,INDELC002,2019,3.3802
REGION1,SEA1INT,INDELC002,2020,3.5736
REGION1,SEA1INT,INDELC002,2021,4.0318
REGION1,SEA1INT,INDELC002,2022,4.495
REGION1,SEA1INT,INDELC002,2023,4.9684
REGION1,SEA1INT,INDELC002,2024,5.4444
REGION1,SEA1INT,INDELC002,2025,5.928
REGION1,SEA1INT,INDELC002,2026,6.4167
REGION1,SEA1INT,INDELC002,2027,6.9105
REGION1,SEA1INT,INDELC002,2028,7.4094
REGION1,SEA1INT,INDELC002,2029,7.9108
