r,t,y,TotalCapacityAnnual
REGION1,DEMAGRDSL,2015,32.8248
REGION1,DEMAGRDSL,2016,16.9306
REGION1,DEMAGRDSL,2017,17.6942
REGION1,DEMAGRDSL,2018,25.6109
REGION1,DEMAGRDSL,2019,19.2351
REGION1,DEMAGRDSL,2020,27.6448
REGION1,DEMAGRDSL,2021,40.81
REGION1,DEMAGRDSL,2022,43.1833
REGION1,DEMAGRDSL,2023,32.9062
REGION1,DEMAGRDSL,2024,25.0733
REGION1,DEMAGRDSL,2025,49.8952
REGION1,DEMAGRDSL,2026,52.0116
REGION1,DEMAGRDSL,2027,54.126
REGION1,DEMAGRDSL,2028,40.6548
REGION1,DEMAGRDSL,2029,42.1049
REGION1,DEMAGRDSL,2030,31.6654
REGION1,DEMAGRELC002,2015,0.0025
REGION1,DEMAGRELC002,2016,0.0028
REGION1,DEMAGRELC002,2017,0.0032
REGION1,DEMAGRELC002,2018,0.0037
REGION1,DEMAGRELC002,2019,0.0042
REGION1,DEMAGRELC002,2020,0.0048
REGION1,DEMAGRELC002,2021,0.0055
REGION1,DEMAGRELC002,2022,0.0063
REGION1,DEMAGRELC002,2023,0.0072
REGION1,DEMAGRELC002,2024,0.0079
REGION1,DEMAGRELC002,2025,0.0086
REGION1,DEMAGRELC002,2026,0.0094
REGION1,DEMAGRELC002,2027,0.0103
REGION1,DEMAGRELC002,2028,0.011
REGION1,DEMAGRELC002,2029,0.011
REGION1,DEMAGRELC002,2030,0.011
REGION1,DEMAGRGWTETH,2015,4.4976
REGION1,DEMAGRGWTETH,2016,5.1177
REGION1,DEMAGRGWTETH,2017,5.8655
REGION1,DEMAGRGWTETH,2018,6.7432
REGION1,DEMAGRGWTETH,2019,7.6856
REGION1,DEMAGRGWTETH,2020,8.7715
REGION1,DEMAGRGWTETH,2021,10.0556
REGION1,DEMAGRGWTETH,2022,11.498
REGION1,DEMAGRGWTETH,2023,13.1204
REGION1,DEMAGRGWTETH,2024,14.3248
REGION1,DEMAGRGWTETH,2025,15.7111
REGION1,DEMAGRGWTETH,2026,17.2035
REGION1,DEMAGRGWTETH,2027,18.8555
REGION1,DEMAGRGWTETH,2028,20.0
REGION1,DEMAGRGWTETH,2029,20.0
REGION1,DEMAGRGWTETH,2030,20.0
REGION1,DEMCOMBIO,2015,127.2494
REGION1,DEMCOMBIO,2016,44.8801
REGION1,DEMCOMBIO,2017,93.2847
REGION1,DEMCOMBIO,2018,96.6955
REGION1,DEMCOMBIO,2019,70.9257
REGION1,DEMCOMBIO,2020,73.3422
REGION1,DEMCOMBIO,2021,109.827
REGION1,DEMCOMBIO,2022,115.9096
REGION1,DEMCOMBIO,2023,60.9392
REGION1,DEMCOMBIO,2024,127.6768
REGION1,DEMCOMBIO,2025,66.7091
REGION1,DEMCOMBIO,2026,98.4744
REGION1,DEMCOMBIO,2027,204.8563
REGION1,DEMCOMBIO,2028,212.5122
REGION1,DEMCOMBIO,2029,155.2472
REGION1,DEMCOMBIO,2030,160.5339
REGION1,DEMCOMDSL,2015,6.7931
REGION1,DEMCOMDSL,2016,13.5863
REGION1,DEMCOMDSL,2017,7.0489
REGION1,DEMCOMDSL,2018,10.3509
REGION1,DEMCOMDSL,2019,21.5172
REGION1,DEMCOMDSL,2020,11.1161
REGION1,DEMCOMDSL,2021,16.5991
REGION1,DEMCOMDSL,2022,24.9019
REGION1,DEMCOMDSL,2023,26.1107
REGION1,DEMCOMDSL,2024,9.6639
REGION1,DEMCOMDSL,2025,14.2979
