r,t,y,NewCapacity
REGION1,DEMAGRELC002,2015,0.0025
REGION1,DEMAGRELC002,2016,0.0003
REGION1,DEMAGRELC002,2017,0.0004
REGION1,DEMAGRELC002,2018,0.0005
REGION1,DEMAGRELC002,2019,0.0005
REGION1,DEMAGRELC002,2020,0.0006
REGION1,DEMAGRELC002,2021,0.0007
REGION1,DEMAGRELC002,2022,0.0008
REGION1,DEMAGRELC002,2023,0.0009
REGION1,DEMAGRELC002,2024,0.0007
REGION1,DEMAGRELC002,2025,0.0008
REGION1,DEMAGRELC002,2026,0.0008
REGION1,DEMAGRELC002,2027,0.0009
REGION1,DEMAGRELC002,2028,0.0006
REGION1,DEMAGRGWTETH,2015,4.4976
REGION1,DEMAGRGWTETH,2016,5.1177
REGION1,DEMAGRGWTETH,2017,5.8655
REGION1,DEMAGRGWTETH,2018,6.7432
REGION1,DEMAGRGWTETH,2019,7.6856
REGION1,DEMAGRGWTETH,2020,8.7715
REGION1,DEMAGRGWTETH,2021,10.0556
REGION1,DEMAGRGWTETH,2022,11.498
REGION1,DEMAGRGWTETH,2023,13.1204
REGION1,DEMAGRGWTETH,2024,14.3248
REGION1,DEMAGRGWTETH,2025,15.7111
REGION1,DEMAGRGWTETH,2026,17.2035
REGION1,DEMAGRGWTETH,2027,18.8555
REGION1,DEMAGRGWTETH,2028,20.0
REGION1,DEMAGRGWTETH,2029,20.0
REGION1,DEMAGRGWTETH,2030,20.0
REGION1,DEMCOMELC002,2015,0.3194
REGION1,DEMCOMELC002,2016,0.0174
REGION1,DEMCOMELC002,2017,0.0229
REGION1,DEMCOMELC002,2018,0.0233
REGION1,DEMCOMELC002,2019,0.0233
REGION1,DEMCOMELC002,2020,0.0233
REGION1,DEMCOMELC002,2021,0.055
REGION1,DEMCOMELC002,2022,0.0558
REGION1,DEMCOMELC002,2023,0.0566
REGION1,DEMCOMELC002,2024,0.0574
REGION1,DEMCOMELC002,2025,0.0581
REGION1,DEMCOMELC002,2026,0.0589
REGION1,DEMCOMELC002,2027,0.0593
REGION1,DEMCOMELC002,2028,0.0597
REGION1,DEMCOMELC002,2029,0.0605
REGION1,DEMCOMELC002,2030,0.0609
REGION1,DEMINDELC002,2015,0.4043
REGION1,DEMINDELC002,2016,0.0225
REGION1,DEMINDELC002,2017,0.0291
REGION1,DEMINDELC002,2018,0.0295
REGION1,DEMINDELC002,2019,0.0295
REGION1,DEMINDELC002,2020,0.0295
REGION1,DEMINDELC002,2021,0.0698
REGION1,DEMINDELC002,2022,0.0705
REGION1,DEMINDELC002,2023,0.0721
REGION1,DEMINDELC002,2024,0.0725
REGION1,DEMINDELC002,2025,0.0737
REGION1,DEMINDELC002,2026,0.0744
REGION1,DEMINDELC002,2027,0.0752
REGION1,DEMINDELC002,2028,0.076
REGION1,DEMINDELC002,2029,0.0764
REGION1,DEMINDELC002,2030,0.0771
REGION1,DEMRESELC002,2015,0.44
REGION1,DEMRESELC002,2016,0.0244
REGION1,DEMRESELC002,2017,0.0318
REGION1,DEMRESELC002,2018,0.0318
REGION1,DEMRESELC002,2019,0.0322
REGION1,DEMRESELC002,2020,0.0322
REGION1,DEMRESELC002,2021,0.0756
REGION1,DEMRESELC002,2022,0.0771
REGION1,DEMRESELC002,2023,0.0783
REGION1,DEMRESELC002,2024,0.0791
REGION1,DEMRESELC002,2025,0.0802
REGION1,DEMRESELC002,2026,0.0806
REGION1,DEMRESELC002,2027,0.0818
REGION1,DEMRESELC002,2028,0.0826
REGION1,DEMRESELC002,2029,0.0833
REGION1,DEMRESELC002,2030,0.0837
REGION1,LNDBLTETH,2015,21.19
REGION1,LNDBLTETH,2017,1.15
REGION1,LNDBLTETH,2018,1.21
REGION1,LNDBLTETH,2019,1.21
REGION1,LNDBLTETH,2020,1.26
REGION1,LNDBLTETH,2021,1.42
REGION1,LNDBLTETH,2022,1.46
REGION1,LNDBLTETH,2023,1.47
REGION1,LNDBLTETH,2024,1.54
REGION1,LNDBLTETH,2025,1.47
REGION1,LNDBLTETH,2026,1.65
REGION1,LNDBLTETH,2027,1.61
REGION1,LNDBLTETH,2028,1.66
REGION1,LNDBLTETH,2029,1.67
REGION1,LNDBLTETH,2030,22.9
REGION1,LNDCP01HIETH,2016,0.0062
REGION1,LNDCP01HIETH,2017,0.0195
REGION1,LNDCP01HIETH,2018,0.0342
REGION1,LNDCP01HIETH,2019,0.0341
REGION1,LNDCP01HIETH,2020,0.0342
REGION1,LNDCP01HIETH,2021,0.0493
REGION1,LNDCP01HIETH,2022,0.0491
REGION1,LNDCP01HIETH,2023,0.049
REGION1,LNDCP01HIETH,2024,0.0492
REGION1,LNDCP01HIETH,2025,0.0495
REGION1,LNDCP01HIETH,2026,0.05
REGION1,LNDCP01HIETH,2027,0.0507
REGION1,LNDCP01HIETH,2028,0.0516
REGION1,LNDCP01HIETH,2029,0.0526
REGION1,LNDCP01HIETH,2030,0.0538
REGION1,LNDCP01HRETH,2016,0.0898
REGION1,LNDCP01HRETH,2017,0.1879
REGION1,LNDCP01HRETH,2018,0.2976
REGION1,LNDCP01HRETH,2019,0.4173
REGION1,LNDCP01HRETH,2020,0.513
REGION1,LNDCP01HRETH,2021,0.6592
REGION1,LNDCP01HRETH,2022,0.7956
REGION1,LNDCP01HRETH,2023,0.8959
REGION1,LNDCP01HRETH,2024,0.954
REGION1,LNDCP01HRETH,2025,0.9672
REGION1,LNDCP01HRETH,2026,0.939
REGION1,LNDCP01HRETH,2027,0.9145
REGION1,LNDCP01HRETH,2028,0.8917
REGION1,LNDCP01HRETH,2029,0.8724
REGION1,LNDCP01HRETH,2030,0.8544
REGION1,LNDCP01IIETH,2016,0.013
REGION1,LNDCP01IIETH,2017,0.0274
REGION1,LNDCP01IIETH,2018,0.0433
REGION1,LNDCP01IIETH,2019,0.0427
REGION1,LNDCP01IIETH,2020,0.0424
REGION1,LNDCP01IIETH,2021,0.0587
REGION1,LNDCP01IIETH,2022,0.058
REGION1,LNDCP01IIETH,2023,0.0575
REGION1,LNDCP01IIETH,2024,0.0572
REGION1,LNDCP01IIETH,2025,0.0571
REGION1,LNDCP01IIETH,2026,0.0573
REGION1,LNDCP01IIETH,2027,0.0576
REGION1,LNDCP01IIETH,2028,0.0581
REGION1,LNDCP01IIETH,2029,0.0588
REGION1,LNDCP01IIETH,2030,0.0597
REGION1,LNDCP01IRETH,2016,0.1916
REGION1,LNDCP01IRETH,2017,0.4031
REGION1,LNDCP01IRETH,2018,0.6375
REGION1,LNDCP01IRETH,2019,0.8981
REGION1,LNDCP01IRETH,2020,1.189
REGION1,LNDCP01IRETH,2021,1.5147
REGION1,LNDCP01IRETH,2022,1.8805
REGION1,LNDCP01IRETH,2023,2.2912
REGION1,LNDCP01IRETH,2024,2.7558
REGION1,LNDCP01IRETH,2025,3.2813
REGION1,LNDCP01IRETH,2026,3.8591
REGION1,LNDCP01IRETH,2027,4.4243
REGION1,LNDCP01IRETH,2028,4.9725
REGION1,LNDCP01IRETH,2029,5.5091
REGION1,LNDCP01IRETH,2030,6.0346
REGION1,LNDCP01LRETH,2016,0.1106
REGION1,LNDCP01LRETH,2017,0.2655
REGION1,LNDCP01LRETH,2018,0.4394
REGION1,LNDCP01LRETH,2019,0.6313
REGION1,LNDCP01LRETH,2020,0.8404
REGION1,LNDCP01LRETH,2021,1.0668
REGION1,LNDCP01LRETH,2022,1.3076
REGION1,LNDCP01LRETH,2023,1.5632
REGION1,LNDCP01LRETH,2024,1.8327
REGION1,LNDCP01LRETH,2025,2.1156
REGION1,LNDCP01LRETH,2026,2.411
REGION1,LNDCP01LRETH,2027,2.7194
REGION1,LNDCP01LRETH,2028,3.0382
REGION1,LNDCP01LRETH,2029,3.3678
REGION1,LNDCP01LRETH,2030,3.7076
REGION1,LNDCP02HIETH,2016,0.1969
REGION1,LNDCP02HIETH,2017,0.4132
REGION1,LNDCP02HIETH,2018,0.6539
REGION1,LNDCP02HIETH,2019,0.9206
REGION1,LNDCP02HIETH,2020,1.2183
REGION1,LNDCP02HIETH,2021,1.5526
REGION1,LNDCP02HIETH,2022,1.927
REGION1,LNDCP02HIETH,2023,2.3485
REGION1,LNDCP02HIETH,2024,2.8252
REGION1,LNDCP02HIETH,2025,3.3633
REGION1,LNDCP02HIETH,2026,3.9741
REGION1,LNDCP02HIETH,2027,4.6663
REGION1,LNDCP02HIETH,2028,5.4534
REGION1,LNDCP02HIETH,2029,6.3506
REGION1,LNDCP02HIETH,2030,7.2711
