r,t,y,CapitalInvestment
REGION1,EXPELCC02,2016,3.1329
REGION1,EXPELCN02,2016,13.8635
REGION1,EXPELCS02,2016,16.9711
REGION1,IMPELCC02,2016,11.5297
REGION1,IMPELCN02,2016,50.9513
REGION1,IMPELCS02,2016,62.3161
REGION1,LNDCP01HRNOC,2018,31.6069
REGION1,LNDCP01HRNOC,2019,30.8938
REGION1,LNDCP01HRNOC,2020,37.5012
REGION1,LNDCP01HRNOC,2021,36.7415
REGION1,LNDCP01HRNOC,2022,38.9416
REGION1,LNDCP01HRNOC,2023,35.0684
REGION1,LNDCP01HRNOC,2024,35.091
REGION1,LNDCP01HRNOC,2025,33.8555
REGION1,LNDCP01HRNOC,2026,31.4247
REGION1,LNDCP01HRNOC,2027,31.5874
REGION1,LNDCP01HRNOC,2028,31.8504
REGION1,LNDCP01HRNOC,2029,30.8821
REGION1,LNDCP01HRNOC,2030,25.7055
REGION1,LNDCP01IIMRD,2026,0.0319
REGION1,LNDCP01IIMRD,2027,0.075
REGION1,LNDCP01IIMRD,2028,0.1116
REGION1,LNDCP01IIMRD,2029,0.1427
REGION1,LNDCP01IIMRD,2030,0.1692
REGION1,LNDCP01IINOC,2026,0.0346
REGION1,LNDCP01IINOC,2027,0.0814
REGION1,LNDCP01IINOC,2028,0.1211
REGION1,LNDCP01IINOC,2029,0.1549
REGION1,LNDCP01IINOC,2030,0.1836
REGION1,LNDCP01IINOE,2026,0.018
REGION1,LNDCP01IINOE,2027,0.0754
REGION1,LNDCP01IINOE,2028,0.111
REGION1,LNDCP01IINOE,2029,0.1412
REGION1,LNDCP01IINOE,2030,0.1669
REGION1,LNDCP01IINOW,2026,0.0236
REGION1,LNDCP01IINOW,2027,0.0992
REGION1,LNDCP01IINOW,2028,0.146
REGION1,LNDCP01IINOW,2029,0.1857
REGION1,LNDCP01IINOW,2030,0.2195
REGION1,LNDCP01IIRRD,2026,0.0176
REGION1,LNDCP01IIRRD,2027,0.0412
REGION1,LNDCP01IIRRD,2028,0.0614
REGION1,LNDCP01IIRRD,2029,0.0785
REGION1,LNDCP01IIRRD,2030,0.0931
REGION1,LNDCP01IISOC,2026,0.0613
REGION1,LNDCP01IISOC,2027,0.144
REGION1,LNDCP01IISOC,2028,0.2142
REGION1,LNDCP01IISOC,2029,0.274
REGION1,LNDCP01IISOC,2030,0.3248
REGION1,LNDCP01IISOE,2026,0.0342
REGION1,LNDCP01IISOE,2027,0.0803
REGION1,LNDCP01IISOE,2028,0.1195
REGION1,LNDCP01IISOE,2029,0.1528
REGION1,LNDCP01IISOE,2030,0.1811
REGION1,LNDCP01IRMRD,2026,0.0493
REGION1,LNDCP01IRMRD,2027,0.1158
REGION1,LNDCP01IRMRD,2028,0.1723
REGION1,LNDCP01IRMRD,2029,0.2204
REGION1,LNDCP01IRMRD,2030,0.2612
REGION1,LNDCP01IRNOC,2017,20.9629
REGION1,LNDCP01IRNOE,2026,0.0483
REGION1,LNDCP01IRNOE,2027,0.1134
REGION1,LNDCP01IRNOE,2028,0.1688
REGION1,LNDCP01IRNOE,2029,0.2159
REGION1,LNDCP01IRNOE,2030,0.2559
REGION1,LNDCP01IRNOW,2026,0.0365
REGION1,LNDCP01IRNOW,2027,0.1532
REGION1,LNDCP01IRNOW,2028,0.2254
REGION1,LNDCP01IRNOW,2029,0.2868
REGION1,LNDCP01IRNOW,2030,0.3389
REGION1,LNDCP01IRRRD,2026,0.0271
REGION1,LNDCP01IRRRD,2027,0.0637
REGION1,LNDCP01IRRRD,2028,0.0948
REGION1,LNDCP01IRRRD,2029,0.1212
REGION1,LNDCP01IRRRD,2030,0.1437
REGION1,LNDCP01IRSOC,2016,51.5997
REGION1,LNDCP01IRSOE,2026,0.0527
REGION1,LNDCP01IRSOE,2027,0.124
REGION1,LNDCP01IRSOE,2028,0.1845
REGION1,LNDCP01IRSOE,2029,0.2359
REGION1,LNDCP01IRSOE,2030,0.2797
REGION1,LNDCP01LRMRD,2027,0.0407
REGION1,LNDCP01LRMRD,2028,0.0863
REGION1,LNDCP01LRMRD,2029,0.108
REGION1,LNDCP01LRMRD,2030,0.1264
REGION1,LNDCP01LRNOC,2027,0.0441
REGION1,LNDCP01LRNOC,2028,0.0937
REGION1,LNDCP01LRNOC,2029,0.1172
REGION1,LNDCP01LRNOC,2030,0.1372
REGION1,LNDCP01LRNOE,2029,0.082
REGION1,LNDCP01LRNOE,2030,0.146
REGION1,LNDCP01LRNOW,2029,0.1078
REGION1,LNDCP01LRNOW,2030,0.1921
REGION1,LNDCP01LRRRD,2028,0.0261
REGION1,LNDCP01LRRRD,2029,0.066
REGION1,LNDCP01LRRRD,2030,0.0751
REGION1,LNDCP01LRSOC,2028,0.1749
REGION1,LNDCP01LRSOC,2029,0.2176
