r,t,y,NewCapacity
REGION1,EXPELCC02,2016,0.0078
REGION1,EXPELCN02,2016,0.0347
REGION1,EXPELCS02,2016,0.0424
REGION1,IMPELCC02,2016,0.0288
REGION1,IMPELCN02,2016,0.1274
REGION1,IMPELCS02,2016,0.1558
REGION1,LNDCP01HRNOC,2018,0.4214
REGION1,LNDCP01HRNOC,2019,0.4119
REGION1,LNDCP01HRNOC,2020,0.5
REGION1,LNDCP01HRNOC,2021,0.4899
REGION1,LNDCP01HRNOC,2022,0.5192
REGION1,LNDCP01HRNOC,2023,0.4676
REGION1,LNDCP01HRNOC,2024,0.4679
REGION1,LNDCP01HRNOC,2025,0.4514
REGION1,LNDCP01HRNOC,2026,0.419
REGION1,LNDCP01HRNOC,2027,0.4212
REGION1,LNDCP01HRNOC,2028,0.4247
REGION1,LNDCP01HRNOC,2029,0.4118
REGION1,LNDCP01HRNOC,2030,0.3427
REGION1,LNDCP01IIMRD,2026,0.0007
REGION1,LNDCP01IIMRD,2027,0.0017
REGION1,LNDCP01IIMRD,2028,0.0025
REGION1,LNDCP01IIMRD,2029,0.0032
REGION1,LNDCP01IIMRD,2030,0.0038
REGION1,LNDCP01IINOC,2026,0.0008
REGION1,LNDCP01IINOC,2027,0.0018
REGION1,LNDCP01IINOC,2028,0.0027
REGION1,LNDCP01IINOC,2029,0.0034
REGION1,LNDCP01IINOC,2030,0.0041
REGION1,LNDCP01IINOE,2026,0.0004
REGION1,LNDCP01IINOE,2027,0.0017
REGION1,LNDCP01IINOE,2028,0.0025
REGION1,LNDCP01IINOE,2029,0.0031
REGION1,LNDCP01IINOE,2030,0.0037
REGION1,LNDCP01IINOW,2026,0.0005
REGION1,LNDCP01IINOW,2027,0.0022
REGION1,LNDCP01IINOW,2028,0.0032
REGION1,LNDCP01IINOW,2029,0.0041
REGION1,LNDCP01IINOW,2030,0.0049
REGION1,LNDCP01IIRRD,2026,0.0004
REGION1,LNDCP01IIRRD,2027,0.0009
REGION1,LNDCP01IIRRD,2028,0.0014
REGION1,LNDCP01IIRRD,2029,0.0017
REGION1,LNDCP01IIRRD,2030,0.0021
REGION1,LNDCP01IISOC,2026,0.0014
REGION1,LNDCP01IISOC,2027,0.0032
REGION1,LNDCP01IISOC,2028,0.0048
REGION1,LNDCP01IISOC,2029,0.0061
REGION1,LNDCP01IISOC,2030,0.0072
REGION1,LNDCP01IISOE,2026,0.0008
REGION1,LNDCP01IISOE,2027,0.0018
REGION1,LNDCP01IISOE,2028,0.0027
REGION1,LNDCP01IISOE,2029,0.0034
REGION1,LNDCP01IISOE,2030,0.004
REGION1,LNDCP01IRMRD,2026,0.0012
REGION1,LNDCP01IRMRD,2027,0.0029
REGION1,LNDCP01IRMRD,2028,0.0043
REGION1,LNDCP01IRMRD,2029,0.0055
REGION1,LNDCP01IRMRD,2030,0.0065
REGION1,LNDCP01IRNOC,2017,0.5241
REGION1,LNDCP01IRNOE,2026,0.0012
REGION1,LNDCP01IRNOE,2027,0.0028
REGION1,LNDCP01IRNOE,2028,0.0042
REGION1,LNDCP01IRNOE,2029,0.0054
REGION1,LNDCP01IRNOE,2030,0.0064
REGION1,LNDCP01IRNOW,2026,0.0009
REGION1,LNDCP01IRNOW,2027,0.0038
REGION1,LNDCP01IRNOW,2028,0.0056
REGION1,LNDCP01IRNOW,2029,0.0072
REGION1,LNDCP01IRNOW,2030,0.0085
REGION1,LNDCP01IRRRD,2026,0.0007
REGION1,LNDCP01IRRRD,2027,0.0016
REGION1,LNDCP01IRRRD,2028,0.0024
REGION1,LNDCP01IRRRD,2029,0.003
REGION1,LNDCP01IRRRD,2030,0.0036
REGION1,LNDCP01IRSOC,2016,1.29
REGION1,LNDCP01IRSOE,2026,0.0013
REGION1,LNDCP01IRSOE,2027,0.0031
REGION1,LNDCP01IRSOE,2028,0.0046
REGION1,LNDCP01IRSOE,2029,0.0059
REGION1,LNDCP01IRSOE,2030,0.007
REGION1,LNDCP01LRMRD,2027,0.0016
REGION1,LNDCP01LRMRD,2028,0.0035
REGION1,LNDCP01LRMRD,2029,0.0043
REGION1,LNDCP01LRMRD,2030,0.0051
REGION1,LNDCP01LRNOC,2027,0.0018
REGION1,LNDCP01LRNOC,2028,0.0037
REGION1,LNDCP01LRNOC,2029,0.0047
REGION1,LNDCP01LRNOC,2030,0.0055
REGION1,LNDCP01LRNOE,2029,0.0033
REGION1,LNDCP01LRNOE,2030,0.0058
REGION1,LNDCP01LRNOW,2029,0.0043
REGION1,LNDCP01LRNOW,2030,0.0077
REGION1,LNDCP01LRRRD,2028,0.001
REGION1,LNDCP01LRRRD,2029,0.0026
REGION1,LNDCP01LRRRD,2030,0.003
REGION1,LNDCP01LRSOC,2028,0.007
REGION1,LNDCP01LRSOC,2029,0.0087
REGION1,LNDCP01LRSOC,2030,0.0101
REGION1,LNDCP01LRSOE,2027,0.0017
REGION1,LNDCP01LRSOE,2028,0.0037
REGION1,LNDCP01LRSOE,2029,0.0046
REGION1,LNDCP01LRSOE,2030,0.0054
REGION1,LNDCP02HRNOC,2017,0.6517
REGION1,LNDCP02HRNOC,2018,0.4709
REGION1,LNDCP02HRNOC,2019,0.2975
REGION1,LNDCP02HRNOC,2020,0.6202
REGION1,LNDCP02HRNOC,2021,0.5428
REGION1,LNDCP02HRNOC,2022,0.5654
REGION1,LNDCP02HRNOC,2023,0.5019
REGION1,LNDCP02HRNOC,2024,0.471
REGION1,LNDCP02HRNOC,2025,0.503
REGION1,LNDCP02HRNOC,2026,0.4612
