r,t,y,AnnualFixedOperatingCost
REGION1,PWRBIOC01,2016,1.65
REGION1,PWRBIOC01,2017,4.675
REGION1,PWRBIOC01,2018,9.35
REGION1,PWRBIOC01,2019,9.35
REGION1,PWRBIOC01,2020,9.35
REGION1,PWRBIOC01,2021,9.35
REGION1,PWRBIOC01,2022,9.35
REGION1,PWRBIOC01,2023,9.35
REGION1,PWRBIOC01,2024,9.35
REGION1,PWRBIOC01,2025,9.35
REGION1,PWRBIOC01,2026,9.35
REGION1,PWRBIOC01,2027,9.35
REGION1,PWRBIOC01,2028,9.35
REGION1,PWRBIOC01,2029,9.35
REGION1,PWRBIOC01,2030,9.35
REGION1,PWRBION01,2016,1.32
REGION1,PWRBION01,2017,1.32
REGION1,PWRBION01,2018,1.32
REGION1,PWRBION01,2019,1.32
REGION1,PWRBION01,2020,1.32
REGION1,PWRBION01,2021,1.32
REGION1,PWRBION01,2022,1.32
REGION1,PWRBION01,2023,1.32
REGION1,PWRBION01,2024,1.32
REGION1,PWRBION01,2025,1.32
REGION1,PWRBION01,2026,1.32
REGION1,PWRBION01,2027,1.32
REGION1,PWRCOAC01,2016,6.0
REGION1,PWRCOAC01,2017,6.0
REGION1,PWRCOAC01,2018,6.0
REGION1,PWRCOAC01,2019,6.0
REGION1,PWRCOAC01,2020,15.0
REGION1,PWRCOAC01,2021,15.0
REGION1,PWRCOAC01,2022,15.0
REGION1,PWRCOAC01,2023,15.0
REGION1,PWRCOAC01,2024,15.0
REGION1,PWRCOAC01,2025,15.0
REGION1,PWRCOAC01,2026,15.0
REGION1,PWRCOAC01,2027,15.0
REGION1,PWRCOAC01,2028,15.0
REGION1,PWRCOAC01,2029,15.0
REGION1,PWRCOAC01,2030,15.0
REGION1,PWRCOAN01,2016,46.35
REGION1,PWRCOAN01,2017,46.35
REGION1,PWRCOAN01,2018,46.35
REGION1,PWRCOAN01,2019,46.35
REGION1,PWRCOAN01,2020,46.35
REGION1,PWRCOAN01,2021,46.35
REGION1,PWRCOAN01,2022,46.35
REGION1,PWRCOAN01,2023,46.35
REGION1,PWRCOAN01,2024,46.35
REGION1,PWRCOAN01,2025,46.35
REGION1,PWRCOAN01,2026,46.35
REGION1,PWRCOAN01,2027,46.35
REGION1,PWRCOAN01,2028,46.35
REGION1,PWRCOAN01,2029,46.35
REGION1,PWRCOAN01,2030,46.35
REGION1,PWRCOAN02,2016,196.35
REGION1,PWRCOAN02,2017,219.15
REGION1,PWRCOAN02,2018,246.15
REGION1,PWRCOAN02,2019,262.65
REGION1,PWRCOAN02,2020,311.85
REGION1,PWRCOAN02,2021,311.85
REGION1,PWRCOAN02,2022,311.85
REGION1,PWRCOAN02,2023,311.85
REGION1,PWRCOAN02,2024,311.85
REGION1,PWRCOAN02,2025,311.85
REGION1,PWRCOAN02,2026,311.85
REGION1,PWRCOAN02,2027,311.85
REGION1,PWRCOAN02,2028,311.85
REGION1,PWRCOAN02,2029,311.85
REGION1,PWRCOAN02,2030,311.85
REGION1,PWRCOAN03,2016,79.2
REGION1,PWRCOAN03,2017,79.2
REGION1,PWRCOAN03,2018,79.2
REGION1,PWRCOAN03,2019,79.2
REGION1,PWRCOAN03,2020,79.2
REGION1,PWRCOAN03,2021,79.2
REGION1,PWRCOAN03,2022,79.2
REGION1,PWRCOAN03,2023,79.2
REGION1,PWRCOAN03,2024,79.2
REGION1,PWRCOAN03,2025,79.2
REGION1,PWRCOAN03,2026,79.2
REGION1,PWRCOAN03,2027,79.2
REGION1,PWRCOAN03,2028,79.2
REGION1,PWRCOAN03,2029,79.2
REGION1,PWRCOAN03,2030,79.2
REGION1,PWRCOAS01,2016,16.2
REGION1,PWRCOAS01,2017,29.7
REGION1,PWRCOAS01,2018,68.7
REGION1,PWRCOAS01,2019,153.9
REGION1,PWRCOAS01,2020,153.9
REGION1,PWRCOAS01,2021,153.9
REGION1,PWRCOAS01,2022,153.9
REGION1,PWRCOAS01,2023,153.9
REGION1,PWRCOAS01,2024,153.9
REGION1,PWRCOAS01,2025,153.9
REGION1,PWRCOAS01,2026,153.9
REGION1,PWRCOAS01,2027,153.9
REGION1,PWRCOAS01,2028,153.9
REGION1,PWRCOAS01,2029,153.9
