r,t,e,y,AnnualTechnologyEmission
REGION1,DEMAGRCOA,CO2,2016,0.0073
REGION1,DEMAGRCOA,CO2,2017,0.0079
REGION1,DEMAGRCOA,CO2,2018,0.0085
REGION1,DEMAGRCOA,CO2,2019,0.0089
REGION1,DEMAGRCOA,CO2,2020,0.0098
REGION1,DEMAGRCOA,CO2,2021,0.0107
REGION1,DEMAGRCOA,CO2,2022,0.0116
REGION1,DEMAGRCOA,CO2,2023,0.0124
REGION1,DEMAGRCOA,CO2,2024,0.0134
REGION1,DEMAGRCOA,CO2,2025,0.0142
REGION1,DEMAGRCOA,CO2,2026,0.0151
REGION1,DEMAGRCOA,CO2,2027,0.016
REGION1,DEMAGRCOA,CO2,2028,0.0169
REGION1,DEMAGRCOA,CO2,2029,0.0177
REGION1,DEMAGRCOA,CO2,2030,0.0185
REGION1,DEMAGRDSL,CO2,2016,1.0012
REGION1,DEMAGRDSL,CO2,2017,1.0744
REGION1,DEMAGRDSL,CO2,2018,1.1476
REGION1,DEMAGRDSL,CO2,2019,1.2208
REGION1,DEMAGRDSL,CO2,2020,1.3408
REGION1,DEMAGRDSL,CO2,2021,1.4608
REGION1,DEMAGRDSL,CO2,2022,1.5807
REGION1,DEMAGRDSL,CO2,2023,1.7007
REGION1,DEMAGRDSL,CO2,2024,1.8206
REGION1,DEMAGRDSL,CO2,2025,1.9405
REGION1,DEMAGRDSL,CO2,2026,2.0604
REGION1,DEMAGRDSL,CO2,2027,2.1802
REGION1,DEMAGRDSL,CO2,2028,2.3
REGION1,DEMAGRDSL,CO2,2029,2.4198
REGION1,DEMAGRDSL,CO2,2030,2.5247
REGION1,DEMAGRGSL,CO2,2016,0.3953
REGION1,DEMAGRGSL,CO2,2017,0.4242
REGION1,DEMAGRGSL,CO2,2018,0.4531
REGION1,DEMAGRGSL,CO2,2019,0.482
REGION1,DEMAGRGSL,CO2,2020,0.5294
REGION1,DEMAGRGSL,CO2,2021,0.5768
REGION1,DEMAGRGSL,CO2,2022,0.6241
REGION1,DEMAGRGSL,CO2,2023,0.6715
REGION1,DEMAGRGSL,CO2,2024,0.7188
REGION1,DEMAGRGSL,CO2,2025,0.7661
REGION1,DEMAGRGSL,CO2,2026,0.8134
REGION1,DEMAGRGSL,CO2,2027,0.8608
REGION1,DEMAGRGSL,CO2,2028,0.9081
REGION1,DEMAGRGSL,CO2,2029,0.9554
REGION1,DEMAGRGSL,CO2,2030,0.9968
REGION1,DEMCOMCOA,CO2,2016,0.1608
REGION1,DEMCOMCOA,CO2,2017,0.1726
REGION1,DEMCOMCOA,CO2,2018,0.1844
REGION1,DEMCOMCOA,CO2,2019,0.1961
REGION1,DEMCOMCOA,CO2,2020,0.2154
REGION1,DEMCOMCOA,CO2,2021,0.2347
REGION1,DEMCOMCOA,CO2,2022,0.254
REGION1,DEMCOMCOA,CO2,2023,0.2732
REGION1,DEMCOMCOA,CO2,2024,0.2924
REGION1,DEMCOMCOA,CO2,2025,0.3118
REGION1,DEMCOMCOA,CO2,2026,0.331
REGION1,DEMCOMCOA,CO2,2027,0.3502
REGION1,DEMCOMCOA,CO2,2028,0.3695
REGION1,DEMCOMCOA,CO2,2029,0.3888
REGION1,DEMCOMCOA,CO2,2030,0.4056
REGION1,DEMCOMDSL,CO2,2016,1.2069
REGION1,DEMCOMDSL,CO2,2017,1.2951
REGION1,DEMCOMDSL,CO2,2018,1.3833
REGION1,DEMCOMDSL,CO2,2019,1.4714
REGION1,DEMCOMDSL,CO2,2020,1.6161
REGION1,DEMCOMDSL,CO2,2021,1.7608
REGION1,DEMCOMDSL,CO2,2022,1.9054
REGION1,DEMCOMDSL,CO2,2023,2.05
REGION1,DEMCOMDSL,CO2,2024,2.1945
REGION1,DEMCOMDSL,CO2,2025,2.3389
REGION1,DEMCOMDSL,CO2,2026,2.4834
REGION1,DEMCOMDSL,CO2,2027,2.6279
REGION1,DEMCOMDSL,CO2,2028,2.7723
REGION1,DEMCOMDSL,CO2,2029,2.9168
REGION1,DEMCOMDSL,CO2,2030,3.0431
REGION1,DEMCOMKER,CO2,2016,0.024
REGION1,DEMCOMKER,CO2,2017,0.0258
REGION1,DEMCOMKER,CO2,2018,0.0275
REGION1,DEMCOMKER,CO2,2019,0.0292
REGION1,DEMCOMKER,CO2,2020,0.0321
REGION1,DEMCOMKER,CO2,2021,0.035
REGION1,DEMCOMKER,CO2,2022,0.0379
REGION1,DEMCOMKER,CO2,2023,0.0408
REGION1,DEMCOMKER,CO2,2024,0.0436
REGION1,DEMCOMKER,CO2,2025,0.0465
REGION1,DEMCOMKER,CO2,2026,0.0494
REGION1,DEMCOMKER,CO2,2027,0.0523
REGION1,DEMCOMKER,CO2,2028,0.0551
REGION1,DEMCOMKER,CO2,2029,0.058
REGION1,DEMCOMKER,CO2,2030,0.0606
REGION1,DEMCOMLPG,CO2,2016,1.5614
REGION1,DEMCOMLPG,CO2,2017,1.6755
REGION1,DEMCOMLPG,CO2,2018,1.7896
REGION1,DEMCOMLPG,CO2,2019,1.9037
REGION1,DEMCOMLPG,CO2,2020,2.0908
REGION1,DEMCOMLPG,CO2,2021,2.278
REGION1,DEMCOMLPG,CO2,2022,2.4651
REGION1,DEMCOMLPG,CO2,2023,2.6521
REGION1,DEMCOMLPG,CO2,2024,2.8391
REGION1,DEMCOMLPG,CO2,2025,3.026
REGION1,DEMCOMLPG,CO2,2026,3.2129
REGION1,DEMCOMLPG,CO2,2027,3.3998
REGION1,DEMCOMLPG,CO2,2028,3.5867
REGION1,DEMCOMLPG,CO2,2029,3.7735
REGION1,DEMCOMLPG,CO2,2030,3.9369
REGION1,DEMINDCOA,CO2,2016,5.3743
REGION1,DEMINDCOA,CO2,2017,5.592
REGION1,DEMINDCOA,CO2,2018,5.8045
REGION1,DEMINDCOA,CO2,2019,6.0121
REGION1,DEMINDCOA,CO2,2020,6.3181
REGION1,DEMINDCOA,CO2,2021,6.6119
REGION1,DEMINDCOA,CO2,2022,6.8948
REGION1,DEMINDCOA,CO2,2023,7.1683
REGION1,DEMINDCOA,CO2,2024,7.4333
REGION1,DEMINDCOA,CO2,2025,7.6907
REGION1,DEMINDCOA,CO2,2026,7.9414
REGION1,DEMINDCOA,CO2,2027,8.1859
REGION1,DEMINDCOA,CO2,2028,8.4247
REGION1,DEMINDCOA,CO2,2029,8.6584
REGION1,DEMINDCOA,CO2,2030,8.8481
REGION1,DEMINDDSL,CO2,2016,3.8917
REGION1,DEMINDDSL,CO2,2017,4.0495
REGION1,DEMINDDSL,CO2,2018,4.2033
REGION1,DEMINDDSL,CO2,2019,4.3536
REGION1,DEMINDDSL,CO2,2020,4.5753
REGION1,DEMINDDSL,CO2,2021,4.7879
REGION1,DEMINDDSL,CO2,2022,4.9929
REGION1,DEMINDDSL,CO2,2023,5.1908
REGION1,DEMINDDSL,CO2,2024,5.3828
REGION1,DEMINDDSL,CO2,2025,5.5692
REGION1,DEMINDDSL,CO2,2026,5.7507
REGION1,DEMINDDSL,CO2,2027,5.9278
REGION1,DEMINDDSL,CO2,2028,6.1008
REGION1,DEMINDDSL,CO2,2029,6.27
REGION1,DEMINDDSL,CO2,2030,6.4073
REGION1,DEMINDHFO,CO2,2016,1.0611
REGION1,DEMINDHFO,CO2,2017,1.1387
REGION1,DEMINDHFO,CO2,2018,1.2162
REGION1,DEMINDHFO,CO2,2019,1.2938
REGION1,DEMINDHFO,CO2,2020,1.4209
REGION1,DEMINDHFO,CO2,2021,1.5481
REGION1,DEMINDHFO,CO2,2022,1.6753
REGION1,DEMINDHFO,CO2,2023,1.8024
REGION1,DEMINDHFO,CO2,2024,1.9295
REGION1,DEMINDHFO,CO2,2025,2.0565
REGION1,DEMINDHFO,CO2,2026,2.1835
REGION1,DEMINDHFO,CO2,2027,2.3105
REGION1,DEMINDHFO,CO2,2028,2.4375
REGION1,DEMINDHFO,CO2,2029,2.5644
REGION1,DEMINDHFO,CO2,2030,2.6755
REGION1,DEMINDKER,CO2,2016,0.066
REGION1,DEMINDKER,CO2,2017,0.0687
REGION1,DEMINDKER,CO2,2018,0.0713
REGION1,DEMINDKER,CO2,2019,0.0738
REGION1,DEMINDKER,CO2,2020,0.0776
REGION1,DEMINDKER,CO2,2021,0.0812
REGION1,DEMINDKER,CO2,2022,0.0847
REGION1,DEMINDKER,CO2,2023,0.088
REGION1,DEMINDKER,CO2,2024,0.0913
REGION1,DEMINDKER,CO2,2025,0.0945
REGION1,DEMINDKER,CO2,2026,0.0975
REGION1,DEMINDKER,CO2,2027,0.1006
REGION1,DEMINDKER,CO2,2028,0.1035
REGION1,DEMINDKER,CO2,2029,0.1063
REGION1,DEMINDKER,CO2,2030,0.1086
REGION1,DEMINDLPG,CO2,2016,0.792
REGION1,DEMINDLPG,CO2,2017,0.8241
REGION1,DEMINDLPG,CO2,2018,0.8554
REGION1,DEMINDLPG,CO2,2019,0.886
REGION1,DEMINDLPG,CO2,2020,0.9311
REGION1,DEMINDLPG,CO2,2021,0.9744
REGION1,DEMINDLPG,CO2,2022,1.0161
REGION1,DEMINDLPG,CO2,2023,1.0564
