r,t,TotalTechnologyModelPeriodActivity
REGION1,LNDBARMRD,0.1506
REGION1,LNDBARNOC,0.0349
REGION1,LNDBARNOW,0.0116
REGION1,LNDBARRRD,0.0468
REGION1,LNDBARSOC,0.1165
REGION1,LNDBARSOE,1.1388
REGION1,LNDBLTMRD,64.96
REGION1,LNDBLTNOC,36.95
REGION1,LNDBLTNOE,24.42
REGION1,LNDBLTNOW,25.03
REGION1,LNDBLTRRD,55.84
REGION1,LNDBLTSOC,43.93
REGION1,LNDBLTSOE,35.74
REGION1,LNDCP01HIMRD,0.8508
REGION1,LNDCP01HINOC,0.9235
REGION1,LNDCP01HINOE,0.8334
REGION1,LNDCP01HINOW,1.0959
REGION1,LNDCP01HIRRD,0.4681
REGION1,LNDCP01HISOC,1.6335
REGION1,LNDCP01HISOE,0.9109
REGION1,LNDCP01HRMRD,1.1085
REGION1,LNDCP01HRNOC,42.641
REGION1,LNDCP01HRNOE,1.0858
REGION1,LNDCP01HRNOW,1.4278
REGION1,LNDCP01HRRRD,0.6099
REGION1,LNDCP01HRSOC,2.1284
REGION1,LNDCP01HRSOE,1.1868
REGION1,LNDCP01IIMRD,0.8785
REGION1,LNDCP01IINOC,0.9536
REGION1,LNDCP01IINOE,0.8591
REGION1,LNDCP01IINOW,1.1297
REGION1,LNDCP01IIRRD,0.4833
REGION1,LNDCP01IISOC,1.6868
REGION1,LNDCP01IISOE,0.9406
REGION1,LNDCP01IRMRD,1.5262
REGION1,LNDCP01IRNOC,8.9414
REGION1,LNDCP01IRNOE,1.495
REGION1,LNDCP01IRNOW,1.9626
REGION1,LNDCP01IRRRD,0.8397
REGION1,LNDCP01IRSOC,22.1877
REGION1,LNDCP01IRSOE,1.634
REGION1,LNDCP01LRMRD,1.1344
REGION1,LNDCP01LRNOC,1.2313
REGION1,LNDCP01LRNOE,0.8652
REGION1,LNDCP01LRNOW,1.1378
REGION1,LNDCP01LRRRD,0.6025
REGION1,LNDCP01LRSOC,2.1479
REGION1,LNDCP01LRSOE,1.2145
REGION1,LNDCP02HIMRD,1.3154
REGION1,LNDCP02HINOC,1.4279
REGION1,LNDCP02HINOE,1.2885
REGION1,LNDCP02HINOW,1.6944
REGION1,LNDCP02HIRRD,0.7237
REGION1,LNDCP02HISOC,2.5257
REGION1,LNDCP02HISOE,1.4083
REGION1,LNDCP02HRMRD,1.0506
REGION1,LNDCP02HRNOC,54.2055
REGION1,LNDCP02HRNOE,1.0292
REGION1,LNDCP02HRNOW,1.3533
REGION1,LNDCP02HRRRD,0.5781
REGION1,LNDCP02HRSOC,2.0173
REGION1,LNDCP02HRSOE,1.1249
REGION1,LNDCP02IIMRD,1.356
REGION1,LNDCP02IINOC,1.4745
REGION1,LNDCP02IINOE,1.3245
REGION1,LNDCP02IINOW,1.7467
REGION1,LNDCP02IIRRD,0.7461
REGION1,LNDCP02IISOC,2.6081
REGION1,LNDCP02IISOE,1.4543
REGION1,LNDCP02IRMRD,1.4441
REGION1,LNDCP02IRNOC,2.2195
REGION1,LNDCP02IRNOE,1.4105
REGION1,LNDCP02IRNOW,1.8602
REGION1,LNDCP02IRRRD,0.7959
REGION1,LNDCP02IRSOC,21.6646
REGION1,LNDCP02IRSOE,1.5487
REGION1,LNDCP02LRMRD,0.7991
REGION1,LNDCP02LRNOC,1.094
REGION1,LNDCP02LRNOE,0.8292
REGION1,LNDCP02LRNOW,1.2091
REGION1,LNDCP02LRRRD,0.5164
REGION1,LNDCP02LRSOC,1.6253
REGION1,LNDCP02LRSOE,0.9063
REGION1,LNDCP03HIMRD,1.3453
REGION1,LNDCP03HINOC,1.4603
REGION1,LNDCP03HINOE,1.3178
REGION1,LNDCP03HINOW,1.7329
REGION1,LNDCP03HIRRD,0.7402
REGION1,LNDCP03HISOC,2.5831
REGION1,LNDCP03HISOE,1.4403
REGION1,LNDCP03HRMRD,2.5349
REGION1,LNDCP03HRNOC,2.7516
REGION1,LNDCP03HRNOE,2.4831
REGION1,LNDCP03HRNOW,3.2652
REGION1,LNDCP03HRRRD,46.1444
REGION1,LNDCP03HRSOC,4.8672
REGION1,LNDCP03HRSOE,2.7139
REGION1,LNDCP03IIMRD,1.3828
REGION1,LNDCP03IINOC,1.5011
REGION1,LNDCP03IINOE,1.3608
REGION1,LNDCP03IINOW,1.7812
REGION1,LNDCP03IIRRD,0.7643
REGION1,LNDCP03IISOC,2.6551
REGION1,LNDCP03IISOE,1.4848
REGION1,LNDCP03IRMRD,3.4741
REGION1,LNDCP03IRNOC,3.7711
REGION1,LNDCP03IRNOE,3.4187
REGION1,LNDCP03IRNOW,4.475
REGION1,LNDCP03IRRRD,73.9554
REGION1,LNDCP03IRSOC,6.6705
REGION1,LNDCP03IRSOE,3.7304
REGION1,LNDCP03LRMRD,2.4315
REGION1,LNDCP03LRNOC,2.7182
REGION1,LNDCP03LRNOE,2.5059
REGION1,LNDCP03LRNOW,1.9869
REGION1,LNDCP03LRRRD,1.4082
REGION1,LNDCP03LRSOC,4.4118
REGION1,LNDCP03LRSOE,2.3417
REGION1,LNDCP04HINOC,5.2883
REGION1,LNDCP04HINOE,4.7722
REGION1,LNDCP04HINOW,6.2754
REGION1,LNDCP04HIRRD,2.6804
REGION1,LNDCP04HISOC,9.3542
REGION1,LNDCP04HISOE,5.2159
REGION1,LNDCP04HRNOC,6.8999
REGION1,LNDCP04HRNOE,6.2264
REGION1,LNDCP04HRNOW,8.1877
REGION1,LNDCP04HRRRD,3.4972
REGION1,LNDCP04HRSOC,12.2047
REGION1,LNDCP04HRSOE,6.8053
REGION1,LNDCP04IINOC,5.4608
REGION1,LNDCP04IINOE,4.9278
REGION1,LNDCP04IINOW,6.4801
REGION1,LNDCP04IIRRD,2.7678
REGION1,LNDCP04IISOC,9.6593
REGION1,LNDCP04IISOE,5.386
REGION1,LNDCP04IRNOC,9.4999
REGION1,LNDCP04IRNOE,273.8421
REGION1,LNDCP04IRNOW,216.0917
REGION1,LNDCP04IRRRD,4.815
REGION1,LNDCP04IRSOC,16.8037
REGION1,LNDCP04IRSOE,9.354
REGION1,LNDCP04LRNOC,7.0609
REGION1,LNDCP04LRNOE,6.3717
REGION1,LNDCP04LRNOW,8.3788
REGION1,LNDCP04LRRRD,3.5311
REGION1,LNDCP04LRSOC,12.3232
REGION1,LNDCP04LRSOE,6.9642
REGION1,LNDCP05HIMRD,194.1826
REGION1,LNDCP05HINOC,92.7111
REGION1,LNDCP05HINOE,33.9603
REGION1,LNDCP05HINOW,44.6575
REGION1,LNDCP05HIRRD,19.2009
REGION1,LNDCP05HISOC,453.9349
REGION1,LNDCP05HISOE,59.6904
REGION1,LNDCP05HRMRD,2.9996
REGION1,LNDCP05HRNOC,12.9805
REGION1,LNDCP05HRNOE,8.1547
REGION1,LNDCP05HRNOW,3.8638
REGION1,LNDCP05HRRRD,5.1365
REGION1,LNDCP05HRSOC,5.7595
REGION1,LNDCP05HRSOE,3.2115
REGION1,LNDCP05IIMRD,35.7999
REGION1,LNDCP05IINOC,38.8609
REGION1,LNDCP05IINOE,35.068
REGION1,LNDCP05IINOW,46.114
REGION1,LNDCP05IIRRD,19.6966
REGION1,LNDCP05IISOC,68.7385
REGION1,LNDCP05IISOE,38.3286
REGION1,LNDCP05IRMRD,79.4718
REGION1,LNDCP05IRNOC,85.3723
REGION1,LNDCP05IRNOE,4.0455
REGION1,LNDCP05IRNOW,5.3198
REGION1,LNDCP05IRRRD,5.9758
REGION1,LNDCP05IRSOC,7.9298
REGION1,LNDCP05IRSOE,100.7814
REGION1,LNDCP05LRMRD,3.0696
REGION1,LNDCP05LRNOC,3.2877
REGION1,LNDCP05LRNOE,2.8174
REGION1,LNDCP05LRNOW,3.2218
REGION1,LNDCP05LRRRD,1.6303
REGION1,LNDCP05LRSOC,5.6895
REGION1,LNDCP05LRSOE,3.2864
REGION1,LNDCP06HIMRD,0.5361
REGION1,LNDCP06HINOC,0.5819
REGION1,LNDCP06HINOE,0.5251
REGION1,LNDCP06HINOW,0.6906
REGION1,LNDCP06HIRRD,0.295
REGION1,LNDCP06HISOC,1.0294
REGION1,LNDCP06HISOE,0.574
REGION1,LNDCP06HRMRD,0.5426
REGION1,LNDCP06HRNOC,0.589
REGION1,LNDCP06HRNOE,2.8159
REGION1,LNDCP06HRNOW,0.6989
REGION1,LNDCP06HRRRD,0.2985
REGION1,LNDCP06HRSOC,1.0418
REGION1,LNDCP06HRSOE,0.5809
REGION1,LNDCP06IIMRD,0.551
REGION1,LNDCP06IINOC,0.6009
REGION1,LNDCP06IINOE,0.5423
REGION1,LNDCP06IINOW,0.7131
REGION1,LNDCP06IIRRD,0.3046
REGION1,LNDCP06IISOC,1.0629
REGION1,LNDCP06IISOE,0.5927
REGION1,LNDCP06IRMRD,0.7304
REGION1,LNDCP06IRNOC,0.8109
REGION1,LNDCP06IRNOE,3.586
REGION1,LNDCP06IRNOW,36.0098
REGION1,LNDCP06IRRRD,0.411
REGION1,LNDCP06IRSOC,1.4343
REGION1,LNDCP06IRSOE,0.7984
REGION1,LNDCP06LRMRD,0.4126
REGION1,LNDCP06LRNOC,0.5947
REGION1,LNDCP06LRNOE,0.5439
REGION1,LNDCP06LRNOW,0.7152
REGION1,LNDCP06LRRRD,0.3014
REGION1,LNDCP06LRSOC,0.9993
REGION1,LNDCP07HIMRD,0.6371
REGION1,LNDCP07HINOC,0.6916
REGION1,LNDCP07HINOE,0.6241
REGION1,LNDCP07HINOW,0.8207
REGION1,LNDCP07HIRRD,0.3505
REGION1,LNDCP07HISOC,6.5085
REGION1,LNDCP07HISOE,56.3672
REGION1,LNDCP07HRMRD,2.0586
REGION1,LNDCP07HRNOC,2.2347
REGION1,LNDCP07HRNOE,2.0166
REGION1,LNDCP07HRNOW,2.6517
REGION1,LNDCP07HRRRD,1.1326
REGION1,LNDCP07HRSOC,3.9527
REGION1,LNDCP07HRSOE,2.204
REGION1,LNDCP07IIMRD,0.6549
REGION1,LNDCP07IINOC,0.7142
REGION1,LNDCP07IINOE,0.6445
REGION1,LNDCP07IINOW,0.846
REGION1,LNDCP07IIRRD,0.362
REGION1,LNDCP07IISOC,1.2633
REGION1,LNDCP07IISOE,0.7044
REGION1,LNDCP07IRMRD,2.8089
REGION1,LNDCP07IRNOC,3.0767
REGION1,LNDCP07IRNOE,2.7764
REGION1,LNDCP07IRNOW,3.6449
REGION1,LNDCP07IRRRD,1.5594
REGION1,LNDCP07IRSOC,32.583
REGION1,LNDCP07IRSOE,3.0346
REGION1,LNDCP07LRMRD,1.6982
REGION1,LNDCP07LRNOC,2.2868
REGION1,LNDCP07LRNOE,2.0361
REGION1,LNDCP07LRNOW,2.5436
REGION1,LNDCP07LRRRD,1.143
REGION1,LNDCP07LRSOC,3.9911
REGION1,LNDCP07LRSOE,2.2555
REGION1,LNDFORMRD,197.0864
REGION1,LNDFORNOC,228.4544
REGION1,LNDFORNOE,172.601
REGION1,LNDFORNOW,272.9473
REGION1,LNDFORRRD,79.7644
REGION1,LNDFORSOC,398.7098
REGION1,LNDFORSOE,289.0051
REGION1,LNDGRSNOE,2.2178
REGION1,LNDGRSNOW,87.4756
REGION1,LNDWATMRD,20.5678
REGION1,LNDWATNOC,10.9959
REGION1,LNDWATNOW,2.1268
REGION1,LNDWATRRD,6.708
REGION1,LNDWATSOC,31.5322
REGION1,LNDWATSOE,18.3551
REGION1,MINCOA,20890.968
REGION1,MINCRU,18287.253
REGION1,MINLNDMRD,631.5513
REGION1,MINLNDNOC,683.3533
REGION1,MINLNDNOE,617.6425
REGION1,MINLNDNOW,813.3752
REGION1,MINLNDRRD,346.8251
REGION1,MINLNDSOC,1211.9655
REGION1,MINLNDSOE,674.4147
REGION1,MINNGS,11529.248
REGION1,MINPRCMRD,1392.0644
REGION1,MINPRCNOC,1351.0043
REGION1,MINPRCNOE,1157.4021
REGION1,MINPRCNOW,1654.8019
REGION1,MINPRCRRD,654.9721
REGION1,MINPRCSOC,2393.8828
REGION1,MINPRCSOE,1051.652
REGION1,PWRBIOC01,32.9945
REGION1,PWRBION01,4.0871
REGION1,PWRCOAC01,268.2137
REGION1,PWRCOAN01,657.7621
REGION1,PWRCOAN02,2073.4949
REGION1,PWRCOAN03,554.0119
REGION1,PWRCOAS01,2783.462
REGION1,PWRDSLN01,1.5172
REGION1,PWRHYDC01,329.558
REGION1,PWRHYDN01,3022.5766
REGION1,PWRHYDN02,383.9287
REGION1,PWRNGSC01,147.5885
REGION1,PWRNGSC0X,20.7721
REGION1,PWRNGSN01,2370.6116
REGION1,PWRNGSN02,656.4849
REGION1,PWRNGSN03,8.9405
REGION1,PWRNGSS01,234.1548
REGION1,PWRNGSS0X,2055.6919
REGION1,PWRSOLC01,57.2366
REGION1,PWRTRNC01,4085.1409
REGION1,PWRTRNCS1,2552.0326
REGION1,PWRTRNN01,9747.2476
REGION1,PWRTRNNC1,3387.7965
REGION1,PWRTRNS01,7561.0368
REGION1,PWRWNDC01,10.3709
REGION1,PWRWNDN01,13.8322
REGION1,PWRWNDS01,63.2972
REGION1,RNWBIO,15986.741
REGION1,RNWHYD,3736.0633
REGION1,RNWSOL,57.2366
REGION1,RNWWND,87.5003
REGION1,UPSCRU001,10334.004
