r,l,t,m,y,RateOfActivity
REGION1,SEA1BAS,DEMAGRCOA,1,2016,0.6366
REGION1,SEA2INT,DEMAGRCOA,1,2017,0.2416
REGION1,SEA2PEK,DEMAGRCOA,1,2018,1.554
REGION1,SEA2BAS,DEMAGRCOA,1,2019,0.5457
REGION1,SEA1BAS,DEMAGRCOA,1,2020,0.8542
REGION1,SEA2BAS,DEMAGRCOA,1,2021,0.6537
REGION1,SEA1INT,DEMAGRCOA,1,2022,0.5034
REGION1,SEA1INT,DEMAGRCOA,1,2023,0.5397
REGION1,SEA2INT,DEMAGRCOA,1,2024,0.4093
REGION1,SEA1BAS,DEMAGRCOA,1,2025,1.233
REGION1,SEA1INT,DEMAGRCOA,1,2026,0.6565
REGION1,SEA2INT,DEMAGRCOA,1,2027,0.4889
REGION1,SEA1BAS,DEMAGRCOA,1,2028,1.4667
REGION1,SEA1BAS,DEMAGRCOA,1,2029,1.5392
REGION1,SEA1INT,DEMAGRCOA,1,2030,0.8015
REGION1,SEA2INT,DEMAGRDSL,1,2016,41.0653
REGION1,SEA1INT,DEMAGRDSL,1,2017,62.4431
REGION1,SEA2PEK,DEMAGRDSL,1,2018,282.7869
REGION1,SEA1PEK,DEMAGRDSL,1,2019,426.3311
REGION1,SEA1PEK,DEMAGRDSL,1,2020,468.2478
REGION1,SEA2BAS,DEMAGRDSL,1,2021,119.8283
REGION1,SEA1BAS,DEMAGRDSL,1,2022,183.8182
REGION1,SEA1PEK,DEMAGRDSL,1,2023,593.9255
REGION1,SEA1INT,DEMAGRDSL,1,2024,105.8077
REGION1,SEA1INT,DEMAGRDSL,1,2025,112.7754
REGION1,SEA2PEK,DEMAGRDSL,1,2026,507.7015
REGION1,SEA2PEK,DEMAGRDSL,1,2027,537.2268
REGION1,SEA2BAS,DEMAGRDSL,1,2028,188.6703
REGION1,SEA1INT,DEMAGRDSL,1,2029,140.6339
REGION1,SEA1INT,DEMAGRDSL,1,2030,146.7276
REGION1,SEA1BAS,DEMAGRELCC02,1,2016,0.6798
REGION1,SEA1INT,DEMAGRELCC02,1,2016,0.8778
REGION1,SEA1PEK,DEMAGRELCC02,1,2016,1.0156
REGION1,SEA2BAS,DEMAGRELCC02,1,2016,0.7244
REGION1,SEA2INT,DEMAGRELCC02,1,2016,0.9191
REGION1,SEA2PEK,DEMAGRELCC02,1,2016,1.0471
REGION1,SEA1BAS,DEMAGRELCC02,1,2017,0.7295
REGION1,SEA1INT,DEMAGRELCC02,1,2017,0.942
REGION1,SEA1PEK,DEMAGRELCC02,1,2017,1.0898
REGION1,SEA2BAS,DEMAGRELCC02,1,2017,0.7774
REGION1,SEA2INT,DEMAGRELCC02,1,2017,0.9863
REGION1,SEA2PEK,DEMAGRELCC02,1,2017,1.1236
REGION1,SEA1BAS,DEMAGRELCC02,1,2018,0.7792
REGION1,SEA1INT,DEMAGRELCC02,1,2018,1.0062
REGION1,SEA1PEK,DEMAGRELCC02,1,2018,1.164
REGION1,SEA2BAS,DEMAGRELCC02,1,2018,0.8303
REGION1,SEA2INT,DEMAGRELCC02,1,2018,1.0535
REGION1,SEA2PEK,DEMAGRELCC02,1,2018,1.2002
REGION1,SEA1BAS,DEMAGRELCC02,1,2019,0.8289
REGION1,SEA1INT,DEMAGRELCC02,1,2019,1.0703
REGION1,SEA1PEK,DEMAGRELCC02,1,2019,1.2383
REGION1,SEA2BAS,DEMAGRELCC02,1,2019,0.8833
REGION1,SEA2INT,DEMAGRELCC02,1,2019,1.1207
REGION1,SEA2PEK,DEMAGRELCC02,1,2019,1.2767
REGION1,SEA1BAS,DEMAGRELCC02,1,2020,0.9103
REGION1,SEA1INT,DEMAGRELCC02,1,2020,1.1755
REGION1,SEA1PEK,DEMAGRELCC02,1,2020,1.36
REGION1,SEA2BAS,DEMAGRELCC02,1,2020,0.9701
REGION1,SEA2INT,DEMAGRELCC02,1,2020,1.2308
REGION1,SEA2PEK,DEMAGRELCC02,1,2020,1.4022
REGION1,SEA1BAS,DEMAGRELCC02,1,2021,0.9918
REGION1,SEA1INT,DEMAGRELCC02,1,2021,1.2808
REGION1,SEA1PEK,DEMAGRELCC02,1,2021,1.4817
REGION1,SEA2BAS,DEMAGRELCC02,1,2021,1.0569
REGION1,SEA2INT,DEMAGRELCC02,1,2021,1.341
REGION1,SEA2PEK,DEMAGRELCC02,1,2021,1.5277
REGION1,SEA1BAS,DEMAGRELCC02,1,2022,1.0733
REGION1,SEA1INT,DEMAGRELCC02,1,2022,1.3859
REGION1,SEA1PEK,DEMAGRELCC02,1,2022,1.6034
REGION1,SEA2BAS,DEMAGRELCC02,1,2022,1.1437
REGION1,SEA2INT,DEMAGRELCC02,1,2022,1.4511
REGION1,SEA2PEK,DEMAGRELCC02,1,2022,1.6532
REGION1,SEA1BAS,DEMAGRELCC02,1,2023,1.1547
REGION1,SEA1INT,DEMAGRELCC02,1,2023,1.4911
REGION1,SEA1PEK,DEMAGRELCC02,1,2023,1.7251
REGION1,SEA2BAS,DEMAGRELCC02,1,2023,1.2305
REGION1,SEA2INT,DEMAGRELCC02,1,2023,1.5613
REGION1,SEA2PEK,DEMAGRELCC02,1,2023,1.7786
REGION1,SEA1BAS,DEMAGRELCC02,1,2024,1.2361
REGION1,SEA1INT,DEMAGRELCC02,1,2024,1.5961
REGION1,SEA1PEK,DEMAGRELCC02,1,2024,1.8466
REGION1,SEA2BAS,DEMAGRELCC02,1,2024,1.3172
REGION1,SEA2INT,DEMAGRELCC02,1,2024,1.6713
REGION1,SEA2PEK,DEMAGRELCC02,1,2024,1.904
REGION1,SEA1BAS,DEMAGRELCC02,1,2025,1.3175
REGION1,SEA1INT,DEMAGRELCC02,1,2025,1.7013
REGION1,SEA1PEK,DEMAGRELCC02,1,2025,1.9683
REGION1,SEA2BAS,DEMAGRELCC02,1,2025,1.404
REGION1,SEA2INT,DEMAGRELCC02,1,2025,1.7814
REGION1,SEA2PEK,DEMAGRELCC02,1,2025,2.0294
REGION1,SEA1BAS,DEMAGRELCC02,1,2026,1.3989
REGION1,SEA1INT,DEMAGRELCC02,1,2026,1.8064
REGION1,SEA1PEK,DEMAGRELCC02,1,2026,2.0899
REGION1,SEA2BAS,DEMAGRELCC02,1,2026,1.4907
REGION1,SEA2INT,DEMAGRELCC02,1,2026,1.8914
REGION1,SEA2PEK,DEMAGRELCC02,1,2026,2.1547
