r,l,f,y,Demand
REGION1,SEA1BAS,AGRELCC02,2016,0.0844
REGION1,SEA1BAS,AGRELCC02,2017,0.0905
REGION1,SEA1BAS,AGRELCC02,2018,0.0967
REGION1,SEA1BAS,AGRELCC02,2019,0.1029
REGION1,SEA1BAS,AGRELCC02,2020,0.113
REGION1,SEA1BAS,AGRELCC02,2021,0.1231
REGION1,SEA1BAS,AGRELCC02,2022,0.1332
REGION1,SEA1BAS,AGRELCC02,2023,0.1433
REGION1,SEA1BAS,AGRELCC02,2024,0.1534
REGION1,SEA1BAS,AGRELCC02,2025,0.1635
REGION1,SEA1BAS,AGRELCC02,2026,0.1736
REGION1,SEA1BAS,AGRELCC02,2027,0.1837
REGION1,SEA1BAS,AGRELCC02,2028,0.1938
REGION1,SEA1BAS,AGRELCC02,2029,0.2039
REGION1,SEA1BAS,AGRELCC02,2030,0.2127
REGION1,SEA1BAS,AGRELCN02,2016,0.3728
REGION1,SEA1BAS,AGRELCN02,2017,0.4
REGION1,SEA1BAS,AGRELCN02,2018,0.4273
REGION1,SEA1BAS,AGRELCN02,2019,0.4545
REGION1,SEA1BAS,AGRELCN02,2020,0.4992
REGION1,SEA1BAS,AGRELCN02,2021,0.5438
REGION1,SEA1BAS,AGRELCN02,2022,0.5885
REGION1,SEA1BAS,AGRELCN02,2023,0.6332
REGION1,SEA1BAS,AGRELCN02,2024,0.6778
REGION1,SEA1BAS,AGRELCN02,2025,0.7224
REGION1,SEA1BAS,AGRELCN02,2026,0.7671
REGION1,SEA1BAS,AGRELCN02,2027,0.8117
REGION1,SEA1BAS,AGRELCN02,2028,0.8563
REGION1,SEA1BAS,AGRELCN02,2029,0.9009
REGION1,SEA1BAS,AGRELCN02,2030,0.9399
REGION1,SEA1BAS,AGRELCS02,2016,0.456
REGION1,SEA1BAS,AGRELCS02,2017,0.4893
REGION1,SEA1BAS,AGRELCS02,2018,0.5226
REGION1,SEA1BAS,AGRELCS02,2019,0.556
REGION1,SEA1BAS,AGRELCS02,2020,0.6106
REGION1,SEA1BAS,AGRELCS02,2021,0.6653
REGION1,SEA1BAS,AGRELCS02,2022,0.7199
