r,t,y,TotalTechnologyAnnualActivity
REGION1,DEMAGRCOA,2016,0.079
REGION1,DEMAGRCOA,2017,0.085
REGION1,DEMAGRCOA,2018,0.091
REGION1,DEMAGRCOA,2019,0.096
REGION1,DEMAGRCOA,2020,0.106
REGION1,DEMAGRCOA,2021,0.115
REGION1,DEMAGRCOA,2022,0.125
REGION1,DEMAGRCOA,2023,0.134
REGION1,DEMAGRCOA,2024,0.144
REGION1,DEMAGRCOA,2025,0.153
REGION1,DEMAGRCOA,2026,0.163
REGION1,DEMAGRCOA,2027,0.172
REGION1,DEMAGRCOA,2028,0.182
REGION1,DEMAGRCOA,2029,0.191
REGION1,DEMAGRCOA,2030,0.199
REGION1,DEMAGRDSL,2016,14.448
REGION1,DEMAGRDSL,2017,15.504
REGION1,DEMAGRDSL,2018,16.56
REGION1,DEMAGRDSL,2019,17.616
REGION1,DEMAGRDSL,2020,19.348
REGION1,DEMAGRDSL,2021,21.079
REGION1,DEMAGRDSL,2022,22.81
REGION1,DEMAGRDSL,2023,24.541
REGION1,DEMAGRDSL,2024,26.271
REGION1,DEMAGRDSL,2025,28.001
REGION1,DEMAGRDSL,2026,29.731
REGION1,DEMAGRDSL,2027,31.46
REGION1,DEMAGRDSL,2028,33.189
REGION1,DEMAGRDSL,2029,34.918
REGION1,DEMAGRDSL,2030,36.431
REGION1,DEMAGRELCC02,2016,0.8564
REGION1,DEMAGRELCC02,2017,0.919
REGION1,DEMAGRELCC02,2018,0.9816
REGION1,DEMAGRELCC02,2019,1.0442
REGION1,DEMAGRELCC02,2020,1.1468
REGION1,DEMAGRELCC02,2021,1.2495
REGION1,DEMAGRELCC02,2022,1.3521
REGION1,DEMAGRELCC02,2023,1.4547
REGION1,DEMAGRELCC02,2024,1.5572
REGION1,DEMAGRELCC02,2025,1.6598
REGION1,DEMAGRELCC02,2026,1.7623
REGION1,DEMAGRELCC02,2027,1.8648
REGION1,DEMAGRELCC02,2028,1.9673
REGION1,DEMAGRELCC02,2029,2.0698
REGION1,DEMAGRELCC02,2030,2.1594
REGION1,DEMAGRELCN02,2016,3.7844
REGION1,DEMAGRELCN02,2017,4.0611
REGION1,DEMAGRELCN02,2018,4.3377
REGION1,DEMAGRELCN02,2019,4.6142
REGION1,DEMAGRELCN02,2020,5.0678
REGION1,DEMAGRELCN02,2021,5.5213
REGION1,DEMAGRELCN02,2022,5.9747
REGION1,DEMAGRELCN02,2023,6.4281
REGION1,DEMAGRELCN02,2024,6.8813
REGION1,DEMAGRELCN02,2025,7.3344
REGION1,DEMAGRELCN02,2026,7.7874
REGION1,DEMAGRELCN02,2027,8.2404
REGION1,DEMAGRELCN02,2028,8.6933
REGION1,DEMAGRELCN02,2029,9.1461
REGION1,DEMAGRELCN02,2030,9.5423
REGION1,DEMAGRELCS02,2016,4.6292
REGION1,DEMAGRELCS02,2017,4.9677
REGION1,DEMAGRELCS02,2018,5.306
REGION1,DEMAGRELCS02,2019,5.6442
REGION1,DEMAGRELCS02,2020,6.1992
REGION1,DEMAGRELCS02,2021,6.7539
REGION1,DEMAGRELCS02,2022,7.3086
REGION1,DEMAGRELCS02,2023,7.8631
REGION1,DEMAGRELCS02,2024,8.4175
REGION1,DEMAGRELCS02,2025,8.9717
REGION1,DEMAGRELCS02,2026,9.5259
REGION1,DEMAGRELCS02,2027,10.08
REGION1,DEMAGRELCS02,2028,10.634
REGION1,DEMAGRELCS02,2029,11.1879
REGION1,DEMAGRELCS02,2030,11.6725
REGION1,DEMAGRGSL,2016,5.848
REGION1,DEMAGRGSL,2017,6.275
REGION1,DEMAGRGSL,2018,6.703
REGION1,DEMAGRGSL,2019,7.13
REGION1,DEMAGRGSL,2020,7.831
REGION1,DEMAGRGSL,2021,8.532
REGION1,DEMAGRGSL,2022,9.232
REGION1,DEMAGRGSL,2023,9.933
REGION1,DEMAGRGSL,2024,10.633
REGION1,DEMAGRGSL,2025,11.333
REGION1,DEMAGRGSL,2026,12.033
REGION1,DEMAGRGSL,2027,12.733
REGION1,DEMAGRGSL,2028,13.433
REGION1,DEMAGRGSL,2029,14.133
REGION1,DEMAGRGSL,2030,14.745
REGION1,DEMAGRSURMRD,2016,4.2071
REGION1,DEMAGRSURMRD,2017,4.5721
REGION1,DEMAGRSURMRD,2018,5.1465
REGION1,DEMAGRSURMRD,2019,5.4764
REGION1,DEMAGRSURMRD,2020,5.9638
REGION1,DEMAGRSURMRD,2021,6.4492
REGION1,DEMAGRSURMRD,2022,6.8578
REGION1,DEMAGRSURMRD,2023,7.2403
REGION1,DEMAGRSURMRD,2024,7.6664
REGION1,DEMAGRSURMRD,2025,8.0127
REGION1,DEMAGRSURMRD,2026,8.2992
REGION1,DEMAGRSURMRD,2027,8.6121
REGION1,DEMAGRSURMRD,2028,8.9362
REGION1,DEMAGRSURMRD,2029,9.205
REGION1,DEMAGRSURMRD,2030,9.4735
REGION1,DEMAGRSURNOC,2016,2.2006
REGION1,DEMAGRSURNOC,2017,2.2158
REGION1,DEMAGRSURNOC,2018,2.1212
REGION1,DEMAGRSURNOC,2019,1.9676
REGION1,DEMAGRSURNOC,2020,2.0516
REGION1,DEMAGRSURNOC,2021,2.1728
REGION1,DEMAGRSURNOC,2022,2.2475
REGION1,DEMAGRSURNOC,2023,2.2676
REGION1,DEMAGRSURNOC,2024,2.288
REGION1,DEMAGRSURNOC,2025,2.3036
REGION1,DEMAGRSURNOC,2026,2.3205
REGION1,DEMAGRSURNOC,2027,2.3424
REGION1,DEMAGRSURNOC,2028,2.3821
REGION1,DEMAGRSURNOC,2029,2.4329
REGION1,DEMAGRSURNOC,2030,2.469
REGION1,DEMAGRSURNOE,2016,0.2021
REGION1,DEMAGRSURNOE,2017,0.1862
REGION1,DEMAGRSURNOE,2018,0.1699
REGION1,DEMAGRSURNOE,2019,0.1555
REGION1,DEMAGRSURNOE,2020,0.1373
REGION1,DEMAGRSURNOE,2021,0.1215
REGION1,DEMAGRSURNOE,2022,0.1058
REGION1,DEMAGRSURNOE,2023,0.0942
REGION1,DEMAGRSURNOE,2024,0.0818
REGION1,DEMAGRSURNOE,2025,0.0701
REGION1,DEMAGRSURNOE,2026,0.0589
REGION1,DEMAGRSURNOE,2027,0.0484
REGION1,DEMAGRSURNOE,2028,0.0385
REGION1,DEMAGRSURNOE,2029,0.0291
REGION1,DEMAGRSURNOE,2030,0.0202
REGION1,DEMAGRSURNOW,2016,0.8436
REGION1,DEMAGRSURNOW,2017,0.7873
REGION1,DEMAGRSURNOW,2018,0.7311
REGION1,DEMAGRSURNOW,2019,0.6749
REGION1,DEMAGRSURNOW,2020,0.6186
REGION1,DEMAGRSURNOW,2021,0.5624
REGION1,DEMAGRSURNOW,2022,0.5061
REGION1,DEMAGRSURNOW,2023,0.4499
REGION1,DEMAGRSURNOW,2024,0.3937
REGION1,DEMAGRSURNOW,2025,0.3362
REGION1,DEMAGRSURNOW,2026,0.2828
REGION1,DEMAGRSURNOW,2027,0.2329
REGION1,DEMAGRSURNOW,2028,0.1859
REGION1,DEMAGRSURNOW,2029,0.1415
REGION1,DEMAGRSURNOW,2030,0.0993
REGION1,DEMAGRSURRRD,2016,0.1865
REGION1,DEMAGRSURRRD,2017,0.1788
REGION1,DEMAGRSURRRD,2018,0.1688
REGION1,DEMAGRSURRRD,2019,0.1571
REGION1,DEMAGRSURRRD,2020,0.1492
REGION1,DEMAGRSURRRD,2021,0.1392
REGION1,DEMAGRSURRRD,2022,0.1294
REGION1,DEMAGRSURRRD,2023,0.1199
REGION1,DEMAGRSURRRD,2024,0.1099
REGION1,DEMAGRSURRRD,2025,0.0998
REGION1,DEMAGRSURRRD,2026,0.0869
REGION1,DEMAGRSURRRD,2027,0.0722
REGION1,DEMAGRSURRRD,2028,0.0587
REGION1,DEMAGRSURRRD,2029,0.0467
REGION1,DEMAGRSURRRD,2030,0.0399
REGION1,DEMAGRSURSOC,2016,6.7566
REGION1,DEMAGRSURSOC,2017,7.8442
REGION1,DEMAGRSURSOC,2018,8.6835
REGION1,DEMAGRSURSOC,2019,9.4573
REGION1,DEMAGRSURSOC,2020,10.3672
REGION1,DEMAGRSURSOC,2021,11.2092
REGION1,DEMAGRSURSOC,2022,12.0441
REGION1,DEMAGRSURSOC,2023,12.8933
REGION1,DEMAGRSURSOC,2024,13.6427
REGION1,DEMAGRSURSOC,2025,14.3601
REGION1,DEMAGRSURSOC,2026,15.0384
REGION1,DEMAGRSURSOC,2027,15.6762
REGION1,DEMAGRSURSOC,2028,16.2821
REGION1,DEMAGRSURSOC,2029,17.0136
REGION1,DEMAGRSURSOC,2030,17.4643
REGION1,DEMAGRSURSOE,2016,4.8395
REGION1,DEMAGRSURSOE,2017,4.4649
REGION1,DEMAGRSURSOE,2018,4.2452
REGION1,DEMAGRSURSOE,2019,3.9976
REGION1,DEMAGRSURSOE,2020,3.8044
REGION1,DEMAGRSURSOE,2021,3.6201
REGION1,DEMAGRSURSOE,2022,3.4169
REGION1,DEMAGRSURSOE,2023,3.2125
REGION1,DEMAGRSURSOE,2024,3.1122
REGION1,DEMAGRSURSOE,2025,3.2059
REGION1,DEMAGRSURSOE,2026,3.444
REGION1,DEMAGRSURSOE,2027,3.8789
