r,t,y,AnnualFixedOperatingCost
Region1,MSOY,2014,15.3186
Region1,MSOY,2015,16.3805
Region1,MSOY,2016,16.3805
Region1,MSOY,2017,16.3805
Region1,MSOY,2018,16.3805
Region1,MSOY,2019,16.3805
Region1,MSOY,2020,16.3805
Region1,MSOY,2021,16.3805
Region1,MSOY,2022,16.3805
Region1,MSOY,2023,16.3805
Region1,MSOY,2024,16.3805
Region1,MSOY,2025,16.3805
Region1,MSOY,2026,16.3805
Region1,MSOY,2027,16.3805
Region1,MSOY,2028,16.3805
Region1,MSOY,2029,16.3805
Region1,MSOY,2030,16.3805
Region1,PWRBIO001,2014,5.6
Region1,PWRBIO001,2015,5.5417
Region1,PWRBIO001,2016,5.4833
Region1,PWRBIO001,2017,5.425
Region1,PWRBIO001,2018,5.3667
Region1,PWRBIO001,2019,5.3083
Region1,PWRBIO001,2020,5.25
Region1,PWRBIO001,2021,5.25
Region1,PWRBIO001,2022,5.25
Region1,PWRBIO001,2023,5.25
Region1,PWRBIO001,2024,5.25
Region1,PWRBIO001,2025,5.25
Region1,PWRBIO001,2026,5.25
Region1,PWRBIO001,2027,5.25
Region1,PWRBIO001,2028,3.75
Region1,PWRBIO001,2029,3.75
Region1,PWRBIO001,2030,3.75
Region1,PWRBIO002,2015,1.1875
Region1,PWRBIO002,2016,1.175
Region1,PWRBIO002,2017,1.1625
Region1,PWRBIO002,2018,1.15
Region1,PWRBIO002,2019,4.1708
Region1,PWRBIO002,2020,4.125
Region1,PWRBIO002,2021,4.125
Region1,PWRBIO002,2022,4.125
Region1,PWRBIO002,2023,4.125
Region1,PWRBIO002,2024,4.125
Region1,PWRBIO002,2025,4.125
Region1,PWRBIO002,2026,4.125
Region1,PWRBIO002,2027,4.125
Region1,PWRBIO002,2028,4.125
Region1,PWRBIO002,2029,4.125
Region1,PWRBIO002,2030,4.125
Region1,PWRDSL001,2014,0.4
Region1,PWRDSL001,2015,0.4
Region1,PWRDSL001,2016,0.3
Region1,PWRDSL001,2017,0.3
Region1,PWRDSL001,2018,0.3
Region1,PWRDSL001,2019,0.3
Region1,PWRDSL001,2020,0.3
Region1,PWRDSL001,2021,0.3
Region1,PWRDSL001,2022,0.3
Region1,PWRDSL001,2023,0.3
Region1,PWRDSL001,2024,0.3
Region1,PWRDSL001,2025,0.3
Region1,PWRDSL001,2026,0.3
Region1,PWRDSL001,2027,0.3
Region1,PWRDSL001,2028,0.3
Region1,PWRDSL001,2029,0.3
Region1,PWRDSL001,2030,0.0909
Region1,PWRGEO001,2017,0.39
Region1,PWRGEO001,2018,0.39
Region1,PWRGEO001,2019,0.39
Region1,PWRGEO001,2020,4.68
Region1,PWRGEO001,2021,4.68
Region1,PWRGEO001,2022,4.68
Region1,PWRGEO001,2023,8.58
Region1,PWRGEO001,2024,8.58
Region1,PWRGEO001,2025,8.58
Region1,PWRGEO001,2026,8.58
Region1,PWRGEO001,2027,8.58
Region1,PWRGEO001,2028,8.58
Region1,PWRGEO001,2029,8.58
Region1,PWRGEO001,2030,8.58
Region1,PWRHYD001,2014,7.7
Region1,PWRHYD001,2015,7.7
Region1,PWRHYD001,2016,7.7
Region1,PWRHYD001,2017,7.7
Region1,PWRHYD001,2018,7.7
Region1,PWRHYD001,2019,7.0
Region1,PWRHYD001,2020,5.6
Region1,PWRHYD001,2021,5.6
Region1,PWRHYD001,2022,5.6
Region1,PWRHYD001,2023,5.6
Region1,PWRHYD001,2024,5.6
Region1,PWRHYD001,2025,5.6
Region1,PWRHYD001,2026,5.6
Region1,PWRHYD001,2027,5.6
Region1,PWRHYD001,2028,5.6
Region1,PWRHYD001,2029,5.6
Region1,PWRHYD001,2030,5.6
Region1,PWRHYD002,2014,13.75
Region1,PWRHYD002,2015,13.75
Region1,PWRHYD002,2016,13.75
Region1,PWRHYD002,2017,13.75
Region1,PWRHYD002,2018,13.75
Region1,PWRHYD002,2019,13.75
Region1,PWRHYD002,2020,23.65
Region1,PWRHYD002,2021,23.65
Region1,PWRHYD002,2022,28.325
Region1,PWRHYD002,2023,28.325
Region1,PWRHYD002,2024,28.325
Region1,PWRHYD002,2025,26.675
Region1,PWRHYD002,2026,26.675
Region1,PWRHYD002,2027,26.675
Region1,PWRHYD002,2028,26.675
Region1,PWRHYD002,2029,26.675
Region1,PWRHYD002,2030,26.675
Region1,PWRHYD003,2014,2.1
Region1,PWRHYD003,2015,2.1
Region1,PWRHYD003,2016,2.1
Region1,PWRHYD003,2017,2.1
Region1,PWRHYD003,2018,2.1
Region1,PWRHYD003,2019,5.25
Region1,PWRHYD003,2020,5.25
Region1,PWRHYD003,2021,5.25
Region1,PWRHYD003,2022,5.25
Region1,PWRHYD003,2023,4.55
Region1,PWRHYD003,2024,4.55
Region1,PWRHYD003,2025,4.55
Region1,PWRHYD003,2026,4.55
Region1,PWRHYD003,2027,4.55
Region1,PWRHYD003,2028,4.55
Region1,PWRHYD003,2029,4.55
Region1,PWRHYD003,2030,4.55
Region1,PWRHYD004,2014,4.95
Region1,PWRHYD004,2015,9.35
Region1,PWRHYD004,2016,9.35
Region1,PWRHYD004,2017,9.35
Region1,PWRHYD004,2018,11.55
