r,t,e,m,y,AnnualTechnologyEmissionByMode
Region1,DEMCOMLPG,CO2PET,1,2014,0.0155
Region1,DEMCOMLPG,CO2PET,1,2015,0.0174
Region1,DEMCOMLPG,CO2PET,1,2016,0.0194
Region1,DEMCOMLPG,CO2PET,1,2017,0.0214
Region1,DEMCOMLPG,CO2PET,1,2018,0.0221
Region1,DEMCOMLPG,CO2PET,1,2019,0.0227
Region1,DEMCOMLPG,CO2PET,1,2020,0.0233
Region1,DEMCOMLPG,CO2PET,1,2021,0.0237
Region1,DEMCOMLPG,CO2PET,1,2022,0.0241
Region1,DEMCOMLPG,CO2PET,1,2023,0.0245
Region1,DEMCOMLPG,CO2PET,1,2024,0.0248
Region1,DEMCOMLPG,CO2PET,1,2025,0.0252
Region1,DEMCOMLPG,CO2PET,1,2026,0.0256
Region1,DEMCOMLPG,CO2PET,1,2027,0.026
Region1,DEMCOMLPG,CO2PET,1,2028,0.0264
Region1,DEMCOMLPG,CO2PET,1,2029,0.0266
Region1,DEMCOMLPG,CO2PET,1,2030,0.0269
Region1,DEMCOMNGS,CO2NGS,1,2014,0.0826
Region1,DEMCOMNGS,CO2NGS,1,2015,0.0876
Region1,DEMCOMNGS,CO2NGS,1,2016,0.0928
Region1,DEMCOMNGS,CO2NGS,1,2017,0.0981
Region1,DEMCOMNGS,CO2NGS,1,2018,0.1038
Region1,DEMCOMNGS,CO2NGS,1,2019,0.1096
Region1,DEMCOMNGS,CO2NGS,1,2020,0.1155
Region1,DEMCOMNGS,CO2NGS,1,2021,0.1207
Region1,DEMCOMNGS,CO2NGS,1,2022,0.1259
Region1,DEMCOMNGS,CO2NGS,1,2023,0.1312
Region1,DEMCOMNGS,CO2NGS,1,2024,0.1367
Region1,DEMCOMNGS,CO2NGS,1,2025,0.1422
Region1,DEMCOMNGS,CO2NGS,1,2026,0.1486
Region1,DEMCOMNGS,CO2NGS,1,2027,0.1552
Region1,DEMCOMNGS,CO2NGS,1,2028,0.162
Region1,DEMCOMNGS,CO2NGS,1,2029,0.1689
Region1,DEMCOMNGS,CO2NGS,1,2030,0.1759
Region1,DEMINDDSL,CO2PET,1,2014,0.2506
Region1,DEMINDDSL,CO2PET,1,2015,0.2519
Region1,DEMINDDSL,CO2PET,1,2016,0.2522
Region1,DEMINDDSL,CO2PET,1,2017,0.2515
Region1,DEMINDDSL,CO2PET,1,2018,0.2498
Region1,DEMINDDSL,CO2PET,1,2019,0.2472
Region1,DEMINDDSL,CO2PET,1,2020,0.2436
Region1,DEMINDDSL,CO2PET,1,2021,0.2327
Region1,DEMINDDSL,CO2PET,1,2022,0.2217
Region1,DEMINDDSL,CO2PET,1,2023,0.2105
Region1,DEMINDDSL,CO2PET,1,2024,0.1991
Region1,DEMINDDSL,CO2PET,1,2025,0.1875
Region1,DEMINDDSL,CO2PET,1,2026,0.1778
Region1,DEMINDDSL,CO2PET,1,2027,0.1676
Region1,DEMINDDSL,CO2PET,1,2028,0.1569
Region1,DEMINDDSL,CO2PET,1,2029,0.1458
Region1,DEMINDDSL,CO2PET,1,2030,0.1341
Region1,DEMINDLPG,CO2PET,1,2014,0.0291
Region1,DEMINDLPG,CO2PET,1,2015,0.0295
Region1,DEMINDLPG,CO2PET,1,2016,0.0299
Region1,DEMINDLPG,CO2PET,1,2017,0.0301
Region1,DEMINDLPG,CO2PET,1,2018,0.0302
Region1,DEMINDLPG,CO2PET,1,2019,0.0303
Region1,DEMINDLPG,CO2PET,1,2020,0.0303
Region1,DEMINDLPG,CO2PET,1,2021,0.0294
Region1,DEMINDLPG,CO2PET,1,2022,0.0284
Region1,DEMINDLPG,CO2PET,1,2023,0.0275
Region1,DEMINDLPG,CO2PET,1,2024,0.0265
Region1,DEMINDLPG,CO2PET,1,2025,0.0255
Region1,DEMINDLPG,CO2PET,1,2026,0.0248
Region1,DEMINDLPG,CO2PET,1,2027,0.0241
Region1,DEMINDLPG,CO2PET,1,2028,0.0233
Region1,DEMINDLPG,CO2PET,1,2029,0.0224
Region1,DEMINDLPG,CO2PET,1,2030,0.0215
Region1,DEMINDNGS,CO2NGS,1,2014,1.6443
Region1,DEMINDNGS,CO2NGS,1,2015,1.7676
Region1,DEMINDNGS,CO2NGS,1,2016,2.9529
Region1,DEMINDNGS,CO2NGS,1,2017,3.0809
Region1,DEMINDNGS,CO2NGS,1,2018,3.3881
Region1,DEMINDNGS,CO2NGS,1,2019,3.6607
Region1,DEMINDNGS,CO2NGS,1,2020,3.8336
Region1,DEMINDNGS,CO2NGS,1,2021,3.9668
Region1,DEMINDNGS,CO2NGS,1,2022,4.1056
Region1,DEMINDNGS,CO2NGS,1,2023,4.2504
Region1,DEMINDNGS,CO2NGS,1,2024,4.4026
Region1,DEMINDNGS,CO2NGS,1,2025,4.5617
Region1,DEMINDNGS,CO2NGS,1,2026,4.7345
Region1,DEMINDNGS,CO2NGS,1,2027,4.9064
Region1,DEMINDNGS,CO2NGS,1,2028,5.0802
Region1,DEMINDNGS,CO2NGS,1,2029,5.2559
Region1,DEMINDNGS,CO2NGS,1,2030,6.8409
Region1,DEMPWRDSL,CO2PET,1,2014,0.0396
Region1,DEMPWRDSL,CO2PET,1,2015,0.0349
Region1,DEMPWRDSL,CO2PET,1,2016,0.0248
Region1,DEMPWRDSL,CO2PET,1,2017,0.0247
Region1,DEMPWRDSL,CO2PET,1,2018,0.0245
Region1,DEMPWRDSL,CO2PET,1,2019,0.0243
Region1,DEMPWRDSL,CO2PET,1,2020,0.0055
Region1,DEMPWRDSL,CO2PET,1,2021,0.0057
Region1,DEMPWRDSL,CO2PET,1,2022,0.0059
Region1,DEMPWRDSL,CO2PET,1,2023,0.006
Region1,DEMPWRDSL,CO2PET,1,2024,0.0062
Region1,DEMPWRDSL,CO2PET,1,2025,0.0064
Region1,DEMPWRDSL,CO2PET,1,2026,0.0066
Region1,DEMPWRDSL,CO2PET,1,2027,0.0067
Region1,DEMPWRDSL,CO2PET,1,2028,0.0069
Region1,DEMPWRDSL,CO2PET,1,2029,0.0071
Region1,DEMPWRDSL,CO2PET,1,2030,0.0045
Region1,DEMPWRNGS,CO2NGS,1,2014,5.6932
Region1,DEMPWRNGS,CO2NGS,1,2015,5.9792
Region1,DEMPWRNGS,CO2NGS,1,2016,6.2479
Region1,DEMPWRNGS,CO2NGS,1,2017,6.1664
Region1,DEMPWRNGS,CO2NGS,1,2018,6.2415
Region1,DEMPWRNGS,CO2NGS,1,2019,6.5567
Region1,DEMPWRNGS,CO2NGS,1,2020,5.3515
Region1,DEMPWRNGS,CO2NGS,1,2021,5.443
Region1,DEMPWRNGS,CO2NGS,1,2022,4.8236
Region1,DEMPWRNGS,CO2NGS,1,2023,5.0017
Region1,DEMPWRNGS,CO2NGS,1,2024,5.3049
Region1,DEMPWRNGS,CO2NGS,1,2025,5.6635
Region1,DEMPWRNGS,CO2NGS,1,2026,6.0257
Region1,DEMPWRNGS,CO2NGS,1,2027,6.3545
Region1,DEMPWRNGS,CO2NGS,1,2028,6.6815
