r,t,f,y,UseByTechnologyAnnual
Region1,DEMAGRELC,ELC002,2014,0.2016
Region1,DEMAGRELC,ELC002,2015,0.0944
Region1,DEMAGRELC,ELC002,2016,0.2438
Region1,DEMAGRELC,ELC002,2017,0.2605
Region1,DEMAGRELC,ELC002,2018,0.2396
Region1,DEMAGRELC,ELC002,2019,0.2374
Region1,DEMAGRELC,ELC002,2020,0.2351
Region1,DEMAGRELC,ELC002,2021,0.2331
Region1,DEMAGRELC,ELC002,2022,0.2308
Region1,DEMAGRELC,ELC002,2023,0.2266
Region1,DEMAGRELC,ELC002,2024,0.2243
Region1,DEMAGRELC,ELC002,2025,0.2218
Region1,DEMAGRELC,ELC002,2026,0.2193
Region1,DEMAGRELC,ELC002,2027,0.2168
Region1,DEMAGRELC,ELC002,2028,0.214
Region1,DEMAGRELC,ELC002,2029,0.2041
Region1,DEMAGRELC,ELC002,2030,0.2083
Region1,DEMAGRGWTR01,AGRELC,2014,0.0
Region1,DEMAGRGWTR01,AGRELC,2016,0.0437
Region1,DEMAGRGWTR01,AGRELC,2017,0.048
Region1,DEMAGRGWTR01,AGRELC,2018,0.0437
Region1,DEMAGRGWTR01,AGRELC,2019,0.0434
Region1,DEMAGRGWTR01,AGRELC,2020,0.0432
Region1,DEMAGRGWTR01,AGRELC,2021,0.0432
Region1,DEMAGRGWTR01,AGRELC,2022,0.0432
Region1,DEMAGRGWTR01,AGRELC,2023,0.0432
Region1,DEMAGRGWTR01,AGRELC,2024,0.0418
Region1,DEMAGRGWTR01,AGRELC,2025,0.0405
Region1,DEMAGRGWTR01,AGRELC,2026,0.0391
Region1,DEMAGRGWTR01,AGRELC,2027,0.0377
Region1,DEMAGRGWTR01,AGRELC,2028,0.036
Region1,DEMAGRGWTR01,AGRELC,2029,0.0437
Region1,DEMAGRGWTR01,AGRELC,2030,0.0437
Region1,DEMAGRGWTR31,AGRELC,2014,0.1828
Region1,DEMAGRGWTR31,AGRELC,2015,0.0856
Region1,DEMAGRGWTR31,AGRELC,2016,0.1774
Region1,DEMAGRGWTR31,AGRELC,2017,0.1883
Region1,DEMAGRGWTR31,AGRELC,2018,0.1737
Region1,DEMAGRGWTR31,AGRELC,2019,0.1719
Region1,DEMAGRGWTR31,AGRELC,2020,0.1701
Region1,DEMAGRGWTR31,AGRELC,2021,0.1682
Region1,DEMAGRGWTR31,AGRELC,2022,0.1662
Region1,DEMAGRGWTR31,AGRELC,2023,0.1624
Region1,DEMAGRGWTR31,AGRELC,2024,0.1617
Region1,DEMAGRGWTR31,AGRELC,2025,0.1607
Region1,DEMAGRGWTR31,AGRELC,2026,0.1598
Region1,DEMAGRGWTR31,AGRELC,2027,0.1589
Region1,DEMAGRGWTR31,AGRELC,2028,0.1582
Region1,DEMAGRGWTR31,AGRELC,2029,0.1415
Region1,DEMAGRGWTR31,AGRELC,2030,0.1452
Region1,DEMAGRWATR01,WTRSURR01,2014,0.246
Region1,DEMAGRWATR01,WTRSURR01,2015,0.246
Region1,DEMAGRWATR01,WTRSURR01,2016,0.2133
Region1,DEMAGRWATR01,WTRSURR01,2017,0.2141
Region1,DEMAGRWATR01,WTRSURR01,2018,0.2133
Region1,DEMAGRWATR01,WTRSURR01,2019,0.2133
Region1,DEMAGRWATR01,WTRSURR01,2020,0.2133
Region1,DEMAGRWATR01,WTRSURR01,2021,0.2133
Region1,DEMAGRWATR01,WTRSURR01,2022,0.2133
Region1,DEMAGRWATR01,WTRSURR01,2023,0.2133
Region1,DEMAGRWATR01,WTRSURR01,2024,0.2132
Region1,DEMAGRWATR01,WTRSURR01,2025,0.2134
Region1,DEMAGRWATR01,WTRSURR01,2026,0.2124
Region1,DEMAGRWATR01,WTRSURR01,2027,0.2134
Region1,DEMAGRWATR01,WTRSURR01,2028,0.2135
Region1,DEMAGRWATR01,WTRSURR01,2029,0.2131
Region1,DEMAGRWATR01,WTRSURR01,2030,0.2131
Region1,DEMAGRWATR02,WTRSURR02,2014,0.0863
Region1,DEMAGRWATR02,WTRSURR02,2015,0.0933
Region1,DEMAGRWATR02,WTRSURR02,2016,0.1001
Region1,DEMAGRWATR02,WTRSURR02,2017,0.0993
Region1,DEMAGRWATR02,WTRSURR02,2018,0.0998
Region1,DEMAGRWATR02,WTRSURR02,2019,0.1
Region1,DEMAGRWATR02,WTRSURR02,2020,0.0998
Region1,DEMAGRWATR02,WTRSURR02,2021,0.1001
Region1,DEMAGRWATR02,WTRSURR02,2022,0.0995
Region1,DEMAGRWATR02,WTRSURR02,2023,0.1001
Region1,DEMAGRWATR02,WTRSURR02,2024,0.0987
Region1,DEMAGRWATR02,WTRSURR02,2025,0.0997
Region1,DEMAGRWATR02,WTRSURR02,2026,0.0997
Region1,DEMAGRWATR02,WTRSURR02,2027,0.098
Region1,DEMAGRWATR02,WTRSURR02,2028,0.0966
Region1,DEMAGRWATR02,WTRSURR02,2029,0.1001
Region1,DEMAGRWATR02,WTRSURR02,2030,0.1001
Region1,DEMAGRWATR03,WTRSURR03,2014,0.0758
Region1,DEMAGRWATR03,WTRSURR03,2015,0.0758
Region1,DEMAGRWATR03,WTRSURR03,2016,0.0766
Region1,DEMAGRWATR03,WTRSURR03,2017,0.074
Region1,DEMAGRWATR03,WTRSURR03,2018,0.0769
Region1,DEMAGRWATR03,WTRSURR03,2019,0.0765
Region1,DEMAGRWATR03,WTRSURR03,2020,0.0765
Region1,DEMAGRWATR03,WTRSURR03,2021,0.0763
Region1,DEMAGRWATR03,WTRSURR03,2022,0.0769
Region1,DEMAGRWATR03,WTRSURR03,2023,0.0763
Region1,DEMAGRWATR03,WTRSURR03,2024,0.0768
Region1,DEMAGRWATR03,WTRSURR03,2025,0.0747
Region1,DEMAGRWATR03,WTRSURR03,2026,0.0748
Region1,DEMAGRWATR03,WTRSURR03,2027,0.0744
Region1,DEMAGRWATR03,WTRSURR03,2028,0.0747
Region1,DEMAGRWATR03,WTRSURR03,2029,0.0769
