r,t,y,DiscountedSalvageValue
Region1,DEMAGRGWTR31,2029,0.0538
Region1,DEMAGRWATR01,2029,0.0843
Region1,DEMAGRWATR02,2029,0.0296
Region1,DEMAGRWATR02,2030,0.0025
Region1,DEMAGRWATR03,2029,0.026
Region1,DEMAGRWATR04,2017,0.0
Region1,DEMAGRWATR04,2029,0.0101
Region1,DEMAGRWATR04,2030,0.111
Region1,DEMAGRWATR05,2017,0.0
Region1,DEMAGRWATR05,2026,0.0003
Region1,DEMAGRWATR05,2028,0.0
Region1,DEMAGRWATR05,2029,0.014
Region1,DEMAGRWATR05,2030,0.0048
Region1,DEMAGRWATR06,2029,0.0419
Region1,DEMAGRWATR06,2030,0.011
Region1,DEMAGRWATR07,2017,0.0
Region1,DEMAGRWATR07,2029,0.025
Region1,DEMAGRWATR07,2030,0.0456
Region1,DEMAGRWATR08,2029,0.109
Region1,DEMAGRWATR09,2019,0.0009
Region1,DEMAGRWATR09,2020,0.0017
Region1,DEMAGRWATR09,2021,0.002
Region1,DEMAGRWATR09,2022,0.0007
Region1,DEMAGRWATR09,2023,0.0009
Region1,DEMAGRWATR09,2024,0.001
Region1,DEMAGRWATR09,2025,0.0017
Region1,DEMAGRWATR09,2026,0.0011
Region1,DEMAGRWATR09,2027,0.0011
Region1,DEMAGRWATR09,2028,0.0013
Region1,DEMAGRWATR09,2029,0.017
Region1,DEMAGRWATR09,2030,0.1113
Region1,DEMAGRWATR10,2030,0.0592
Region1,DEMAGRWATR11,2017,0.0
Region1,DEMAGRWATR11,2029,0.0096
Region1,DEMAGRWATR11,2030,0.0223
Region1,DEMAGRWATR12,2017,0.0
Region1,DEMAGRWATR12,2029,0.0717
Region1,DEMAGRWATR12,2030,0.2673
Region1,DEMAGRWATR13,2029,0.0756
Region1,DEMAGRWATR13,2030,0.0963
Region1,DEMAGRWATR14,2017,0.0
Region1,DEMAGRWATR14,2029,0.0662
Region1,DEMAGRWATR14,2030,0.1082
Region1,DEMAGRWATR15,2017,0.0
Region1,DEMAGRWATR15,2029,0.0479
Region1,DEMAGRWATR15,2030,0.0373
Region1,DEMAGRWATR16,2017,0.0
Region1,DEMAGRWATR16,2029,0.1125
Region1,DEMAGRWATR16,2030,0.0894
Region1,DEMAGRWATR17,2017,0.0
Region1,DEMAGRWATR17,2029,0.1505
Region1,DEMAGRWATR17,2030,0.0823
Region1,DEMAGRWATR18,2023,0.0001
Region1,DEMAGRWATR18,2029,0.0007
Region1,DEMAGRWATR19,2029,0.0549
Region1,DEMAGRWATR20,2029,0.0089
Region1,DEMAGRWATR20,2030,0.0
Region1,DEMAGRWATR21,2029,0.0346
Region1,DEMAGRWATR22,2017,0.0
Region1,DEMAGRWATR22,2029,0.0007
Region1,DEMAGRWATR22,2030,0.0016
Region1,DEMAGRWATR23,2017,0.0
Region1,DEMAGRWATR23,2029,0.0071
Region1,DEMAGRWATR23,2030,0.0069
Region1,DEMAGRWATR24,2017,0.0
Region1,DEMAGRWATR24,2029,0.0447
Region1,DEMAGRWATR24,2030,0.0021
Region1,DEMAGRWATR25,2029,0.013
Region1,DEMAGRWATR25,2030,0.0008
Region1,DEMAGRWATR26,2017,0.0
Region1,DEMAGRWATR26,2029,0.0313
Region1,DEMAGRWATR26,2030,0.0705
Region1,DEMAGRWATR27,2017,0.0
Region1,DEMAGRWATR27,2029,0.0023
Region1,DEMAGRWATR27,2030,0.0125
Region1,DEMAGRWATR28,2019,0.0006
Region1,DEMAGRWATR28,2020,0.0015
Region1,DEMAGRWATR28,2021,0.0026
Region1,DEMAGRWATR28,2022,0.0012
Region1,DEMAGRWATR28,2023,0.0003
Region1,DEMAGRWATR28,2024,0.0004
Region1,DEMAGRWATR28,2026,0.0004
Region1,DEMAGRWATR28,2027,0.0011
Region1,DEMAGRWATR28,2028,0.0011
Region1,DEMAGRWATR28,2030,0.0174
Region1,DEMAGRWATR29,2029,0.0739
Region1,DEMAGRWATR30,2017,0.0
Region1,DEMAGRWATR30,2019,0.0
Region1,DEMAGRWATR30,2029,0.0794
Region1,DEMAGRWATR30,2030,0.0064
Region1,DEMAGRWATR31,2029,0.1253
Region1,DEMAGRWATR31,2030,0.057
Region1,DEMAGRWATR32,2017,0.0
Region1,DEMAGRWATR32,2029,0.0454
Region1,DEMAGRWATR32,2030,0.209
Region1,DEMAGRWATR33,2017,0.0
Region1,DEMAGRWATR33,2029,0.0209
Region1,DEMAGRWATR33,2030,0.0266
Region1,DEMAGRWATR34,2017,0.0
Region1,DEMAGRWATR34,2029,0.0037
Region1,DEMAGRWATR35,2017,0.0
Region1,DEMAGRWATR35,2029,0.0077
Region1,DEMAGRWATR35,2030,0.0015
Region1,DEMCOMELC,2014,93.0103
Region1,DEMCOMELC,2015,6.7625
Region1,DEMCOMELC,2016,7.8291
Region1,DEMCOMELC,2017,7.7702
Region1,DEMCOMELC,2018,8.3473
Region1,DEMCOMELC,2019,8.33
Region1,DEMCOMELC,2020,8.3074
Region1,DEMCOMELC,2021,6.392
Region1,DEMCOMELC,2022,6.349
Region1,DEMCOMELC,2023,6.3033
Region1,DEMCOMELC,2024,6.2551
Region1,DEMCOMELC,2025,6.2045
Region1,DEMCOMELC,2026,7.7185
