r,t,y,SalvageValue
Region1,DEMCOMLPG,2017,0.0004
Region1,DEMCOMLPG,2018,0.0001
Region1,DEMCOMLPG,2019,0.0001
Region1,DEMCOMLPG,2020,0.0001
Region1,DEMCOMLPG,2021,0.0001
Region1,DEMCOMLPG,2022,0.0001
Region1,DEMCOMLPG,2023,0.0001
Region1,DEMCOMLPG,2024,0.0001
Region1,DEMCOMLPG,2025,0.0001
Region1,DEMCOMLPG,2026,0.0001
Region1,DEMCOMLPG,2027,0.0001
Region1,DEMCOMLPG,2028,0.0001
Region1,DEMCOMLPG,2029,0.0
Region1,DEMCOMLPG,2030,0.0
Region1,DEMCOMNGS,2014,0.0144
Region1,DEMCOMNGS,2016,0.0019
Region1,DEMCOMNGS,2017,0.0004
Region1,DEMCOMNGS,2019,0.0028
Region1,DEMCOMNGS,2020,0.0012
Region1,DEMCOMNGS,2021,0.001
Region1,DEMCOMNGS,2022,0.0011
Region1,DEMCOMNGS,2025,0.0009
Region1,DEMCOMNGS,2026,0.0039
Region1,DEMCOMNGS,2027,0.0013
Region1,DEMCOMNGS,2030,0.0046
Region1,DEMINDBIO,2014,0.248
Region1,DEMINDBIO,2016,0.0024
Region1,DEMINDBIO,2017,0.0018
Region1,DEMINDBIO,2018,0.001
Region1,DEMINDBIO,2019,0.0002
Region1,DEMINDDSL,2014,0.0361
Region1,DEMINDDSL,2015,0.0002
Region1,DEMINDDSL,2016,0.0
Region1,DEMINDELC,2014,296.907
Region1,DEMINDELC,2015,30.3118
Region1,DEMINDELC,2016,85.0707
Region1,DEMINDELC,2018,17.526
Region1,DEMINDELC,2019,113.505
Region1,DEMINDELC,2020,73.3844
Region1,DEMINDELC,2021,31.5987
Region1,DEMINDELC,2022,33.6586
Region1,DEMINDELC,2023,64.8636
Region1,DEMINDELC,2024,67.6101
Region1,DEMINDELC,2025,55.6463
Region1,DEMINDELC,2026,72.9614
Region1,DEMINDELC,2027,58.3766
Region1,DEMINDELC,2028,58.8328
Region1,DEMINDELC,2029,97.4959
Region1,DEMINDELC,2030,219.0623
Region1,DEMINDLPG,2014,0.0049
Region1,DEMINDLPG,2015,0.0001
Region1,DEMINDLPG,2016,0.0001
Region1,DEMINDLPG,2017,0.0
Region1,DEMINDLPG,2018,0.0
Region1,DEMINDLPG,2019,0.0
Region1,DEMINDNGS,2014,0.2824
Region1,DEMINDNGS,2015,0.0301
Region1,DEMINDNGS,2016,0.1863
Region1,DEMINDNGS,2017,0.0152
Region1,DEMINDNGS,2018,0.0626
Region1,DEMINDNGS,2019,0.0419
Region1,DEMINDNGS,2020,0.0285
Region1,DEMINDNGS,2021,0.0182
Region1,DEMINDNGS,2022,0.0499
Region1,DEMINDNGS,2023,0.0267
Region1,DEMINDNGS,2024,0.0307
Region1,DEMINDNGS,2025,0.0023
Region1,DEMINDNGS,2026,0.052
Region1,DEMINDNGS,2027,0.0152
Region1,DEMINDNGS,2028,0.0364
Region1,DEMINDNGS,2029,0.0339
Region1,DEMINDNGS,2030,0.3348
Region1,DEMOFFCOMELC,2015,0.0009
Region1,DEMOFFCOMELC,2016,0.0
Region1,DEMOFFCOMELC,2017,0.0
Region1,DEMOFFCOMELC,2018,0.0
Region1,DEMOFFCOMELC,2019,0.0
Region1,DEMOFFCOMELC,2020,0.0
Region1,DEMOFFCOMELC,2021,0.0
Region1,DEMOFFCOMELC,2022,0.0
Region1,DEMOFFCOMELC,2023,0.0
Region1,DEMOFFCOMELC,2024,0.0
Region1,DEMOFFCOMELC,2025,0.0
