r,t,TotalTechnologyModelPeriodActivity
Region1,DEMAGRELC,3.7117
Region1,DEMAGRGWTR01,0.3665
Region1,DEMAGRGWTR31,1.5795
Region1,DEMAGRWATR01,3.6916
Region1,DEMAGRWATR02,1.6707
Region1,DEMAGRWATR03,1.2904
Region1,DEMAGRWATR04,5.5125
Region1,DEMAGRWATR05,0.9307
Region1,DEMAGRWATR06,2.5591
Region1,DEMAGRWATR07,3.2952
Region1,DEMAGRWATR08,5.3344
Region1,DEMAGRWATR09,4.0765
Region1,DEMAGRWATR10,4.3048
Region1,DEMAGRWATR11,1.4836
Region1,DEMAGRWATR12,15.6233
Region1,DEMAGRWATR13,8.0893
Region1,DEMAGRWATR14,8.1613
Region1,DEMAGRWATR15,4.056
Region1,DEMAGRWATR16,9.6053
Region1,DEMAGRWATR17,11.1671
Region1,DEMAGRWATR18,0.0398
Region1,DEMAGRWATR19,3.0481
Region1,DEMAGRWATR20,0.4501
Region1,DEMAGRWATR21,1.7802
Region1,DEMAGRWATR22,0.1077
Region1,DEMAGRWATR23,0.6622
Region1,DEMAGRWATR24,2.3103
Region1,DEMAGRWATR25,0.681
Region1,DEMAGRWATR26,4.733
Region1,DEMAGRWATR27,0.6768
Region1,DEMAGRWATR28,2.0787
Region1,DEMAGRWATR29,3.9923
Region1,DEMAGRWATR30,4.2277
Region1,DEMAGRWATR31,5.0455
Region1,DEMAGRWATR32,11.6816
Region1,DEMAGRWATR33,2.2314
Region1,DEMAGRWATR34,0.1844
Region1,DEMAGRWATR35,0.4494
Region1,DEMCOMELC,297.6815
Region1,DEMCOMLPG,6.7066
Region1,DEMCOMNGS,43.1469
Region1,DEMINDBIO,388.3001
Region1,DEMINDDSL,51.8939
Region1,DEMINDELC,546.2455
Region1,DEMINDLPG,7.8438
Region1,DEMINDNGS,1368.658
Region1,DEMOFFCOMELC,0.1804
Region1,DEMOFFRESELC,1.0957
Region1,DEMPUBWATR01,0.4786
Region1,DEMPUBWATR02,1.2204
Region1,DEMPUBWATR03,0.0405
Region1,DEMPUBWATR04,0.1966
Region1,DEMPUBWATR05,0.0
Region1,DEMPUBWATR06,0.0
Region1,DEMPUBWATR07,0.0181
Region1,DEMPUBWATR08,0.1581
Region1,DEMPUBWATR09,0.1521
Region1,DEMPUBWATR10,0.0755
Region1,DEMPUBWATR11,0.1044
Region1,DEMPUBWATR12,0.1862
Region1,DEMPUBWATR13,0.09
Region1,DEMPUBWATR14,4.1575
Region1,DEMPUBWATR15,0.9058
Region1,DEMPUBWATR16,0.0852
Region1,DEMPUBWATR17,0.2866
Region1,DEMPUBWATR18,0.0013
Region1,DEMPUBWATR19,0.7173
Region1,DEMPUBWATR20,0.0633
Region1,DEMPUBWATR21,0.4161
Region1,DEMPUBWATR22,0.0002
Region1,DEMPUBWATR23,0.0123
Region1,DEMPUBWATR24,0.9848
Region1,DEMPUBWATR25,0.0187
Region1,DEMPUBWATR26,0.106
Region1,DEMPUBWATR27,0.0012
Region1,DEMPUBWATR28,0.0107
Region1,DEMPUBWATR29,0.1395
Region1,DEMPUBWATR30,2.032
Region1,DEMPUBWATR31,0.1231
Region1,DEMPUBWATR32,0.2058
Region1,DEMPUBWATR33,0.0329
Region1,DEMPUBWATR34,0.001
Region1,DEMPUBWATR35,0.0018
Region1,DEMPWRBIO,0.3604
Region1,DEMPWRDSL,3.4812
Region1,DEMPWRGEO,245.3829
Region1,DEMPWRHYD,360.4388
Region1,DEMPWRNGS,2054.6103
Region1,DEMPWRSOL,15.5816
Region1,DEMPWRWND,11.4669
Region1,DEMRESBIO,237.1728
Region1,DEMRESELC,473.6502
Region1,DEMRESLPG,341.7546
Region1,DEMRESNGS,119.6794
Region1,DEMTRABIOE,291.96
Region1,DEMTRADSL,719.4604
Region1,DEMTRAGSL,606.0177
Region1,DEMTRAJFL,132.8691
Region1,DEMTRANGS,520.2675
Region1,EXPHFO,592.9872
Region1,EXPLPG,884.899
Region1,EXPNGSARG,5091.1593
Region1,EXPNGSBRA,7540.3556
Region1,EXPOHC,135.6056
Region1,EXPSOYA,6.0
Region1,EXPSOYG,0.325
Region1,EXPSOYT,25.36
Region1,IMPDSL,135.8802
Region1,IMPGSL,138.2046
Region1,INTSOYA,1.24
Region1,INTSOYT,4.12
Region1,LNDAGROTHM1,26.5162
Region1,LNDAGROTHM2,124.7725
Region1,LNDAGROTHM3,9.0256
Region1,LNDBARM1,1777.3992
Region1,LNDBARM2,157.8269
Region1,LNDBARM3,44.356
Region1,LNDCDAM3HI,12.5202
Region1,LNDFORM1,0.268
Region1,LNDFORM2,761.7574
Region1,LNDFORM3,2448.8187
Region1,LNDGRSM1,701.9192
Region1,LNDGRSM2,2772.5515
Region1,LNDGRSM3,9307.5811
Region1,LNDM1R01C1,1036.735
Region1,LNDM1R02C1,236.4483
Region1,LNDM1R03C1,1308.1609
Region1,LNDM2R06C1,181.8833
Region1,LNDM2R06C2,156.6995
Region1,LNDM2R08C1,611.4078
Region1,LNDM2R10C1,60.1614
Region1,LNDM2R10C2,306.4035
Region1,LNDM2R13C1,612.8069
Region1,LNDM2R13C2,731.7306
Region1,LNDM2R19C1,127.3183
Region1,LNDM2R19C2,246.2421
Region1,LNDM2R21C1,181.8833
Region1,LNDM2R31C1,97.9372
Region1,LNDM2R31C2,278.4214
Region1,LNDM2R31C3,289.6143
Region1,LNDM3R04C1,90.9417
Region1,LNDM3R04C2,506.4751
Region1,LNDM3R05C1,134.3139
Region1,LNDM3R07C1,144.1076
Region1,LNDM3R07C2,90.9417
Region1,LNDM3R07C3,193.0762
Region1,LNDM3R09C1,20.9866
Region1,LNDM3R09C2,162.2959
Region1,LNDM3R11C1,118.9237
Region1,LNDM3R11C2,81.148
Region1,LNDM3R12C1,856.2508
Region1,LNDM3R12C2,1320.7528
Region1,LNDM3R14C1,142.7085
Region1,LNDM3R14C2,836.6634
Region1,LNDM3R15C1,457.5066
Region1,LNDM3R16C1,215.4618
Region1,LNDM3R16C2,489.6859
Region1,LNDM3R16C3,303.6053
Region1,LNDM3R16C4,394.5469
Region1,LNDM3R17C1,479.8922
Region1,LNDM3R17C2,734.5289
Region1,LNDM3R18C1,4.1973
Region1,LNDM3R20C1,120.3228
Region1,LNDM3R20C2,37.7758
Region1,LNDM3R22C1,32.1794
Region1,LNDM3R23C1,43.3722
Region1,LNDM3R23C2,165.0941
Region1,LNDM3R24C1,44.7713
Region1,LNDM3R24C2,46.1704
Region1,LNDM3R24C3,149.704
Region1,LNDM3R25C1,69.9551
Region1,LNDM3R26C1,370.7622
Region1,LNDM3R26C2,181.8833
Region1,LNDM3R27C1,29.3812
Region1,LNDM3R27C2,44.7713
Region1,LNDM3R28C1,116.1255
Region1,LNDM3R28C2,18.1883
Region1,LNDM3R29C1,96.5381
Region1,LNDM3R29C2,57.3632
Region1,LNDM3R29C3,180.4842
Region1,LNDM3R29C4,48.9686
Region1,LNDM3R30C1,145.5067
Region1,LNDM3R30C2,246.2421
Region1,LNDM3R30C3,116.1255
Region1,LNDM3R32C1,495.2823
Region1,LNDM3R32C2,963.9817
Region1,LNDM3R33C1,270.0268
Region1,LNDM3R34C1,22.3857
Region1,LNDM3R35C1,55.9641
Region1,LNDM3R35C2,139.9103
Region1,LNDMAZM2HR,17.0802
Region1,LNDPAPM2HI,11.8879
Region1,LNDPAPM3HI,0.0126
Region1,LNDPAPM3LR,0.1035
Region1,LNDSETM1,0.6095
Region1,LNDSETM2,0.6458
Region1,LNDSETM3,1.9182
Region1,LNDSORM2HR,0.0656
Region1,LNDSORM3HR,19.0475
Region1,LNDSOYM2HI,8.1745
Region1,LNDSOYM2HR,7.1394
Region1,LNDSOYM3HI,3.7441
Region1,LNDSOYM3HR,123.7781
Region1,LNDWATM1,74.6321
Region1,LNDWATM2,20.6083
Region1,LNDWATM3,117.341
Region1,MINCRU,2445.0379
Region1,MINNGSP1,11047.0
Region1,MINNGSP2,3695.0
Region1,MINNGSP3,2405.7642
Region1,MSOY,65.8182
Region1,PWRBIO001,0.1261
Region1,PWRDSL001,1.276
Region1,PWRGEO001,26.9948
Region1,PWRHYD001,27.8568
Region1,PWRHYD002,118.5173
Region1,PWRHYD003,6.4239
Region1,PWRHYD004,105.7017
Region1,PWRHYD005,101.9392
Region1,PWRNGS001,377.9613
Region1,PWRNGS002,598.2608
Region1,PWRSOL001,15.5816
Region1,PWRTRN001,1390.8304
Region1,PWRWND001,11.0502
