r,t,y,NewCapacity
Region1,DEMAGRGWTR01,2014,0.0
Region1,DEMAGRGWTR01,2016,0.0604
Region1,DEMAGRGWTR31,2014,0.2529
Region1,DEMAGRGWTR31,2029,0.1957
Region1,DEMAGRWATR01,2014,0.246
Region1,DEMAGRWATR01,2029,0.2456
Region1,DEMAGRWATR02,2014,0.0863
Region1,DEMAGRWATR02,2015,0.007
Region1,DEMAGRWATR02,2016,0.0067
Region1,DEMAGRWATR02,2029,0.0863
Region1,DEMAGRWATR02,2030,0.007
Region1,DEMAGRWATR03,2014,0.0758
Region1,DEMAGRWATR03,2016,0.001
Region1,DEMAGRWATR03,2029,0.0758
Region1,DEMAGRWATR04,2014,0.0293
Region1,DEMAGRWATR04,2015,0.3134
Region1,DEMAGRWATR04,2017,0.0
Region1,DEMAGRWATR04,2029,0.0293
Region1,DEMAGRWATR04,2030,0.3134
Region1,DEMAGRWATR05,2014,0.042
Region1,DEMAGRWATR05,2015,0.0136
Region1,DEMAGRWATR05,2017,0.0
Region1,DEMAGRWATR05,2026,0.001
Region1,DEMAGRWATR05,2028,0.0001
Region1,DEMAGRWATR05,2029,0.0409
Region1,DEMAGRWATR05,2030,0.0136
Region1,DEMAGRWATR06,2014,0.1221
Region1,DEMAGRWATR06,2015,0.0309
Region1,DEMAGRWATR06,2029,0.1221
Region1,DEMAGRWATR06,2030,0.0309
Region1,DEMAGRWATR07,2014,0.0728
Region1,DEMAGRWATR07,2015,0.1286
Region1,DEMAGRWATR07,2017,0.0
Region1,DEMAGRWATR07,2029,0.0728
Region1,DEMAGRWATR07,2030,0.1286
Region1,DEMAGRWATR08,2014,0.3175
Region1,DEMAGRWATR08,2029,0.3174
Region1,DEMAGRWATR09,2014,0.0277
Region1,DEMAGRWATR09,2015,0.2504
Region1,DEMAGRWATR09,2019,0.0067
Region1,DEMAGRWATR09,2020,0.0104
Region1,DEMAGRWATR09,2021,0.0102
Region1,DEMAGRWATR09,2022,0.0031
Region1,DEMAGRWATR09,2023,0.0037
Region1,DEMAGRWATR09,2024,0.0036
Region1,DEMAGRWATR09,2025,0.0061
Region1,DEMAGRWATR09,2026,0.0037
Region1,DEMAGRWATR09,2027,0.0035
Region1,DEMAGRWATR09,2028,0.0039
Region1,DEMAGRWATR09,2029,0.0496
Region1,DEMAGRWATR09,2030,0.3142
Region1,DEMAGRWATR10,2014,0.0519
Region1,DEMAGRWATR10,2015,0.3303
Region1,DEMAGRWATR10,2030,0.1671
Region1,DEMAGRWATR11,2014,0.028
Region1,DEMAGRWATR11,2015,0.0629
Region1,DEMAGRWATR11,2017,0.0002
Region1,DEMAGRWATR11,2029,0.028
Region1,DEMAGRWATR11,2030,0.0629
Region1,DEMAGRWATR12,2014,0.2089
Region1,DEMAGRWATR12,2015,0.7545
Region1,DEMAGRWATR12,2017,0.0
Region1,DEMAGRWATR12,2029,0.2089
Region1,DEMAGRWATR12,2030,0.7545
Region1,DEMAGRWATR13,2014,0.2202
Region1,DEMAGRWATR13,2015,0.2718
Region1,DEMAGRWATR13,2029,0.2202
Region1,DEMAGRWATR13,2030,0.2718
Region1,DEMAGRWATR14,2014,0.1927
Region1,DEMAGRWATR14,2015,0.3054
Region1,DEMAGRWATR14,2017,0.0
Region1,DEMAGRWATR14,2029,0.1927
Region1,DEMAGRWATR14,2030,0.3054
Region1,DEMAGRWATR15,2014,0.1396
Region1,DEMAGRWATR15,2015,0.1052
Region1,DEMAGRWATR15,2017,0.0
Region1,DEMAGRWATR15,2029,0.1396
Region1,DEMAGRWATR15,2030,0.1052
Region1,DEMAGRWATR16,2014,0.3277
Region1,DEMAGRWATR16,2015,0.2522
Region1,DEMAGRWATR16,2017,0.0
Region1,DEMAGRWATR16,2029,0.3277
Region1,DEMAGRWATR16,2030,0.2522
Region1,DEMAGRWATR17,2014,0.4382
Region1,DEMAGRWATR17,2015,0.2324
Region1,DEMAGRWATR17,2017,0.0
Region1,DEMAGRWATR17,2029,0.4382
Region1,DEMAGRWATR17,2030,0.2324
Region1,DEMAGRWATR18,2014,0.0025
Region1,DEMAGRWATR18,2023,0.0004
Region1,DEMAGRWATR18,2029,0.0021
Region1,DEMAGRWATR19,2014,0.2013
Region1,DEMAGRWATR19,2029,0.1598
Region1,DEMAGRWATR20,2014,0.0358
Region1,DEMAGRWATR20,2029,0.0259
Region1,DEMAGRWATR20,2030,0.0
Region1,DEMAGRWATR21,2014,0.262
Region1,DEMAGRWATR21,2029,0.1007
Region1,DEMAGRWATR22,2014,0.0021
Region1,DEMAGRWATR22,2015,0.0045
Region1,DEMAGRWATR22,2017,0.0
Region1,DEMAGRWATR22,2029,0.0021
Region1,DEMAGRWATR22,2030,0.0045
Region1,DEMAGRWATR23,2014,0.0205
Region1,DEMAGRWATR23,2015,0.0196
Region1,DEMAGRWATR23,2017,0.0
Region1,DEMAGRWATR23,2029,0.0207
Region1,DEMAGRWATR23,2030,0.0196
Region1,DEMAGRWATR24,2014,0.1303
Region1,DEMAGRWATR24,2015,0.006
Region1,DEMAGRWATR24,2017,0.0
Region1,DEMAGRWATR24,2029,0.1303
Region1,DEMAGRWATR24,2030,0.006
Region1,DEMAGRWATR25,2014,0.038
Region1,DEMAGRWATR25,2015,0.0022
Region1,DEMAGRWATR25,2017,0.0
Region1,DEMAGRWATR25,2029,0.038
Region1,DEMAGRWATR25,2030,0.0022
Region1,DEMAGRWATR26,2014,0.0912
Region1,DEMAGRWATR26,2015,0.1989
Region1,DEMAGRWATR26,2017,0.0
Region1,DEMAGRWATR26,2029,0.0912
Region1,DEMAGRWATR26,2030,0.1989
Region1,DEMAGRWATR27,2014,0.0067
Region1,DEMAGRWATR27,2015,0.0351
Region1,DEMAGRWATR27,2017,0.0
Region1,DEMAGRWATR27,2029,0.0067
Region1,DEMAGRWATR27,2030,0.0351
Region1,DEMAGRWATR28,2014,0.02
Region1,DEMAGRWATR28,2015,0.0976
Region1,DEMAGRWATR28,2019,0.0047
Region1,DEMAGRWATR28,2020,0.0094
Region1,DEMAGRWATR28,2021,0.0137
Region1,DEMAGRWATR28,2022,0.0054
Region1,DEMAGRWATR28,2023,0.0014
Region1,DEMAGRWATR28,2024,0.0014
Region1,DEMAGRWATR28,2026,0.0012
Region1,DEMAGRWATR28,2027,0.0035
Region1,DEMAGRWATR28,2028,0.0034
Region1,DEMAGRWATR28,2030,0.049
Region1,DEMAGRWATR29,2014,0.243
Region1,DEMAGRWATR29,2029,0.2152
Region1,DEMAGRWATR30,2014,0.2315
Region1,DEMAGRWATR30,2015,0.0181
Region1,DEMAGRWATR30,2017,0.0
Region1,DEMAGRWATR30,2019,0.0003
Region1,DEMAGRWATR30,2029,0.2312
Region1,DEMAGRWATR30,2030,0.0181
Region1,DEMAGRWATR31,2014,0.3407
Region1,DEMAGRWATR31,2015,0.1721
Region1,DEMAGRWATR31,2016,0.0088
Region1,DEMAGRWATR31,2029,0.3649
Region1,DEMAGRWATR31,2030,0.1607
Region1,DEMAGRWATR32,2014,0.1321
Region1,DEMAGRWATR32,2015,0.5898
Region1,DEMAGRWATR32,2017,0.0
Region1,DEMAGRWATR32,2029,0.1321
Region1,DEMAGRWATR32,2030,0.5898
Region1,DEMAGRWATR33,2014,0.0607
Region1,DEMAGRWATR33,2015,0.0749
Region1,DEMAGRWATR33,2017,0.0
Region1,DEMAGRWATR33,2029,0.0607
Region1,DEMAGRWATR33,2030,0.0749
Region1,DEMAGRWATR34,2014,0.0108
Region1,DEMAGRWATR34,2017,0.0
Region1,DEMAGRWATR34,2029,0.0108
Region1,DEMAGRWATR35,2014,0.0224
Region1,DEMAGRWATR35,2015,0.0043
Region1,DEMAGRWATR35,2017,0.0
Region1,DEMAGRWATR35,2029,0.0224
Region1,DEMAGRWATR35,2030,0.0043
Region1,DEMCOMELC,2014,0.2642
Region1,DEMCOMELC,2015,0.0192
Region1,DEMCOMELC,2016,0.0222
Region1,DEMCOMELC,2017,0.022
Region1,DEMCOMELC,2018,0.0236
Region1,DEMCOMELC,2019,0.0236
Region1,DEMCOMELC,2020,0.0235
Region1,DEMCOMELC,2021,0.0181
Region1,DEMCOMELC,2022,0.018
Region1,DEMCOMELC,2023,0.0178
Region1,DEMCOMELC,2024,0.0177
Region1,DEMCOMELC,2025,0.0175
Region1,DEMCOMELC,2026,0.0218
Region1,DEMCOMELC,2027,0.0216
Region1,DEMCOMELC,2028,0.0215
Region1,DEMCOMELC,2029,0.0213
Region1,DEMCOMELC,2030,0.0263
Region1,DEMCOMLPG,2014,0.2631
Region1,DEMCOMLPG,2015,0.0316
Region1,DEMCOMLPG,2016,0.0334
Region1,DEMCOMLPG,2017,0.0353
Region1,DEMCOMLPG,2018,0.011
Region1,DEMCOMLPG,2019,0.0107
Region1,DEMCOMLPG,2020,0.0103
Region1,DEMCOMLPG,2021,0.0068
