r,l,f,y,Demand
Region1,1,COMELC,2014,1.5022
Region1,1,COMELC,2015,1.5659
Region1,1,COMELC,2016,1.6291
Region1,1,COMELC,2017,1.6918
Region1,1,COMELC,2018,1.7591
Region1,1,COMELC,2019,1.8262
Region1,1,COMELC,2020,1.8931
Region1,1,COMELC,2021,1.9446
Region1,1,COMELC,2022,1.9957
Region1,1,COMELC,2023,2.0464
Region1,1,COMELC,2024,2.0967
Region1,1,COMELC,2025,2.1466
Region1,1,COMELC,2026,2.2086
Region1,1,COMELC,2027,2.2703
Region1,1,COMELC,2028,2.3314
Region1,1,COMELC,2029,2.3922
Region1,1,COMELC,2030,2.4524
Region1,1,INDELC,2014,1.878
Region1,1,INDELC,2015,2.0252
Region1,1,INDELC,2016,2.1812
Region1,1,INDELC,2017,2.3366
Region1,1,INDELC,2018,2.5714
Region1,1,INDELC,2019,2.9413
Region1,1,INDELC,2020,3.1612
Region1,1,INDELC,2021,3.3332
Region1,1,INDELC,2022,3.5129
Region1,1,INDELC,2023,3.7007
Region1,1,INDELC,2024,3.8987
Region1,1,INDELC,2025,4.1061
Region1,1,INDELC,2026,4.3239
Region1,1,INDELC,2027,4.5414
Region1,1,INDELC,2028,4.7606
Region1,1,INDELC,2029,4.9814
Region1,1,INDELC,2030,5.7992
Region1,1,RESELC,2014,2.4354
Region1,1,RESELC,2015,2.5315
Region1,1,RESELC,2016,2.6142
Region1,1,RESELC,2017,2.6987
Region1,1,RESELC,2018,2.7821
Region1,1,RESELC,2019,2.868
Region1,1,RESELC,2020,2.9565
Region1,1,RESELC,2021,3.0492
Region1,1,RESELC,2022,3.1448
Region1,1,RESELC,2023,3.2434
Region1,1,RESELC,2024,3.3451
Region1,1,RESELC,2025,3.4501
Region1,1,RESELC,2026,3.5451
Region1,1,RESELC,2027,3.6427
Region1,1,RESELC,2028,3.7376
Region1,1,RESELC,2029,3.8349
Region1,1,RESELC,2030,3.9347
Region1,2,COMELC,2014,3.2448
Region1,2,COMELC,2015,3.3823
Region1,2,COMELC,2016,3.5188
Region1,2,COMELC,2017,3.6542
Region1,2,COMELC,2018,3.7996
Region1,2,COMELC,2019,3.9446
Region1,2,COMELC,2020,4.0891
Region1,2,COMELC,2021,4.2003
Region1,2,COMELC,2022,4.3107
Region1,2,COMELC,2023,4.4202
Region1,2,COMELC,2024,4.5289
Region1,2,COMELC,2025,4.6366
Region1,2,COMELC,2026,4.7707
Region1,2,COMELC,2027,4.9038
Region1,2,COMELC,2028,5.0359
Region1,2,COMELC,2029,5.1671
Region1,2,COMELC,2030,5.2971
Region1,2,INDELC,2014,4.0566
Region1,2,INDELC,2015,4.3745
Region1,2,INDELC,2016,4.7115
Region1,2,INDELC,2017,5.0471
Region1,2,INDELC,2018,5.5543
Region1,2,INDELC,2019,6.3532
Region1,2,INDELC,2020,6.8282
Region1,2,INDELC,2021,7.1998
Region1,2,INDELC,2022,7.5879
Region1,2,INDELC,2023,7.9936
Region1,2,INDELC,2024,8.4212
Region1,2,INDELC,2025,8.8692
Region1,2,INDELC,2026,9.3397
Region1,2,INDELC,2027,9.8095
Region1,2,INDELC,2028,10.2829
Region1,2,INDELC,2029,10.7598
Region1,2,INDELC,2030,12.5263
Region1,2,RESELC,2014,5.2604
Region1,2,RESELC,2015,5.468
Region1,2,RESELC,2016,5.6466
Region1,2,RESELC,2017,5.8291
Region1,2,RESELC,2018,6.0093
Region1,2,RESELC,2019,6.1949
Region1,2,RESELC,2020,6.386
Region1,2,RESELC,2021,6.5862
Region1,2,RESELC,2022,6.7927
Region1,2,RESELC,2023,7.0057
Region1,2,RESELC,2024,7.2255
Region1,2,RESELC,2025,7.4522
Region1,2,RESELC,2026,7.6574
Region1,2,RESELC,2027,7.8682
Region1,2,RESELC,2028,8.0731
Region1,2,RESELC,2029,8.2833
Region1,2,RESELC,2030,8.4989
Region1,3,COMELC,2014,1.2618
Region1,3,COMELC,2015,1.3153
Region1,3,COMELC,2016,1.3684
Region1,3,COMELC,2017,1.4211
Region1,3,COMELC,2018,1.4776
Region1,3,COMELC,2019,1.534
Region1,3,COMELC,2020,1.5902
Region1,3,COMELC,2021,1.6334
Region1,3,COMELC,2022,1.6764
Region1,3,COMELC,2023,1.719
Region1,3,COMELC,2024,1.7612
Region1,3,COMELC,2025,1.8031
Region1,3,COMELC,2026,1.8553
Region1,3,COMELC,2027,1.907
Region1,3,COMELC,2028,1.9584
Region1,3,COMELC,2029,2.0094
Region1,3,COMELC,2030,2.06
Region1,3,INDELC,2014,1.5776
Region1,3,INDELC,2015,1.7012
Region1,3,INDELC,2016,1.8322
Region1,3,INDELC,2017,1.9628
Region1,3,INDELC,2018,2.16
Region1,3,INDELC,2019,2.4707
Region1,3,INDELC,2020,2.6554
Region1,3,INDELC,2021,2.7999
Region1,3,INDELC,2022,2.9509
Region1,3,INDELC,2023,3.1086
Region1,3,INDELC,2024,3.2749
Region1,3,INDELC,2025,3.4492
Region1,3,INDELC,2026,3.6321
Region1,3,INDELC,2027,3.8148
Region1,3,INDELC,2028,3.9989
Region1,3,INDELC,2029,4.1844
Region1,3,INDELC,2030,4.8713
Region1,3,RESELC,2014,2.0457
Region1,3,RESELC,2015,2.1264
Region1,3,RESELC,2016,2.1959
Region1,3,RESELC,2017,2.2669
Region1,3,RESELC,2018,2.337
Region1,3,RESELC,2019,2.4091
Region1,3,RESELC,2020,2.4835
Region1,3,RESELC,2021,2.5613
Region1,3,RESELC,2022,2.6416
Region1,3,RESELC,2023,2.7244
Region1,3,RESELC,2024,2.8099
Region1,3,RESELC,2025,2.8981
Region1,3,RESELC,2026,2.9779
Region1,3,RESELC,2027,3.0598
Region1,3,RESELC,2028,3.1396
Region1,3,RESELC,2029,3.2213
Region1,3,RESELC,2030,3.3051
Region1,4,COMELC,2014,1.5022
Region1,4,COMELC,2015,1.5659
Region1,4,COMELC,2016,1.6291
Region1,4,COMELC,2017,1.6918
Region1,4,COMELC,2018,1.7591
Region1,4,COMELC,2019,1.8262
Region1,4,COMELC,2020,1.8931
Region1,4,COMELC,2021,1.9446
Region1,4,COMELC,2022,1.9957
Region1,4,COMELC,2023,2.0464
Region1,4,COMELC,2024,2.0967
Region1,4,COMELC,2025,2.1466
Region1,4,COMELC,2026,2.2086
Region1,4,COMELC,2027,2.2703
Region1,4,COMELC,2028,2.3314
Region1,4,COMELC,2029,2.3922
Region1,4,COMELC,2030,2.4524
Region1,4,INDELC,2014,1.878
Region1,4,INDELC,2015,2.0252
Region1,4,INDELC,2016,2.1812
Region1,4,INDELC,2017,2.3366
Region1,4,INDELC,2018,2.5714
Region1,4,INDELC,2019,2.9413
Region1,4,INDELC,2020,3.1612
Region1,4,INDELC,2021,3.3332
Region1,4,INDELC,2022,3.5129
Region1,4,INDELC,2023,3.7007
Region1,4,INDELC,2024,3.8987
Region1,4,INDELC,2025,4.1061
Region1,4,INDELC,2026,4.3239
Region1,4,INDELC,2027,4.5414
Region1,4,INDELC,2028,4.7606
Region1,4,INDELC,2029,4.9814
Region1,4,INDELC,2030,5.7992
Region1,4,RESELC,2014,2.4354
Region1,4,RESELC,2015,2.5315
Region1,4,RESELC,2016,2.6142
Region1,4,RESELC,2017,2.6987
Region1,4,RESELC,2018,2.7821
Region1,4,RESELC,2019,2.868
Region1,4,RESELC,2020,2.9565
Region1,4,RESELC,2021,3.0492
Region1,4,RESELC,2022,3.1448
Region1,4,RESELC,2023,3.2434
Region1,4,RESELC,2024,3.3451
Region1,4,RESELC,2025,3.4501
Region1,4,RESELC,2026,3.5451
Region1,4,RESELC,2027,3.6427
Region1,4,RESELC,2028,3.7376
Region1,4,RESELC,2029,3.8349
Region1,4,RESELC,2030,3.9347
Region1,5,COMELC,2014,3.2448
Region1,5,COMELC,2015,3.3823
Region1,5,COMELC,2016,3.5188
Region1,5,COMELC,2017,3.6542
Region1,5,COMELC,2018,3.7996
Region1,5,COMELC,2019,3.9446
Region1,5,COMELC,2020,4.0891
Region1,5,COMELC,2021,4.2003
Region1,5,COMELC,2022,4.3107
Region1,5,COMELC,2023,4.4202
Region1,5,COMELC,2024,4.5289
Region1,5,COMELC,2025,4.6366
Region1,5,COMELC,2026,4.7707
Region1,5,COMELC,2027,4.9038
Region1,5,COMELC,2028,5.0359
Region1,5,COMELC,2029,5.1671
Region1,5,COMELC,2030,5.2971
Region1,5,INDELC,2014,4.0566
Region1,5,INDELC,2015,4.3745
Region1,5,INDELC,2016,4.7115
Region1,5,INDELC,2017,5.0471
Region1,5,INDELC,2018,5.5543
Region1,5,INDELC,2019,6.3532
Region1,5,INDELC,2020,6.8282
Region1,5,INDELC,2021,7.1998
Region1,5,INDELC,2022,7.5879
Region1,5,INDELC,2023,7.9936
Region1,5,INDELC,2024,8.4212
Region1,5,INDELC,2025,8.8692
Region1,5,INDELC,2026,9.3397
Region1,5,INDELC,2027,9.8095
Region1,5,INDELC,2028,10.2829
Region1,5,INDELC,2029,10.7598
Region1,5,INDELC,2030,12.5263
Region1,5,RESELC,2014,5.2604
Region1,5,RESELC,2015,5.468
Region1,5,RESELC,2016,5.6466
Region1,5,RESELC,2017,5.8291
Region1,5,RESELC,2018,6.0093
Region1,5,RESELC,2019,6.1949
Region1,5,RESELC,2020,6.386
Region1,5,RESELC,2021,6.5862
Region1,5,RESELC,2022,6.7927
Region1,5,RESELC,2023,7.0057
Region1,5,RESELC,2024,7.2255
Region1,5,RESELC,2025,7.4522
Region1,5,RESELC,2026,7.6574
Region1,5,RESELC,2027,7.8682
Region1,5,RESELC,2028,8.0731
Region1,5,RESELC,2029,8.2833
Region1,5,RESELC,2030,8.4989
Region1,6,COMELC,2014,1.2618
Region1,6,COMELC,2015,1.3153
Region1,6,COMELC,2016,1.3684
Region1,6,COMELC,2017,1.4211
Region1,6,COMELC,2018,1.4776
Region1,6,COMELC,2019,1.534
Region1,6,COMELC,2020,1.5902
Region1,6,COMELC,2021,1.6334
Region1,6,COMELC,2022,1.6764
Region1,6,COMELC,2023,1.719
Region1,6,COMELC,2024,1.7612
Region1,6,COMELC,2025,1.8031
Region1,6,COMELC,2026,1.8553
Region1,6,COMELC,2027,1.907
Region1,6,COMELC,2028,1.9584
Region1,6,COMELC,2029,2.0094
Region1,6,COMELC,2030,2.06
Region1,6,INDELC,2014,1.5776
Region1,6,INDELC,2015,1.7012
Region1,6,INDELC,2016,1.8322
Region1,6,INDELC,2017,1.9628
Region1,6,INDELC,2018,2.16
Region1,6,INDELC,2019,2.4707
Region1,6,INDELC,2020,2.6554
Region1,6,INDELC,2021,2.7999
Region1,6,INDELC,2022,2.9509
Region1,6,INDELC,2023,3.1086
Region1,6,INDELC,2024,3.2749
Region1,6,INDELC,2025,3.4492
Region1,6,INDELC,2026,3.6321
