r,t,y,CapitalInvestment
Region1,DEMAGRGWTR01,2014,0.0001
Region1,DEMAGRGWTR01,2016,0.1208
Region1,DEMAGRGWTR31,2014,0.5058
Region1,DEMAGRGWTR31,2029,0.3914
Region1,DEMAGRWATR01,2014,0.6151
Region1,DEMAGRWATR01,2029,0.6139
Region1,DEMAGRWATR02,2014,0.2158
Region1,DEMAGRWATR02,2015,0.0175
Region1,DEMAGRWATR02,2016,0.0168
Region1,DEMAGRWATR02,2029,0.2158
Region1,DEMAGRWATR02,2030,0.0175
Region1,DEMAGRWATR03,2014,0.1896
Region1,DEMAGRWATR03,2016,0.0025
Region1,DEMAGRWATR03,2029,0.1896
Region1,DEMAGRWATR04,2014,0.0734
Region1,DEMAGRWATR04,2015,0.7834
Region1,DEMAGRWATR04,2017,0.0
Region1,DEMAGRWATR04,2029,0.0734
Region1,DEMAGRWATR04,2030,0.7834
Region1,DEMAGRWATR05,2014,0.105
Region1,DEMAGRWATR05,2015,0.0339
Region1,DEMAGRWATR05,2017,0.0
Region1,DEMAGRWATR05,2026,0.0025
Region1,DEMAGRWATR05,2028,0.0003
Region1,DEMAGRWATR05,2029,0.1022
Region1,DEMAGRWATR05,2030,0.0339
Region1,DEMAGRWATR06,2014,0.3052
Region1,DEMAGRWATR06,2015,0.0773
Region1,DEMAGRWATR06,2029,0.3052
Region1,DEMAGRWATR06,2030,0.0773
Region1,DEMAGRWATR07,2014,0.182
Region1,DEMAGRWATR07,2015,0.3215
Region1,DEMAGRWATR07,2017,0.0
Region1,DEMAGRWATR07,2029,0.182
Region1,DEMAGRWATR07,2030,0.3215
Region1,DEMAGRWATR08,2014,0.7937
Region1,DEMAGRWATR08,2029,0.7935
Region1,DEMAGRWATR09,2014,0.0691
Region1,DEMAGRWATR09,2015,0.6259
Region1,DEMAGRWATR09,2019,0.0168
Region1,DEMAGRWATR09,2020,0.0261
Region1,DEMAGRWATR09,2021,0.0254
Region1,DEMAGRWATR09,2022,0.0077
Region1,DEMAGRWATR09,2023,0.0091
Region1,DEMAGRWATR09,2024,0.0091
Region1,DEMAGRWATR09,2025,0.0152
Region1,DEMAGRWATR09,2026,0.0092
Region1,DEMAGRWATR09,2027,0.0089
Region1,DEMAGRWATR09,2028,0.0096
Region1,DEMAGRWATR09,2029,0.124
Region1,DEMAGRWATR09,2030,0.7854
Region1,DEMAGRWATR10,2014,0.1297
Region1,DEMAGRWATR10,2015,0.8257
Region1,DEMAGRWATR10,2030,0.4178
Region1,DEMAGRWATR11,2014,0.07
Region1,DEMAGRWATR11,2015,0.1571
Region1,DEMAGRWATR11,2017,0.0004
Region1,DEMAGRWATR11,2029,0.07
Region1,DEMAGRWATR11,2030,0.1571
Region1,DEMAGRWATR12,2014,0.5222
Region1,DEMAGRWATR12,2015,1.8862
Region1,DEMAGRWATR12,2017,0.0001
Region1,DEMAGRWATR12,2029,0.5222
Region1,DEMAGRWATR12,2030,1.8862
Region1,DEMAGRWATR13,2014,0.5505
