r,t,l,y,RateOfTotalActivity
Region1,DEMAGRELC,1,2014,0.0001
Region1,DEMAGRELC,1,2016,0.0007
Region1,DEMAGRELC,2,2014,0.0001
Region1,DEMAGRELC,4,2014,0.4824
Region1,DEMAGRELC,4,2015,0.2681
Region1,DEMAGRELC,4,2016,0.5976
Region1,DEMAGRELC,4,2017,0.5882
Region1,DEMAGRELC,4,2018,0.5976
Region1,DEMAGRELC,4,2019,0.5972
Region1,DEMAGRELC,4,2020,0.542
Region1,DEMAGRELC,4,2021,0.5965
Region1,DEMAGRELC,4,2022,0.5931
Region1,DEMAGRELC,4,2023,0.5343
Region1,DEMAGRELC,4,2024,0.5289
Region1,DEMAGRELC,4,2025,0.5166
Region1,DEMAGRELC,4,2026,0.5106
Region1,DEMAGRELC,4,2027,0.5108
Region1,DEMAGRELC,4,2028,0.5201
Region1,DEMAGRELC,4,2029,0.4885
Region1,DEMAGRELC,4,2030,0.466
Region1,DEMAGRELC,5,2014,0.4824
Region1,DEMAGRELC,5,2015,0.2033
Region1,DEMAGRELC,5,2016,0.5756
Region1,DEMAGRELC,5,2017,0.5084
Region1,DEMAGRELC,5,2018,0.5606
Region1,DEMAGRELC,5,2019,0.5526
Region1,DEMAGRELC,5,2020,0.5739
Region1,DEMAGRELC,5,2021,0.5372
Region1,DEMAGRELC,5,2022,0.5307
Region1,DEMAGRELC,5,2023,0.5467
Region1,DEMAGRELC,5,2024,0.5413
Region1,DEMAGRELC,5,2025,0.5387
Region1,DEMAGRELC,5,2026,0.5326
Region1,DEMAGRELC,5,2027,0.5233
Region1,DEMAGRELC,5,2028,0.5081
Region1,DEMAGRELC,5,2029,0.4885
Region1,DEMAGRELC,5,2030,0.4656
Region1,DEMAGRELC,6,2017,0.436
Region1,DEMAGRELC,6,2030,0.1635
Region1,DEMAGRGWTR01,1,2014,0.0
Region1,DEMAGRGWTR01,2,2014,0.0
Region1,DEMAGRGWTR01,4,2016,0.0604
Region1,DEMAGRGWTR01,4,2017,0.0555
Region1,DEMAGRGWTR01,4,2018,0.0604
Region1,DEMAGRGWTR01,4,2019,0.0602
Region1,DEMAGRGWTR01,4,2020,0.0598
Region1,DEMAGRGWTR01,4,2021,0.0598
Region1,DEMAGRGWTR01,4,2022,0.0598
Region1,DEMAGRGWTR01,4,2023,0.0598
Region1,DEMAGRGWTR01,4,2024,0.058
Region1,DEMAGRGWTR01,4,2025,0.0559
Region1,DEMAGRGWTR01,4,2026,0.054
Region1,DEMAGRGWTR01,4,2027,0.0523
Region1,DEMAGRGWTR01,4,2028,0.0497
Region1,DEMAGRGWTR01,4,2029,0.0604
Region1,DEMAGRGWTR01,4,2030,0.0604
Region1,DEMAGRGWTR01,5,2016,0.0604
Region1,DEMAGRGWTR01,5,2017,0.0553
Region1,DEMAGRGWTR01,5,2018,0.0604
Region1,DEMAGRGWTR01,5,2019,0.06
Region1,DEMAGRGWTR01,5,2020,0.0597
Region1,DEMAGRGWTR01,5,2021,0.0597
Region1,DEMAGRGWTR01,5,2022,0.0597
Region1,DEMAGRGWTR01,5,2023,0.0597
Region1,DEMAGRGWTR01,5,2024,0.0578
Region1,DEMAGRGWTR01,5,2025,0.056
Region1,DEMAGRGWTR01,5,2026,0.0541
Region1,DEMAGRGWTR01,5,2027,0.0521
Region1,DEMAGRGWTR01,5,2028,0.0498
Region1,DEMAGRGWTR01,5,2029,0.0604
Region1,DEMAGRGWTR01,5,2030,0.0604
Region1,DEMAGRGWTR01,6,2017,0.0553
Region1,DEMAGRGWTR31,1,2016,0.0004
Region1,DEMAGRGWTR31,4,2014,0.2529
Region1,DEMAGRGWTR31,4,2015,0.1405
