r,l,t,m,y,RateOfActivity
Region1,1,DEMAGRGWTR01,1,2014,0.0
Region1,2,DEMAGRGWTR01,1,2014,0.0
Region1,4,DEMAGRGWTR01,1,2016,0.0604
Region1,5,DEMAGRGWTR01,1,2016,0.0604
Region1,4,DEMAGRGWTR01,1,2017,0.0555
Region1,5,DEMAGRGWTR01,1,2017,0.0553
Region1,6,DEMAGRGWTR01,1,2017,0.0553
Region1,4,DEMAGRGWTR01,1,2018,0.0604
Region1,5,DEMAGRGWTR01,1,2018,0.0604
Region1,4,DEMAGRGWTR01,1,2019,0.0602
Region1,5,DEMAGRGWTR01,1,2019,0.06
Region1,4,DEMAGRGWTR01,1,2020,0.0598
Region1,5,DEMAGRGWTR01,1,2020,0.0597
Region1,4,DEMAGRGWTR01,1,2021,0.0598
Region1,5,DEMAGRGWTR01,1,2021,0.0597
Region1,4,DEMAGRGWTR01,1,2022,0.0598
Region1,5,DEMAGRGWTR01,1,2022,0.0597
Region1,4,DEMAGRGWTR01,1,2023,0.0598
Region1,5,DEMAGRGWTR01,1,2023,0.0597
Region1,4,DEMAGRGWTR01,1,2024,0.058
Region1,5,DEMAGRGWTR01,1,2024,0.0578
Region1,4,DEMAGRGWTR01,1,2025,0.0559
Region1,5,DEMAGRGWTR01,1,2025,0.056
Region1,4,DEMAGRGWTR01,1,2026,0.054
Region1,5,DEMAGRGWTR01,1,2026,0.0541
Region1,4,DEMAGRGWTR01,1,2027,0.0523
Region1,5,DEMAGRGWTR01,1,2027,0.0521
Region1,4,DEMAGRGWTR01,1,2028,0.0497
Region1,5,DEMAGRGWTR01,1,2028,0.0498
Region1,4,DEMAGRGWTR01,1,2029,0.0604
Region1,5,DEMAGRGWTR01,1,2029,0.0604
Region1,4,DEMAGRGWTR01,1,2030,0.0604
Region1,5,DEMAGRGWTR01,1,2030,0.0604
Region1,4,DEMAGRGWTR31,1,2014,0.2529
Region1,5,DEMAGRGWTR31,1,2014,0.2529
Region1,4,DEMAGRGWTR31,1,2015,0.1405
Region1,5,DEMAGRGWTR31,1,2015,0.1066
Region1,1,DEMAGRGWTR31,1,2016,0.0004
Region1,4,DEMAGRGWTR31,1,2016,0.2529
Region1,5,DEMAGRGWTR31,1,2016,0.2413
Region1,4,DEMAGRGWTR31,1,2017,0.2529
Region1,5,DEMAGRGWTR31,1,2017,0.2112
Region1,6,DEMAGRGWTR31,1,2017,0.1733
Region1,4,DEMAGRGWTR31,1,2018,0.2529
Region1,5,DEMAGRGWTR31,1,2018,0.2335
Region1,4,DEMAGRGWTR31,1,2019,0.2529
Region1,5,DEMAGRGWTR31,1,2019,0.2297
Region1,4,DEMAGRGWTR31,1,2020,0.2243
Region1,5,DEMAGRGWTR31,1,2020,0.2412
Region1,4,DEMAGRGWTR31,1,2021,0.2529
Region1,5,DEMAGRGWTR31,1,2021,0.2219
Region1,4,DEMAGRGWTR31,1,2022,0.2511
Region1,5,DEMAGRGWTR31,1,2022,0.2186
Region1,4,DEMAGRGWTR31,1,2023,0.2203
Region1,5,DEMAGRGWTR31,1,2023,0.227
Region1,4,DEMAGRGWTR31,1,2024,0.2193
Region1,5,DEMAGRGWTR31,1,2024,0.226
Region1,4,DEMAGRGWTR31,1,2025,0.2149
Region1,5,DEMAGRGWTR31,1,2025,0.2264
Region1,4,DEMAGRGWTR31,1,2026,0.2137
Region1,5,DEMAGRGWTR31,1,2026,0.2251
Region1,4,DEMAGRGWTR31,1,2027,0.2155
Region1,5,DEMAGRGWTR31,1,2027,0.2222
Region1,4,DEMAGRGWTR31,1,2028,0.223
Region1,5,DEMAGRGWTR31,1,2028,0.2166
Region1,4,DEMAGRGWTR31,1,2029,0.1957
Region1,5,DEMAGRGWTR31,1,2029,0.1957
Region1,4,DEMAGRGWTR31,1,2030,0.1839
Region1,5,DEMAGRGWTR31,1,2030,0.1837
Region1,6,DEMAGRGWTR31,1,2030,0.0857
Region1,1,DEMAGRWATR01,1,2014,0.246
Region1,2,DEMAGRWATR01,1,2014,0.246
Region1,3,DEMAGRWATR01,1,2014,0.246
Region1,4,DEMAGRWATR01,1,2014,0.246
Region1,5,DEMAGRWATR01,1,2014,0.246
Region1,6,DEMAGRWATR01,1,2014,0.246
Region1,1,DEMAGRWATR01,1,2015,0.246
Region1,2,DEMAGRWATR01,1,2015,0.246
Region1,3,DEMAGRWATR01,1,2015,0.246
Region1,4,DEMAGRWATR01,1,2015,0.246
Region1,5,DEMAGRWATR01,1,2015,0.246
Region1,6,DEMAGRWATR01,1,2015,0.246
Region1,1,DEMAGRWATR01,1,2016,0.246
Region1,2,DEMAGRWATR01,1,2016,0.246
Region1,3,DEMAGRWATR01,1,2016,0.246
Region1,4,DEMAGRWATR01,1,2016,0.1851
Region1,5,DEMAGRWATR01,1,2016,0.1851
