r,e,y,AnnualEmissions
EXAMPLE,CO2eq,2019,60.4804
EXAMPLE,CO2eq,2020,60.7262
EXAMPLE,CO2eq,2021,60.9732
EXAMPLE,CO2eq,2022,61.2348
