r,t,e,m,y,AnnualTechnologyEmissionByMode
<<<<<<< HEAD
=======
EXAMPLE,DEMAGRDSL,CO2eq,1,2019,1.44
EXAMPLE,DEMAGRDSL,CO2eq,1,2020,1.4411
EXAMPLE,DEMAGRDSL,CO2eq,1,2021,1.4422
EXAMPLE,DEMAGRDSL,CO2eq,1,2022,1.4433
EXAMPLE,DEMAGRLND,CO2eq,1,2019,59.5
EXAMPLE,DEMAGRLND,CO2eq,1,2020,59.5567
EXAMPLE,DEMAGRLND,CO2eq,1,2021,59.6143
EXAMPLE,DEMAGRLND,CO2eq,1,2022,59.6738
EXAMPLE,DEMFORLND,CO2eq,1,2019,-3.0
EXAMPLE,DEMFORLND,CO2eq,1,2020,-2.812
EXAMPLE,DEMFORLND,CO2eq,1,2021,-2.6237
EXAMPLE,DEMFORLND,CO2eq,1,2022,-2.4227
EXAMPLE,DEMPWRGAS,CO2eq,1,2019,2.5404
EXAMPLE,DEMPWRGAS,CO2eq,1,2020,2.5404
EXAMPLE,DEMPWRGAS,CO2eq,1,2021,2.5404
EXAMPLE,DEMPWRGAS,CO2eq,1,2022,2.5404
>>>>>>> 9c2f179ddcb2de8b42cfa9343493b740b85d357c
