r,rr,l,f,y,Trade
"EXAMPLE","EXAMPLE","SN","COMELC",2020,0
"EXAMPLE","EXAMPLE","SN","COMELC",2021,0
"EXAMPLE","EXAMPLE","SN","COMELC",2022,0
"EXAMPLE","EXAMPLE","SN","CRPCP01",2019,0
"EXAMPLE","EXAMPLE","SN","CRPCP01",2020,0
"EXAMPLE","EXAMPLE","SN","CRPCP01",2021,0
"EXAMPLE","EXAMPLE","SN","CRPCP01",2022,0
"EXAMPLE","EXAMPLE","SN","CRPCP02",2019,0
"EXAMPLE","EXAMPLE","SN","CRPCP02",2020,0
"EXAMPLE","EXAMPLE","SN","CRPCP02",2021,0
"EXAMPLE","EXAMPLE","SN","CRPCP02",2022,0
"EXAMPLE","EXAMPLE","SN","ELC001",2019,0
"EXAMPLE","EXAMPLE","SN","ELC001",2020,0
"EXAMPLE","EXAMPLE","SN","ELC001",2021,0
"EXAMPLE","EXAMPLE","SN","ELC001",2022,0
"EXAMPLE","EXAMPLE","SN","ELC002",2019,0
"EXAMPLE","EXAMPLE","SN","ELC002",2020,0
"EXAMPLE","EXAMPLE","SN","ELC002",2021,0
"EXAMPLE","EXAMPLE","SN","ELC002",2022,0
"EXAMPLE","EXAMPLE","SN","GEO",2019,0
"EXAMPLE","EXAMPLE","SN","GEO",2020,0
"EXAMPLE","EXAMPLE","SN","GEO",2021,0
"EXAMPLE","EXAMPLE","SN","GEO",2022,0
"EXAMPLE","EXAMPLE","SN","HYD",2019,0
"EXAMPLE","EXAMPLE","SN","HYD",2020,0
"EXAMPLE","EXAMPLE","SN","HYD",2021,0
"EXAMPLE","EXAMPLE","SN","HYD",2022,0
"EXAMPLE","EXAMPLE","SN","LND",2019,0
"EXAMPLE","EXAMPLE","SN","LND",2020,0
"EXAMPLE","EXAMPLE","SN","LND",2021,0
"EXAMPLE","EXAMPLE","SN","LND",2022,0
"EXAMPLE","EXAMPLE","SN","PUBWAT",2019,0
"EXAMPLE","EXAMPLE","SN","PUBWAT",2020,0
"EXAMPLE","EXAMPLE","SN","PUBWAT",2021,0
"EXAMPLE","EXAMPLE","SN","PUBWAT",2022,0
"EXAMPLE","EXAMPLE","SN","SOL",2019,0
"EXAMPLE","EXAMPLE","SN","SOL",2020,0
"EXAMPLE","EXAMPLE","SN","SOL",2021,0
"EXAMPLE","EXAMPLE","SN","SOL",2022,0
"EXAMPLE","EXAMPLE","SN","SUG",2019,0
"EXAMPLE","EXAMPLE","SN","SUG",2020,0
"EXAMPLE","EXAMPLE","SN","SUG",2021,0
"EXAMPLE","EXAMPLE","SN","SUG",2022,0
"EXAMPLE","EXAMPLE","SN","WND",2019,0
"EXAMPLE","EXAMPLE","SN","WND",2020,0
"EXAMPLE","EXAMPLE","SN","WND",2021,0
"EXAMPLE","EXAMPLE","SN","WND",2022,0
"EXAMPLE","EXAMPLE","SN","WTREVT",2019,0
"EXAMPLE","EXAMPLE","SN","WTREVT",2020,0
"EXAMPLE","EXAMPLE","SN","WTREVT",2021,0
"EXAMPLE","EXAMPLE","SN","WTREVT",2022,0
"EXAMPLE","EXAMPLE","SN","WTRGWT",2019,0
"EXAMPLE","EXAMPLE","SN","WTRGWT",2020,0
"EXAMPLE","EXAMPLE","SN","WTRGWT",2021,0
"EXAMPLE","EXAMPLE","SN","WTRGWT",2022,0
"EXAMPLE","EXAMPLE","SN","WTRPRC",2019,0
"EXAMPLE","EXAMPLE","SN","WTRPRC",2020,0
"EXAMPLE","EXAMPLE","SN","WTRPRC",2021,0
"EXAMPLE","EXAMPLE","SN","WTRPRC",2022,0
"EXAMPLE","EXAMPLE","SN","WTRSUR",2019,0
"EXAMPLE","EXAMPLE","SN","WTRSUR",2020,0
"EXAMPLE","EXAMPLE","SN","WTRSUR",2021,0
"EXAMPLE","EXAMPLE","SN","WTRSUR",2022,0
"EXAMPLE","EXAMPLE","WD","AGRELC",2019,0
"EXAMPLE","EXAMPLE","WD","AGRELC",2020,0
"EXAMPLE","EXAMPLE","WD","AGRELC",2021,0
