r,t,f,y,InputToNewCapacity
"EXAMPLE","DEMAGRELC","AGRELC",2019,0
"EXAMPLE","DEMAGRELC","AGRELC",2020,0
"EXAMPLE","DEMAGRELC","AGRELC",2021,0
"EXAMPLE","DEMAGRELC","AGRELC",2022,0
"EXAMPLE","DEMAGRELC","AGRWAT",2019,0
"EXAMPLE","DEMAGRELC","AGRWAT",2020,0
"EXAMPLE","DEMAGRELC","AGRWAT",2021,0
"EXAMPLE","DEMAGRELC","AGRWAT",2022,0
"EXAMPLE","DEMAGRELC","BIO",2019,0
"EXAMPLE","DEMAGRELC","BIO",2020,0
"EXAMPLE","DEMAGRELC","BIO",2021,0
"EXAMPLE","DEMAGRELC","BIO",2022,0
"EXAMPLE","DEMAGRELC","BLT",2019,0
"EXAMPLE","DEMAGRELC","BLT",2020,0
"EXAMPLE","DEMAGRELC","BLT",2021,0
"EXAMPLE","DEMAGRELC","BLT",2022,0
"EXAMPLE","DEMAGRELC","COMELC",2019,0
"EXAMPLE","DEMAGRELC","COMELC",2020,0
"EXAMPLE","DEMAGRELC","COMELC",2021,0
"EXAMPLE","DEMAGRELC","COMELC",2022,0
"EXAMPLE","DEMAGRELC","CRPCP01",2019,0
"EXAMPLE","DEMAGRELC","CRPCP01",2020,0
"EXAMPLE","DEMAGRELC","CRPCP01",2021,0
"EXAMPLE","DEMAGRELC","CRPCP01",2022,0
"EXAMPLE","DEMAGRELC","CRPCP02",2019,0
"EXAMPLE","DEMAGRELC","CRPCP02",2020,0
"EXAMPLE","DEMAGRELC","CRPCP02",2021,0
"EXAMPLE","DEMAGRELC","CRPCP02",2022,0
"EXAMPLE","DEMAGRELC","ELC001",2019,0
"EXAMPLE","DEMAGRELC","ELC001",2020,0
"EXAMPLE","DEMAGRELC","ELC001",2021,0
"EXAMPLE","DEMAGRELC","ELC001",2022,0
"EXAMPLE","DEMAGRELC","ELC002",2019,0
"EXAMPLE","DEMAGRELC","ELC002",2020,0
"EXAMPLE","DEMAGRELC","ELC002",2021,0
"EXAMPLE","DEMAGRELC","ELC002",2022,0
"EXAMPLE","DEMAGRELC","GEO",2019,0
"EXAMPLE","DEMAGRELC","GEO",2020,0
"EXAMPLE","DEMAGRELC","GEO",2021,0
"EXAMPLE","DEMAGRELC","GEO",2022,0
"EXAMPLE","DEMAGRELC","HYD",2019,0
"EXAMPLE","DEMAGRELC","HYD",2020,0
"EXAMPLE","DEMAGRELC","HYD",2021,0
"EXAMPLE","DEMAGRELC","HYD",2022,0
"EXAMPLE","DEMAGRELC","LND",2019,0
"EXAMPLE","DEMAGRELC","LND",2020,0
"EXAMPLE","DEMAGRELC","LND",2021,0
"EXAMPLE","DEMAGRELC","LND",2022,0
"EXAMPLE","DEMAGRELC","PUBWAT",2019,0
"EXAMPLE","DEMAGRELC","PUBWAT",2020,0
"EXAMPLE","DEMAGRELC","PUBWAT",2021,0
"EXAMPLE","DEMAGRELC","PUBWAT",2022,0
"EXAMPLE","DEMAGRELC","SOL",2019,0
"EXAMPLE","DEMAGRELC","SOL",2020,0
"EXAMPLE","DEMAGRELC","SOL",2021,0
"EXAMPLE","DEMAGRELC","SOL",2022,0
"EXAMPLE","DEMAGRELC","WND",2019,0
"EXAMPLE","DEMAGRELC","WND",2020,0
"EXAMPLE","DEMAGRELC","WND",2021,0
"EXAMPLE","DEMAGRELC","WND",2022,0
"EXAMPLE","DEMAGRELC","WTREVT",2019,0
