r,t,y,AnnualFixedOperatingCost
EXAMPLE,PWRGAS,2019,121.5394
EXAMPLE,PWRGAS,2020,121.5394
EXAMPLE,PWRGAS,2021,121.5394
EXAMPLE,PWRGAS,2022,121.5394
EXAMPLE,PWRHYD,2019,479.7992
EXAMPLE,PWRHYD,2020,479.7992
EXAMPLE,PWRHYD,2021,479.7992
EXAMPLE,PWRHYD,2022,479.7992
EXAMPLE,PWRSOL,2020,0.1157
EXAMPLE,PWRSOL,2021,0.2313
EXAMPLE,PWRSOL,2022,0.3518
