r,l,t,f,y,ProductionByTechnology
EXAMPLE,SD,PWRHYD,ELC001,2019,33.7193
EXAMPLE,SD,PWRHYD,ELC001,2020,33.7193
EXAMPLE,SD,PWRHYD,ELC001,2021,33.7193
EXAMPLE,SD,PWRHYD,ELC001,2022,33.7193
EXAMPLE,SD,PWRSOL,ELC002,2020,0.0366
EXAMPLE,SD,PWRSOL,ELC002,2021,0.0732
EXAMPLE,SD,PWRSOL,ELC002,2022,0.1113
EXAMPLE,SD,PWRTRN,ELC002,2019,33.7193
EXAMPLE,SD,PWRTRN,ELC002,2020,33.7193
EXAMPLE,SD,PWRTRN,ELC002,2021,33.7193
EXAMPLE,SD,PWRTRN,ELC002,2022,33.7193
EXAMPLE,SN,DEMAGRDSL,AGRDSL,2019,6.4025
EXAMPLE,SN,DEMAGRDSL,AGRDSL,2020,6.3549
EXAMPLE,SN,DEMAGRDSL,AGRDSL,2021,8.7827
EXAMPLE,SN,DEMAGRDSL,AGRDSL,2022,15.0219
EXAMPLE,SN,DEMAGRGWTWAT,AGRWAT,2019,4.8019
EXAMPLE,SN,DEMAGRGWTWAT,AGRWAT,2020,4.7662
EXAMPLE,SN,DEMAGRGWTWAT,AGRWAT,2021,6.587
EXAMPLE,SN,DEMAGRGWTWAT,AGRWAT,2022,16.4007
EXAMPLE,SN,DEMAGRLND,AGRLND,2019,53.3543
EXAMPLE,SN,DEMAGRLND,AGRLND,2020,52.9576
EXAMPLE,SN,DEMAGRLND,AGRLND,2021,73.1891
EXAMPLE,SN,DEMAGRLND,AGRLND,2022,147.4047
EXAMPLE,SN,DEMAGRSURWAT,AGRWAT,2019,29.8784
EXAMPLE,SN,DEMAGRSURWAT,AGRWAT,2020,29.6563
EXAMPLE,SN,DEMAGRSURWAT,AGRWAT,2021,40.9859
EXAMPLE,SN,DEMAGRSURWAT,AGRWAT,2022,36.0791
EXAMPLE,SN,DEMFORLND,FORLND,2022,20.1889
EXAMPLE,SN,DEMPUBSURWAT,PUBWAT,2019,12.0
EXAMPLE,SN,DEMPUBSURWAT,PUBWAT,2020,12.24
EXAMPLE,SN,LNDAGR001,CRPCP01,2022,40.0
EXAMPLE,SN,LNDAGR001,CRPCP02,2019,16.0063
EXAMPLE,SN,LNDAGR001,CRPCP02,2020,15.8873
EXAMPLE,SN,LNDAGR001,CRPCP02,2021,21.9567
EXAMPLE,SN,LNDAGR001,CRPCP02,2022,24.2214
EXAMPLE,SN,LNDAGR001,WTREVT,2019,40.0158
EXAMPLE,SN,LNDAGR001,WTREVT,2020,39.7182
EXAMPLE,SN,LNDAGR001,WTREVT,2021,54.8918
EXAMPLE,SN,LNDAGR001,WTREVT,2022,148.2518
EXAMPLE,SN,LNDAGR001,WTRGWT,2019,4.8019
EXAMPLE,SN,LNDAGR001,WTRGWT,2020,4.7662
EXAMPLE,SN,LNDAGR001,WTRGWT,2021,6.587
EXAMPLE,SN,LNDAGR001,WTRGWT,2022,16.4007
EXAMPLE,SN,LNDAGR001,WTRSUR,2019,43.217
EXAMPLE,SN,LNDAGR001,WTRSUR,2020,42.8957
EXAMPLE,SN,LNDAGR001,WTRSUR,2021,59.2831
EXAMPLE,SN,LNDAGR001,WTRSUR,2022,152.3929
EXAMPLE,SN,MINHYD,HYD,2019,16.8559
EXAMPLE,SN,MINHYD,HYD,2020,16.8559
EXAMPLE,SN,MINHYD,HYD,2021,16.8559
EXAMPLE,SN,MINHYD,HYD,2022,16.8559
EXAMPLE,SN,MINLND,LND,2019,53.3543
EXAMPLE,SN,MINLND,LND,2020,52.9576
EXAMPLE,SN,MINLND,LND,2021,73.1891
EXAMPLE,SN,MINLND,LND,2022,255.6971
EXAMPLE,SN,MINPRC,WTRPRC,2019,53.3543
EXAMPLE,SN,MINPRC,WTRPRC,2020,52.9576
