r,t,y,DiscountedSalvageValue
REGION1,LNDCP01HIMRD,2026,0.011
REGION1,LNDCP01HIMRD,2027,0.0272
REGION1,LNDCP01HIMRD,2028,0.0425
REGION1,LNDCP01HIMRD,2029,0.0567
REGION1,LNDCP01HIMRD,2030,0.0697
REGION1,LNDCP01HINOC,2018,0.1043
REGION1,LNDCP01HINOC,2019,0.1646
REGION1,LNDCP01HINOC,2020,0.232
REGION1,LNDCP01HINOC,2021,0.3081
REGION1,LNDCP01HINOE,2026,0.0107
REGION1,LNDCP01HINOE,2027,0.0267
REGION1,LNDCP01HINOE,2028,0.0417
REGION1,LNDCP01HINOE,2029,0.0556
REGION1,LNDCP01HINOE,2030,0.0683
REGION1,LNDCP01HINOW,2026,0.0141
REGION1,LNDCP01HINOW,2027,0.0351
REGION1,LNDCP01HINOW,2028,0.0548
REGION1,LNDCP01HINOW,2029,0.0731
REGION1,LNDCP01HINOW,2030,0.0898
REGION1,LNDCP01HIRRD,2026,0.006
REGION1,LNDCP01HIRRD,2027,0.015
REGION1,LNDCP01HIRRD,2028,0.0234
REGION1,LNDCP01HIRRD,2029,0.0312
REGION1,LNDCP01HIRRD,2030,0.0384
REGION1,LNDCP01HISOC,2019,0.181
REGION1,LNDCP01HISOC,2020,0.3388
REGION1,LNDCP01HISOC,2021,0.4465
REGION1,LNDCP01HISOC,2022,0.5675
REGION1,LNDCP01HISOE,2020,0.0404
REGION1,LNDCP01HISOE,2027,0.0186
REGION1,LNDCP01HISOE,2028,0.0361
REGION1,LNDCP01HISOE,2029,0.0524
REGION1,LNDCP01HISOE,2030,0.0673
REGION1,LNDCP01HRMRD,2017,0.1718
REGION1,LNDCP01HRMRD,2029,0.0258
REGION1,LNDCP01HRMRD,2030,0.087
REGION1,LNDCP01HRNOC,2017,0.1865
REGION1,LNDCP01HRNOC,2018,0.393
REGION1,LNDCP01HRNOC,2019,0.624
REGION1,LNDCP01HRNOC,2020,0.8847
REGION1,LNDCP01HRNOC,2021,1.1809
REGION1,LNDCP01HRNOC,2022,1.519
REGION1,LNDCP01HRNOC,2023,1.9065
REGION1,LNDCP01HRNOC,2024,2.3521
REGION1,LNDCP01HRNOC,2025,2.8654
REGION1,LNDCP01HRNOC,2026,3.4576
