r,t,l,y,RateOfTotalActivity
REGION1,DEMAGRCOA,SEA1BAS,2020,0.8542
REGION1,DEMAGRCOA,SEA1INT,2019,0.3866
REGION1,DEMAGRCOA,SEA1INT,2022,0.5034
REGION1,DEMAGRCOA,SEA1INT,2023,0.5397
REGION1,DEMAGRCOA,SEA1INT,2025,0.6162
REGION1,DEMAGRCOA,SEA1INT,2026,0.6565
REGION1,DEMAGRCOA,SEA1INT,2028,0.733
REGION1,DEMAGRCOA,SEA1INT,2030,0.8015
REGION1,DEMAGRCOA,SEA2BAS,2016,0.4491
REGION1,DEMAGRCOA,SEA2BAS,2021,0.6537
REGION1,DEMAGRCOA,SEA2BAS,2029,1.0858
REGION1,DEMAGRCOA,SEA2INT,2024,0.4093
REGION1,DEMAGRCOA,SEA2INT,2027,0.4889
REGION1,DEMAGRCOA,SEA2PEK,2017,1.4515
REGION1,DEMAGRCOA,SEA2PEK,2018,1.554
REGION1,DEMAGRDSL,SEA1BAS,2029,24.6445
REGION1,DEMAGRDSL,SEA1INT,2016,58.19
REGION1,DEMAGRDSL,SEA1INT,2020,77.925
REGION1,DEMAGRDSL,SEA1INT,2024,105.8077
REGION1,DEMAGRDSL,SEA1INT,2026,119.743
REGION1,DEMAGRDSL,SEA1INT,2027,3.2046
REGION1,DEMAGRDSL,SEA1INT,2030,146.7276
REGION1,DEMAGRDSL,SEA1PEK,2019,426.3311
REGION1,DEMAGRDSL,SEA1PEK,2022,347.713
REGION1,DEMAGRDSL,SEA1PEK,2028,347.713
REGION1,DEMAGRDSL,SEA2BAS,2017,88.136
REGION1,DEMAGRDSL,SEA2BAS,2027,132.1425
REGION1,DEMAGRDSL,SEA2INT,2018,47.0682
REGION1,DEMAGRDSL,SEA2INT,2021,59.9125
REGION1,DEMAGRDSL,SEA2INT,2023,69.7524
REGION1,DEMAGRDSL,SEA2INT,2029,90.5547
REGION1,DEMAGRDSL,SEA2PEK,2022,144.1684
REGION1,DEMAGRDSL,SEA2PEK,2025,478.1592
REGION1,DEMAGRDSL,SEA2PEK,2027,126.6931
REGION1,DEMAGRDSL,SEA2PEK,2028,321.4054
REGION1,DEMAGRELCC02,SEA1BAS,2016,0.6798
REGION1,DEMAGRELCC02,SEA1BAS,2017,0.7295
REGION1,DEMAGRELCC02,SEA1BAS,2018,0.7792
REGION1,DEMAGRELCC02,SEA1BAS,2019,0.8289
REGION1,DEMAGRELCC02,SEA1BAS,2020,0.9103
REGION1,DEMAGRELCC02,SEA1BAS,2021,0.9918
REGION1,DEMAGRELCC02,SEA1BAS,2022,1.0733
REGION1,DEMAGRELCC02,SEA1BAS,2023,1.1547
REGION1,DEMAGRELCC02,SEA1BAS,2024,1.2361
REGION1,DEMAGRELCC02,SEA1BAS,2025,1.3175
REGION1,DEMAGRELCC02,SEA1BAS,2026,1.3989
REGION1,DEMAGRELCC02,SEA1BAS,2027,1.4802
REGION1,DEMAGRELCC02,SEA1BAS,2028,1.5616
REGION1,DEMAGRELCC02,SEA1BAS,2029,1.643
REGION1,DEMAGRELCC02,SEA1BAS,2030,1.7141
REGION1,DEMAGRELCC02,SEA1INT,2016,0.8778
REGION1,DEMAGRELCC02,SEA1INT,2017,0.942
REGION1,DEMAGRELCC02,SEA1INT,2018,1.0062
REGION1,DEMAGRELCC02,SEA1INT,2019,1.0703
REGION1,DEMAGRELCC02,SEA1INT,2020,1.1755
REGION1,DEMAGRELCC02,SEA1INT,2021,1.2808
REGION1,DEMAGRELCC02,SEA1INT,2022,1.3859
REGION1,DEMAGRELCC02,SEA1INT,2023,1.4911
REGION1,DEMAGRELCC02,SEA1INT,2024,1.5961
REGION1,DEMAGRELCC02,SEA1INT,2025,1.7013
REGION1,DEMAGRELCC02,SEA1INT,2026,1.8064
REGION1,DEMAGRELCC02,SEA1INT,2027,1.9114
REGION1,DEMAGRELCC02,SEA1INT,2028,2.0165
REGION1,DEMAGRELCC02,SEA1INT,2029,2.1216
REGION1,DEMAGRELCC02,SEA1INT,2030,2.2134
REGION1,DEMAGRELCC02,SEA1PEK,2016,1.0156
REGION1,DEMAGRELCC02,SEA1PEK,2017,1.0898
REGION1,DEMAGRELCC02,SEA1PEK,2018,1.164
REGION1,DEMAGRELCC02,SEA1PEK,2019,1.2383
REGION1,DEMAGRELCC02,SEA1PEK,2020,1.36
REGION1,DEMAGRELCC02,SEA1PEK,2021,1.4817
REGION1,DEMAGRELCC02,SEA1PEK,2022,1.6034
REGION1,DEMAGRELCC02,SEA1PEK,2023,1.7251
REGION1,DEMAGRELCC02,SEA1PEK,2024,1.8466
REGION1,DEMAGRELCC02,SEA1PEK,2025,1.9683
