r,t,y,CapitalInvestment
REGION1,EXPELCC02,2016,3.1329
REGION1,EXPELCN02,2016,13.8635
REGION1,EXPELCS02,2016,16.9711
REGION1,IMPELCC02,2016,11.5297
REGION1,IMPELCN02,2016,50.9513
REGION1,IMPELCS02,2016,62.3161
REGION1,LNDCP01HIMRD,2026,0.0567
REGION1,LNDCP01HIMRD,2027,0.1333
REGION1,LNDCP01HIMRD,2028,0.1984
REGION1,LNDCP01HIMRD,2029,0.2537
REGION1,LNDCP01HIMRD,2030,0.3007
REGION1,LNDCP01HINOC,2018,1.9086
REGION1,LNDCP01HINOC,2019,2.1025
REGION1,LNDCP01HINOC,2020,2.3256
REGION1,LNDCP01HINOC,2021,2.582
REGION1,LNDCP01HINOE,2026,0.0556
REGION1,LNDCP01HINOE,2027,0.1306
REGION1,LNDCP01HINOE,2028,0.1943
REGION1,LNDCP01HINOE,2029,0.2485
REGION1,LNDCP01HINOE,2030,0.2946
REGION1,LNDCP01HINOW,2026,0.0731
REGION1,LNDCP01HINOW,2027,0.1717
REGION1,LNDCP01HINOW,2028,0.2555
REGION1,LNDCP01HINOW,2029,0.3268
REGION1,LNDCP01HINOW,2030,0.3874
REGION1,LNDCP01HIRRD,2026,0.0312
REGION1,LNDCP01HIRRD,2027,0.0733
REGION1,LNDCP01HIRRD,2028,0.1091
REGION1,LNDCP01HIRRD,2029,0.1396
REGION1,LNDCP01HIRRD,2030,0.1654
REGION1,LNDCP01HISOC,2019,2.3127
REGION1,LNDCP01HISOC,2020,3.3962
REGION1,LNDCP01HISOC,2021,3.7422
REGION1,LNDCP01HISOC,2022,4.1402
REGION1,LNDCP01HISOE,2020,0.4048
REGION1,LNDCP01HISOE,2027,0.0911
REGION1,LNDCP01HISOE,2028,0.1685
REGION1,LNDCP01HISOE,2029,0.2343
REGION1,LNDCP01HISOE,2030,0.2903
REGION1,LNDCP01HRMRD,2017,6.0043
REGION1,LNDCP01HRMRD,2029,0.1155
REGION1,LNDCP01HRMRD,2030,0.3753
REGION1,LNDCP01HRNOC,2017,6.5177
REGION1,LNDCP01HRNOC,2018,7.1945
REGION1,LNDCP01HRNOC,2019,7.9729
REGION1,LNDCP01HRNOC,2020,8.868
REGION1,LNDCP01HRNOC,2021,9.8973
REGION1,LNDCP01HRNOC,2022,11.0811
REGION1,LNDCP01HRNOC,2023,12.4425
REGION1,LNDCP01HRNOC,2024,14.008
REGION1,LNDCP01HRNOC,2025,15.8084
REGION1,LNDCP01HRNOC,2026,17.8789
REGION1,LNDCP01HRNOC,2027,20.2599
REGION1,LNDCP01HRNOC,2028,22.9981
REGION1,LNDCP01HRNOC,2029,26.147
REGION1,LNDCP01HRNOC,2030,22.4731
REGION1,LNDCP01HRNOE,2021,2.6313
REGION1,LNDCP01HRNOE,2027,2.5202
REGION1,LNDCP01HRNOE,2028,1.3958
REGION1,LNDCP01HRNOE,2029,3.6062
REGION1,LNDCP01HRNOW,2020,6.6633
REGION1,LNDCP01HRNOW,2021,7.3058
REGION1,LNDCP01HRNOW,2022,3.9281
REGION1,LNDCP01HRNOW,2027,6.8491
REGION1,LNDCP01HRNOW,2028,7.5195
REGION1,LNDCP01HRNOW,2029,8.2905
REGION1,LNDCP01HRNOW,2030,7.8819
REGION1,LNDCP01HRRRD,2026,0.1016
REGION1,LNDCP01HRRRD,2027,0.2389
REGION1,LNDCP01HRRRD,2028,0.3555
REGION1,LNDCP01HRRRD,2029,0.4546
REGION1,LNDCP01HRRRD,2030,0.5389
REGION1,LNDCP01HRSOC,2017,9.075
REGION1,LNDCP01HRSOC,2018,12.3578
REGION1,LNDCP01HRSOC,2019,13.6794
REGION1,LNDCP01HRSOC,2020,15.1992
REGION1,LNDCP01HRSOC,2021,16.947
REGION1,LNDCP01HRSOC,2022,18.957
REGION1,LNDCP01HRSOC,2023,21.2684
REGION1,LNDCP01HRSOC,2024,23.9266
REGION1,LNDCP01HRSOC,2025,21.8219
REGION1,LNDCP01HRSOC,2026,18.4993
REGION1,LNDCP01HRSOC,2027,6.7753
REGION1,LNDCP01HRSOC,2028,4.3986
REGION1,LNDCP01HRSOC,2029,0.0428
REGION1,LNDCP01HRSOE,2020,2.6789
REGION1,LNDCP01HRSOE,2027,0.0927
REGION1,LNDCP01HRSOE,2028,0.3755
REGION1,LNDCP01HRSOE,2029,0.6158
REGION1,LNDCP01HRSOE,2030,0.8202
REGION1,LNDCP01IIMRD,2026,0.0319
REGION1,LNDCP01IIMRD,2027,0.075
REGION1,LNDCP01IIMRD,2028,0.1116
REGION1,LNDCP01IIMRD,2029,0.1427
REGION1,LNDCP01IIMRD,2030,0.1692
REGION1,LNDCP01IINOC,2026,0.0346
REGION1,LNDCP01IINOC,2027,0.0814
REGION1,LNDCP01IINOC,2028,0.1211
