r,t,TotalTechnologyModelPeriodActivity
REGION1,LNDCP02IRNOE,0.349
REGION1,LNDCP02IRNOW,0.465
REGION1,LNDCP02IRRRD,0.2028
REGION1,LNDCP02IRSOC,0.6944
REGION1,LNDCP02IRSOE,0.3872
REGION1,LNDCP02LRMRD,0.3228
REGION1,LNDCP02LRNOC,0.3557
REGION1,LNDCP02LRRRD,0.1848
REGION1,LNDCP02LRSOC,0.5849
REGION1,LNDCP02LRSOE,0.3368
REGION1,LNDCP03HIMRD,1.3869
REGION1,LNDCP03HINOC,1.5054
REGION1,LNDCP03HINOE,2.5718
REGION1,LNDCP03HINOW,1.7433
REGION1,LNDCP03HIRRD,2.7616
REGION1,LNDCP03HISOC,2.6674
REGION1,LNDCP03HISOE,1.4873
REGION1,LNDCP03HRMRD,6.9685
REGION1,LNDCP03HRNOC,7.5643
REGION1,LNDCP03HRNOE,20.8825
REGION1,LNDCP03HRNOW,8.7596
REGION1,LNDCP03HRRRD,22.0079
REGION1,LNDCP03HRSOC,12.3007
REGION1,LNDCP03HRSOE,7.4732
REGION1,LNDCP03IIMRD,1.3828
REGION1,LNDCP03IINOC,1.4667
REGION1,LNDCP03IINOE,1.3121
REGION1,LNDCP03IINOW,1.4601
REGION1,LNDCP03IIRRD,0.7643
REGION1,LNDCP03IISOC,2.3486
REGION1,LNDCP03IISOE,1.4848
REGION1,LNDCP03IRMRD,0.8685
REGION1,LNDCP03IRNOC,0.9239
REGION1,LNDCP03IRNOE,2.0695
REGION1,LNDCP03IRNOW,0.9171
REGION1,LNDCP03IRRRD,74.4027
REGION1,LNDCP03IRSOC,1.4751
REGION1,LNDCP03IRSOE,0.9342
REGION1,LNDCP03LRMRD,0.7894
REGION1,LNDCP03LRNOC,0.8598
REGION1,LNDCP03LRNOE,0.6361
REGION1,LNDCP03LRNOW,0.8135
REGION1,LNDCP03LRRRD,0.4592
REGION1,LNDCP03LRSOC,1.1419
REGION1,LNDCP03LRSOE,0.8645
REGION1,LNDCP04HINOC,5.4608
REGION1,LNDCP04HINOE,5.9617
REGION1,LNDCP04HINOW,11.0878
REGION1,LNDCP04HIRRD,2.7678
REGION1,LNDCP04HISOC,10.6514
REGION1,LNDCP04HISOE,6.0732
REGION1,LNDCP04HRNOC,18.9998
REGION1,LNDCP04HRNOE,44.1957
REGION1,LNDCP04HRNOW,78.0637
REGION1,LNDCP04HRRRD,9.63
REGION1,LNDCP04HRSOC,33.6075
REGION1,LNDCP04HRSOE,18.7395
REGION1,LNDCP04IINOC,5.3363
REGION1,LNDCP04IINOE,12.4034
REGION1,LNDCP04IINOW,28.6763
REGION1,LNDCP04IIRRD,2.7678
REGION1,LNDCP04IISOC,13.5351
REGION1,LNDCP04IISOE,13.746
REGION1,LNDCP04IRNOC,6.8584
REGION1,LNDCP04IRNOE,102.8686
REGION1,LNDCP04IRNOW,85.4093
REGION1,LNDCP04IRRRD,71.7947
REGION1,LNDCP04IRSOC,8.6342
REGION1,LNDCP04IRSOE,2.289
REGION1,LNDCP04LRNOC,9.4361
REGION1,LNDCP04LRNOE,1.8906
REGION1,LNDCP04LRNOW,2.626
REGION1,LNDCP04LRRRD,1.1516
REGION1,LNDCP04LRSOC,4.2565
REGION1,LNDCP04LRSOE,2.7896
REGION1,LNDCP05HIMRD,142.6831
REGION1,LNDCP05HINOC,166.6873
REGION1,LNDCP05HINOE,42.0568
REGION1,LNDCP05HINOW,46.114
REGION1,LNDCP05HIRRD,19.6966
REGION1,LNDCP05HISOC,285.6032
REGION1,LNDCP05HISOE,161.3032
REGION1,LNDCP05HRMRD,9.3099
REGION1,LNDCP05HRNOC,30.503
REGION1,LNDCP05HRNOE,17.5175
REGION1,LNDCP05HRNOW,10.6396
REGION1,LNDCP05HRRRD,4.5445
REGION1,LNDCP05HRSOC,15.8596
REGION1,LNDCP05HRSOE,32.1557
REGION1,LNDCP05IIMRD,35.7999
REGION1,LNDCP05IINOC,47.0215
REGION1,LNDCP05IINOE,34.2505
REGION1,LNDCP05IINOW,42.0179
REGION1,LNDCP05IIRRD,19.6966
REGION1,LNDCP05IISOC,73.7003
REGION1,LNDCP05IISOE,45.1404
REGION1,LNDCP05IRMRD,249.6302
REGION1,LNDCP05IRNOC,1.4534
REGION1,LNDCP05IRNOE,0.9472
REGION1,LNDCP05IRNOW,1.1732
REGION1,LNDCP05IRRRD,0.5681
REGION1,LNDCP05IRSOC,1.8566
REGION1,LNDCP05IRSOE,3.1922
REGION1,LNDCP05LRMRD,0.9589
REGION1,LNDCP05LRNOC,1.0242
REGION1,LNDCP05LRNOE,0.7992
REGION1,LNDCP05LRNOW,1.0579
REGION1,LNDCP05LRRRD,0.5275
REGION1,LNDCP05LRSOC,1.6935
REGION1,LNDCP05LRSOE,1.0751
REGION1,LNDCP06HIMRD,0.5527
REGION1,LNDCP06HINOC,1.9112
REGION1,LNDCP06HINOE,1.4541
REGION1,LNDCP06HINOW,1.7543
REGION1,LNDCP06HIRRD,0.3046
REGION1,LNDCP06HISOC,3.0626
REGION1,LNDCP06HISOE,0.6134
REGION1,LNDCP06HRMRD,1.4872
REGION1,LNDCP06HRNOC,1.962
REGION1,LNDCP06HRNOE,8.3755
REGION1,LNDCP06HRNOW,9.7465
REGION1,LNDCP06HRRRD,1.0475
REGION1,LNDCP06HRSOC,2.8687
REGION1,LNDCP06HRSOE,1.5969
REGION1,LNDCP06IIMRD,0.551
REGION1,LNDCP06IINOC,0.7793
REGION1,LNDCP06IINOE,0.7943
REGION1,LNDCP06IINOW,1.0445
REGION1,LNDCP06IIRRD,0.3041
REGION1,LNDCP06IISOC,1.0522
REGION1,LNDCP06IISOE,0.5927
REGION1,LNDCP06IRMRD,0.1825
REGION1,LNDCP06IRNOC,0.2629
REGION1,LNDCP06IRNOE,3.9499
REGION1,LNDCP06IRNOW,1.3856
REGION1,LNDCP06IRRRD,0.1026
REGION1,LNDCP06IRSOC,0.3352
REGION1,LNDCP06IRSOE,0.1945
REGION1,LNDCP06LRMRD,0.1549
REGION1,LNDCP06LRNOC,0.1854
REGION1,LNDCP06LRNOE,0.1713
REGION1,LNDCP06LRNOW,0.2928
REGION1,LNDCP06LRRRD,0.0983
REGION1,LNDCP06LRSOC,0.3082
REGION1,LNDCP06LRSOE,0.1549
REGION1,LNDCP07HIMRD,0.6568
REGION1,LNDCP07HINOC,0.7142
REGION1,LNDCP07HINOE,0.6434
REGION1,LNDCP07HINOW,0.846
REGION1,LNDCP07HIRRD,0.3614
REGION1,LNDCP07HISOC,35.5959
REGION1,LNDCP07HISOE,33.5852
REGION1,LNDCP07HRMRD,5.6428
REGION1,LNDCP07HRNOC,6.1535
REGION1,LNDCP07HRNOE,5.5529
REGION1,LNDCP07HRNOW,7.302
REGION1,LNDCP07HRRRD,3.1137
REGION1,LNDCP07HRSOC,10.8845
REGION1,LNDCP07HRSOE,6.0692
REGION1,LNDCP07IIMRD,0.6549
REGION1,LNDCP07IINOC,0.7142
REGION1,LNDCP07IINOE,0.6434
REGION1,LNDCP07IINOW,0.8375
REGION1,LNDCP07IIRRD,0.3603
REGION1,LNDCP07IISOC,1.2633
REGION1,LNDCP07IISOE,0.7044
REGION1,LNDCP07IRMRD,0.6581
REGION1,LNDCP07IRNOC,0.7692
REGION1,LNDCP07IRNOE,0.6941
REGION1,LNDCP07IRNOW,0.902
REGION1,LNDCP07IRRRD,0.3881
REGION1,LNDCP07IRSOC,1.3606
REGION1,LNDCP07IRSOE,0.7586
REGION1,LNDCP07LRMRD,0.6326
REGION1,LNDCP07LRNOC,1.0769
REGION1,LNDCP07LRNOE,0.4822
REGION1,LNDCP07LRNOW,0.0885
REGION1,LNDCP07LRRRD,0.362
REGION1,LNDCP07LRSOC,0.8932
REGION1,LNDCP07LRSOE,0.7119
REGION1,LNDFORMRD,19.314
REGION1,LNDFORNOC,146.6463
REGION1,LNDFORNOE,110.342
REGION1,LNDFORNOW,238.4866
REGION1,LNDFORRRD,13.5543
REGION1,LNDFORSOC,340.7296
REGION1,LNDFORSOE,140.1402
REGION1,LNDGRSMRD,41.4895
REGION1,LNDGRSNOC,122.4849
REGION1,LNDGRSNOE,160.1583
REGION1,LNDGRSNOW,191.0022
REGION1,LNDGRSRRD,24.0378
REGION1,LNDGRSSOC,201.5333
REGION1,LNDGRSSOE,112.76
REGION1,LNDWATMRD,20.5678
REGION1,LNDWATNOC,10.9959
REGION1,LNDWATNOW,2.1268
REGION1,LNDWATRRD,6.708
REGION1,LNDWATSOC,31.5322
REGION1,LNDWATSOE,18.3551
REGION1,MINCOA,20890.968
REGION1,MINCRU,18287.253
REGION1,MINLNDMRD,631.017
REGION1,MINLNDNOC,686.0055
REGION1,MINLNDNOE,619.6506
REGION1,MINLNDNOW,819.1409
REGION1,MINLNDRRD,347.2293
REGION1,MINLNDSOC,1218.5754
REGION1,MINLNDSOE,675.3858
REGION1,MINNGS,11529.248
REGION1,MINPRCMRD,1391.9024
REGION1,MINPRCNOC,1351.0043
REGION1,MINPRCNOE,1157.4021
REGION1,MINPRCNOW,1654.8019
REGION1,MINPRCRRD,654.9721
REGION1,MINPRCSOC,2393.8828
REGION1,MINPRCSOE,1051.652
REGION1,PWRBIOC01,32.9945
REGION1,PWRBION01,4.0871
REGION1,PWRCOAC01,268.2137
REGION1,PWRCOAN01,657.7621
REGION1,PWRCOAN02,2001.8175
REGION1,PWRCOAN03,625.6892
REGION1,PWRCOAS01,2783.462
REGION1,PWRDSLN01,1.5172
REGION1,PWRHYDC01,329.558
REGION1,PWRHYDN01,3022.5766
REGION1,PWRHYDN02,383.9287
REGION1,PWRNGSC01,147.5885
REGION1,PWRNGSC0X,20.7721
REGION1,PWRNGSN01,2370.6116
REGION1,PWRNGSN02,656.4849
REGION1,PWRNGSN03,8.9405
REGION1,PWRNGSS01,234.1548
REGION1,PWRNGSS0X,2055.6919
REGION1,PWRSOLC01,57.2366
REGION1,PWRTRNC01,4085.1409
REGION1,PWRTRNCS1,2552.0326
REGION1,PWRTRNN01,9747.2476
REGION1,PWRTRNNC1,3387.7965
REGION1,PWRTRNS01,7561.0368
REGION1,PWRWNDC01,10.3709
REGION1,PWRWNDN01,13.8322
REGION1,PWRWNDS01,63.2972
REGION1,RNWBIO,15986.741
REGION1,RNWHYD,3736.0633
REGION1,RNWSOL,57.2366
REGION1,RNWWND,87.5003
REGION1,UPSCRU001,10334.004
