r,t,y,CapitalInvestment
REGION1,DEMCOMELCJ02,2026,334.8756
REGION1,DEMCOMELCJ02,2027,334.8072
REGION1,DEMCOMELCJ02,2028,334.7438
REGION1,DEMCOMELCJ02,2029,334.6848
REGION1,DEMCOMELCJ02,2030,334.6297
REGION1,DEMCOMELCK02,2015,392.3882
REGION1,DEMCOMELCK02,2017,22.4942
REGION1,DEMCOMELCK02,2018,22.4881
REGION1,DEMCOMELCK02,2019,22.4825
REGION1,DEMCOMELCK02,2020,22.4774
REGION1,DEMCOMELCK02,2021,35.4246
REGION1,DEMCOMELCK02,2022,35.4136
REGION1,DEMCOMELCK02,2023,35.4036
REGION1,DEMCOMELCK02,2024,35.3943
REGION1,DEMCOMELCK02,2025,35.3859
REGION1,DEMCOMELCK02,2026,35.3781
REGION1,DEMCOMELCK02,2027,35.3708
REGION1,DEMCOMELCK02,2028,35.3641
REGION1,DEMCOMELCK02,2029,35.3579
REGION1,DEMCOMELCK02,2030,35.3521
REGION1,DEMCOMELCL02,2015,479.0178
REGION1,DEMCOMELCL02,2017,27.4604
REGION1,DEMCOMELCL02,2018,27.4529
REGION1,DEMCOMELCL02,2019,27.4461
REGION1,DEMCOMELCL02,2020,27.4398
REGION1,DEMCOMELCL02,2021,43.2455
REGION1,DEMCOMELCL02,2022,43.232
REGION1,DEMCOMELCL02,2023,43.2198
REGION1,DEMCOMELCL02,2024,43.2085
REGION1,DEMCOMELCL02,2025,43.1982
REGION1,DEMCOMELCL02,2026,43.1887
REGION1,DEMCOMELCL02,2027,43.1799
REGION1,DEMCOMELCL02,2028,43.1717
REGION1,DEMCOMELCL02,2029,43.1641
REGION1,DEMCOMELCL02,2030,43.157
REGION1,DEMCOMELCM02,2015,72.8461
REGION1,DEMCOMELCM02,2017,4.176
REGION1,DEMCOMELCM02,2018,4.1749
REGION1,DEMCOMELCM02,2019,4.1738
REGION1,DEMCOMELCM02,2020,4.1729
REGION1,DEMCOMELCM02,2021,6.5765
REGION1,DEMCOMELCM02,2022,6.5745
REGION1,DEMCOMELCM02,2023,6.5726
REGION1,DEMCOMELCM02,2024,6.5709
REGION1,DEMCOMELCM02,2025,6.5693
REGION1,DEMCOMELCM02,2026,6.5679
REGION1,DEMCOMELCM02,2027,6.5665
REGION1,DEMCOMELCM02,2028,6.5653
REGION1,DEMCOMELCM02,2029,6.5641
REGION1,DEMCOMELCM02,2030,6.563
REGION1,DEMCOMELCN02,2015,360.9216
REGION1,DEMCOMELCN02,2017,20.6904
REGION1,DEMCOMELCN02,2018,20.6847
REGION1,DEMCOMELCN02,2019,20.6796
REGION1,DEMCOMELCN02,2020,20.6748
REGION1,DEMCOMELCN02,2021,32.5838
REGION1,DEMCOMELCN02,2022,32.5737
REGION1,DEMCOMELCN02,2023,32.5644
REGION1,DEMCOMELCN02,2024,32.556
REGION1,DEMCOMELCN02,2025,32.5482
REGION1,DEMCOMELCN02,2026,32.541
REGION1,DEMCOMELCN02,2027,32.5344
REGION1,DEMCOMELCN02,2028,32.5282
REGION1,DEMCOMELCN02,2029,32.5225
REGION1,DEMCOMELCN02,2030,32.5171
REGION1,DEMCOMELCP02,2015,102.7561
REGION1,DEMCOMELCP02,2017,5.8906
REGION1,DEMCOMELCP02,2018,5.889
REGION1,DEMCOMELCP02,2019,5.8876
REGION1,DEMCOMELCP02,2020,5.8862
REGION1,DEMCOMELCP02,2021,9.2768
REGION1,DEMCOMELCP02,2022,9.2739
REGION1,DEMCOMELCP02,2023,9.2713
REGION1,DEMCOMELCP02,2024,9.2688
REGION1,DEMCOMELCP02,2025,9.2666
REGION1,DEMCOMELCP02,2026,9.2646
REGION1,DEMCOMELCP02,2027,9.2627
REGION1,DEMCOMELCP02,2028,9.2609
REGION1,DEMCOMELCP02,2029,9.2593
REGION1,DEMCOMELCP02,2030,9.2578
REGION1,DEMCOMELCS02,2015,1413.7934
REGION1,DEMCOMELCS02,2017,81.0478
REGION1,DEMCOMELCS02,2018,81.0257
REGION1,DEMCOMELCS02,2019,81.0055
REGION1,DEMCOMELCS02,2020,80.987
REGION1,DEMCOMELCS02,2021,127.6366
REGION1,DEMCOMELCS02,2022,127.5969
REGION1,DEMCOMELCS02,2023,127.5607
REGION1,DEMCOMELCS02,2024,127.5275
REGION1,DEMCOMELCS02,2025,127.497
REGION1,DEMCOMELCS02,2026,127.4689
REGION1,DEMCOMELCS02,2027,127.4428
REGION1,DEMCOMELCS02,2028,127.4187
REGION1,DEMCOMELCS02,2029,127.3962
REGION1,DEMCOMELCS02,2030,127.3753
REGION1,DEMINDELCJ02,2015,4667.6281
REGION1,DEMINDELCJ02,2017,267.5786
REGION1,DEMINDELCJ02,2018,267.5056
REGION1,DEMINDELCJ02,2019,267.4389
REGION1,DEMINDELCJ02,2020,267.3779
REGION1,DEMINDELCJ02,2021,421.3911
REGION1,DEMINDELCJ02,2022,421.2601
REGION1,DEMINDELCJ02,2023,421.1406
REGION1,DEMINDELCJ02,2024,421.0311
REGION1,DEMINDELCJ02,2025,420.9304
REGION1,DEMINDELCJ02,2026,420.8375
REGION1,DEMINDELCJ02,2027,420.7516
REGION1,DEMINDELCJ02,2028,420.6718
REGION1,DEMINDELCJ02,2029,420.5976
REGION1,DEMINDELCJ02,2030,420.5285
REGION1,DEMINDELCK02,2015,493.1134
REGION1,DEMINDELCK02,2017,28.2685
REGION1,DEMINDELCK02,2018,28.2607
REGION1,DEMINDELCK02,2019,28.2537
REGION1,DEMINDELCK02,2020,28.2472
REGION1,DEMINDELCK02,2021,44.518
REGION1,DEMINDELCK02,2022,44.5042
REGION1,DEMINDELCK02,2023,44.4916
REGION1,DEMINDELCK02,2024,44.48
REGION1,DEMINDELCK02,2025,44.4694
REGION1,DEMINDELCK02,2026,44.4595
REGION1,DEMINDELCK02,2027,44.4505
REGION1,DEMINDELCK02,2028,44.442
REGION1,DEMINDELCK02,2029,44.4342
REGION1,DEMINDELCK02,2030,44.4269
REGION1,DEMINDELCL02,2015,601.9807
REGION1,DEMINDELCL02,2017,34.5094
REGION1,DEMINDELCL02,2018,34.5
REGION1,DEMINDELCL02,2019,34.4914
REGION1,DEMINDELCL02,2020,34.4835
REGION1,DEMINDELCL02,2021,54.3465
REGION1,DEMINDELCL02,2022,54.3296
REGION1,DEMINDELCL02,2023,54.3142
