r,t,l,y,RateOfTotalActivity
REGION1,DEMAGRDSL,SEA1BAS,2015,104.1325
REGION1,DEMAGRDSL,SEA1BAS,2018,45.3942
REGION1,DEMAGRDSL,SEA1INT,2016,165.394
REGION1,DEMAGRDSL,SEA1INT,2019,262.7139
REGION1,DEMAGRDSL,SEA1INT,2020,267.7632
REGION1,DEMAGRDSL,SEA1INT,2021,295.797
REGION1,DEMAGRDSL,SEA1INT,2023,336.2543
REGION1,DEMAGRDSL,SEA1INT,2027,417.1114
REGION1,DEMAGRDSL,SEA1INT,2029,392.3265
REGION1,DEMAGRDSL,SEA1PEK,2015,1032.4413
REGION1,DEMAGRDSL,SEA1PEK,2017,34.9201
REGION1,DEMAGRDSL,SEA1PEK,2020,46.644
REGION1,DEMAGRDSL,SEA1PEK,2029,390.9808
REGION1,DEMAGRDSL,SEA2BAS,2016,162.8592
REGION1,DEMAGRDSL,SEA2BAS,2017,640.4734
REGION1,DEMAGRDSL,SEA2BAS,2018,629.355
REGION1,DEMAGRDSL,SEA2BAS,2022,875.523
REGION1,DEMAGRDSL,SEA2BAS,2025,1043.5688
REGION1,DEMAGRDSL,SEA2INT,2024,493.9876
REGION1,DEMAGRDSL,SEA2INT,2026,550.0151
REGION1,DEMAGRDSL,SEA2INT,2028,606.0425
REGION1,DEMAGRDSL,SEA2INT,2030,662.0301
REGION1,DEMAGRELCJ02,SEA1BAS,2015,4.5104
REGION1,DEMAGRELCJ02,SEA1BAS,2016,4.5104
REGION1,DEMAGRELCJ02,SEA1BAS,2017,4.769
REGION1,DEMAGRELCJ02,SEA1BAS,2018,5.0275
REGION1,DEMAGRELCJ02,SEA1BAS,2019,5.2859
REGION1,DEMAGRELCJ02,SEA1BAS,2020,5.5443
REGION1,DEMAGRELCJ02,SEA1BAS,2021,5.9515
REGION1,DEMAGRELCJ02,SEA1BAS,2022,6.3586
REGION1,DEMAGRELCJ02,SEA1BAS,2023,6.7655
REGION1,DEMAGRELCJ02,SEA1BAS,2024,7.1724
REGION1,DEMAGRELCJ02,SEA1BAS,2025,7.5792
REGION1,DEMAGRELCJ02,SEA1BAS,2026,7.9858
REGION1,DEMAGRELCJ02,SEA1BAS,2027,8.3924
REGION1,DEMAGRELCJ02,SEA1BAS,2028,8.7989
REGION1,DEMAGRELCJ02,SEA1BAS,2029,9.2053
