r,t,TotalTechnologyModelPeriodActivity
REGION1,DEMAGRDSL,1861.5
REGION1,DEMAGRELCJ02,131.3392
REGION1,DEMAGRELCK02,13.8754
REGION1,DEMAGRELCL02,16.9387
REGION1,DEMAGRELCM02,2.5759
REGION1,DEMAGRELCN02,12.7627
REGION1,DEMAGRELCP02,3.6336
REGION1,DEMAGRELCS02,49.9937
REGION1,DEMAGRSURJWA,230.0333
REGION1,DEMAGRSURKAN,0.0004
REGION1,DEMAGRSURMLU,44.8352
REGION1,DEMAGRSURNUA,131.0974
REGION1,DEMAGRSURSLI,213.134
REGION1,DEMAGRSURSMA,0.0021
REGION1,DEMCOMBIO,195.35
REGION1,DEMCOMDSL,527.72
REGION1,DEMCOMELCJ02,2643.1673
REGION1,DEMCOMELCK02,279.2385
REGION1,DEMCOMELCL02,340.8874
REGION1,DEMCOMELCM02,51.8401
REGION1,DEMCOMELCN02,256.8456
REGION1,DEMCOMELCP02,73.1252
REGION1,DEMCOMELCS02,1006.1095
REGION1,DEMCOMKER,22.93
REGION1,DEMCOMLPG,175.56
REGION1,DEMCOMNGS,193.96
REGION1,DEMINDBIO,6185.41
REGION1,DEMINDCOA,9459.21
REGION1,DEMINDDSL,3689.06
REGION1,DEMINDELCJ02,3321.6628
REGION1,DEMINDELCK02,350.9184
REGION1,DEMINDELCL02,428.3925
REGION1,DEMINDELCM02,65.1473
REGION1,DEMINDELCN02,322.7774
REGION1,DEMINDELCP02,91.8962
REGION1,DEMINDELCS02,1264.3757
REGION1,DEMINDHFO,981.62
REGION1,DEMINDKER,26.91
REGION1,DEMINDLPG,95.76
REGION1,DEMINDNGS,10870.23
REGION1,DEMINDOHC,2682.48
REGION1,DEMOTHCRU,126891.79
REGION1,DEMOTHHFO,157.62
REGION1,DEMOTHKER,18.95
REGION1,DEMOTHNGS,3837.29
REGION1,DEMOTHOHC,2468.0
REGION1,DEMPWRCOA,14824.569
REGION1,DEMPWRDSL,5281.6747
REGION1,DEMPWRGEO,260.7402
REGION1,DEMPWRHYD,796.5239
REGION1,DEMPWRNGS,21584.074
REGION1,DEMPWRSURJWA,168.6767
REGION1,DEMPWRSURKAN,15.2538
REGION1,DEMPWRSURSLI,0.0409
REGION1,DEMPWRSURSMA,49.3312
REGION1,DEMPWRWND,9.4708
REGION1,DEMRESBIO,47580.29
REGION1,DEMRESELCJ02,4432.7653
REGION1,DEMRESELCK02,468.3013
REGION1,DEMRESELCL02,571.6906
REGION1,DEMRESELCM02,86.9392
REGION1,DEMRESELCN02,430.747
REGION1,DEMRESELCP02,122.6357
REGION1,DEMRESELCS02,1687.3118
REGION1,DEMRESKER,410.0
REGION1,DEMRESLPG,6354.56
REGION1,DEMRESNGS,20.98
REGION1,DEMTRADSL,15746.77
REGION1,DEMTRAGSL,24009.69
REGION1,DEMTRAHFO,18.96
REGION1,DEMTRAKER,2823.15
REGION1,DEMTRANGS,37.55
REGION1,IMPCRU,168485.77
REGION1,IMPDSL,6776.2148
REGION1,IMPGSL,13317.395
REGION1,IMPLPG,6114.6191
REGION1,LNDAGRJWAC01,342.3155
REGION1,LNDAGRJWAC02,1808.3703
REGION1,LNDAGRKANC01,6670.4314
REGION1,LNDAGRKANC02,380.0883
REGION1,LNDAGRKANC03,742.4706
REGION1,LNDAGRMLUC01,290.378
REGION1,LNDAGRMLUC02,1577.0123
REGION1,LNDAGRNUAC01,446.1906
REGION1,LNDAGRNUAC02,971.4679
REGION1,LNDAGRPPAC01,1313.7834
REGION1,LNDAGRPPAC02,5016.6932
REGION1,LNDAGRSLIC01,2239.2158
REGION1,LNDAGRSLIC02,1101.3117
REGION1,LNDAGRSMAC01,6096.7577
REGION1,LNDAGRSMAC02,577.2148
REGION1,LNDAGRSMAC03,826.2789
REGION1,LNDBLTJWA,319.381
REGION1,LNDBLTKAN,60.872
REGION1,LNDBLTMLU,10.371
REGION1,LNDBLTNUA,34.646
REGION1,LNDBLTPPA,19.416
REGION1,LNDBLTSLI,57.789
REGION1,LNDBLTSMA,164.936
REGION1,LNDCP01HRIND,427.2372
REGION1,LNDCP02HIIND,37.5267
