r,t,y,TotalCapacityAnnual
REGION1,DEMAGRDSL,2015,99999999.0
REGION1,DEMAGRDSL,2016,99999999.0
REGION1,DEMAGRDSL,2017,99999999.0
REGION1,DEMAGRDSL,2018,99999999.0
REGION1,DEMAGRDSL,2019,99999999.0
REGION1,DEMAGRDSL,2020,99999999.0
REGION1,DEMAGRDSL,2021,99999999.0
REGION1,DEMAGRDSL,2022,99999999.0
REGION1,DEMAGRDSL,2023,99999999.0
REGION1,DEMAGRDSL,2024,99999999.0
REGION1,DEMAGRDSL,2025,99999999.0
REGION1,DEMAGRDSL,2026,99999999.0
REGION1,DEMAGRDSL,2027,99999999.0
REGION1,DEMAGRDSL,2028,99999999.0
REGION1,DEMAGRDSL,2029,99999999.0
REGION1,DEMAGRDSL,2030,99999999.0
REGION1,DEMAGRELCJ02,2015,0.2196
REGION1,DEMAGRELCJ02,2016,0.2196
REGION1,DEMAGRELCJ02,2017,0.2322
REGION1,DEMAGRELCJ02,2018,0.2448
REGION1,DEMAGRELCJ02,2019,0.2574
REGION1,DEMAGRELCJ02,2020,0.2699
REGION1,DEMAGRELCJ02,2021,0.2898
REGION1,DEMAGRELCJ02,2022,0.3096
REGION1,DEMAGRELCJ02,2023,0.3294
REGION1,DEMAGRELCJ02,2024,0.3492
REGION1,DEMAGRELCJ02,2025,0.369
REGION1,DEMAGRELCJ02,2026,0.3888
REGION1,DEMAGRELCJ02,2027,0.4086
REGION1,DEMAGRELCJ02,2028,0.4284
REGION1,DEMAGRELCJ02,2029,0.4482
REGION1,DEMAGRELCJ02,2030,0.468
REGION1,DEMAGRELCK02,2015,0.0232
REGION1,DEMAGRELCK02,2016,0.0232
REGION1,DEMAGRELCK02,2017,0.0245
REGION1,DEMAGRELCK02,2018,0.0259
REGION1,DEMAGRELCK02,2019,0.0272
REGION1,DEMAGRELCK02,2020,0.0285
REGION1,DEMAGRELCK02,2021,0.0306
REGION1,DEMAGRELCK02,2022,0.0327
REGION1,DEMAGRELCK02,2023,0.0348
REGION1,DEMAGRELCK02,2024,0.0369
REGION1,DEMAGRELCK02,2025,0.039
REGION1,DEMAGRELCK02,2026,0.0411
REGION1,DEMAGRELCK02,2027,0.0432
REGION1,DEMAGRELCK02,2028,0.0453
REGION1,DEMAGRELCK02,2029,0.0474
REGION1,DEMAGRELCK02,2030,0.0494
REGION1,DEMAGRELCL02,2015,0.0283
REGION1,DEMAGRELCL02,2016,0.0283
REGION1,DEMAGRELCL02,2017,0.0299
REGION1,DEMAGRELCL02,2018,0.0316
REGION1,DEMAGRELCL02,2019,0.0332
REGION1,DEMAGRELCL02,2020,0.0348
REGION1,DEMAGRELCL02,2021,0.0374
REGION1,DEMAGRELCL02,2022,0.0399
REGION1,DEMAGRELCL02,2023,0.0425
