r,t,y,TotalTechnologyAnnualActivity
REGION1,DEMAGRDSL,2015,78.13
REGION1,DEMAGRDSL,2016,78.13
REGION1,DEMAGRDSL,2017,82.6
REGION1,DEMAGRDSL,2018,87.08
REGION1,DEMAGRDSL,2019,91.56
REGION1,DEMAGRDSL,2020,96.03
REGION1,DEMAGRDSL,2021,103.09
REGION1,DEMAGRDSL,2022,110.14
REGION1,DEMAGRDSL,2023,117.19
REGION1,DEMAGRDSL,2024,124.23
REGION1,DEMAGRDSL,2025,131.28
REGION1,DEMAGRDSL,2026,138.32
REGION1,DEMAGRDSL,2027,145.37
REGION1,DEMAGRDSL,2028,152.41
REGION1,DEMAGRDSL,2029,159.45
REGION1,DEMAGRDSL,2030,166.49
REGION1,DEMAGRELCJ02,2015,5.5123
REGION1,DEMAGRELCJ02,2016,5.5123
REGION1,DEMAGRELCJ02,2017,5.8283
REGION1,DEMAGRELCJ02,2018,6.1442
REGION1,DEMAGRELCJ02,2019,6.46
REGION1,DEMAGRELCJ02,2020,6.7758
REGION1,DEMAGRELCJ02,2021,7.2734
REGION1,DEMAGRELCJ02,2022,7.7709
REGION1,DEMAGRELCJ02,2023,8.2683
REGION1,DEMAGRELCJ02,2024,8.7655
REGION1,DEMAGRELCJ02,2025,9.2626
REGION1,DEMAGRELCJ02,2026,9.7596
REGION1,DEMAGRELCJ02,2027,10.2565
REGION1,DEMAGRELCJ02,2028,10.7532
REGION1,DEMAGRELCJ02,2029,11.25
REGION1,DEMAGRELCJ02,2030,11.7466
REGION1,DEMAGRELCK02,2015,0.5823
REGION1,DEMAGRELCK02,2016,0.5823
REGION1,DEMAGRELCK02,2017,0.6157
REGION1,DEMAGRELCK02,2018,0.6491
REGION1,DEMAGRELCK02,2019,0.6825
REGION1,DEMAGRELCK02,2020,0.7158
REGION1,DEMAGRELCK02,2021,0.7684
REGION1,DEMAGRELCK02,2022,0.821
REGION1,DEMAGRELCK02,2023,0.8735
REGION1,DEMAGRELCK02,2024,0.926
REGION1,DEMAGRELCK02,2025,0.9785
REGION1,DEMAGRELCK02,2026,1.0311
REGION1,DEMAGRELCK02,2027,1.0835
REGION1,DEMAGRELCK02,2028,1.136
REGION1,DEMAGRELCK02,2029,1.1885
REGION1,DEMAGRELCK02,2030,1.241
REGION1,DEMAGRELCL02,2015,0.7109
REGION1,DEMAGRELCL02,2016,0.7109
REGION1,DEMAGRELCL02,2017,0.7517
