r,t,e,y,AnnualTechnologyEmission
REGION1,DEMPWRCOA,CO2,2017,30.4388
REGION1,DEMPWRCOA,CO2,2018,24.775
REGION1,DEMPWRCOA,CO2,2019,23.1362
REGION1,DEMPWRCOA,CO2,2020,31.729
REGION1,DEMPWRCOA,CO2,2021,30.3205
REGION1,DEMPWRCOA,CO2,2022,31.0978
REGION1,DEMPWRCOA,CO2,2023,31.875
REGION1,DEMPWRCOA,CO2,2024,33.7791
REGION1,DEMPWRCOA,CO2,2025,33.7113
REGION1,DEMPWRCOA,CO2,2026,34.6326
REGION1,DEMPWRCOA,CO2,2027,36.5367
REGION1,DEMPWRCOA,CO2,2028,38.4407
REGION1,DEMPWRCOA,CO2,2029,40.3448
REGION1,DEMPWRCOA,CO2,2030,38.3051
REGION1,DEMPWRCOA,CO2,2031,40.2092
REGION1,DEMPWRCOA,CO2,2032,41.9036
REGION1,DEMPWRCOA,CO2,2033,43.8077
REGION1,DEMPWRCOA,CO2,2034,30.0605
REGION1,DEMPWRCOA,CO2,2035,31.9645
REGION1,DEMPWRCOA,CO2,2036,33.8686
REGION1,DEMPWRCOA,CO2,2037,35.7727
REGION1,DEMPWRCOA,CO2,2038,37.6768
REGION1,DEMPWRCOA,CO2,2039,39.5808
REGION1,DEMPWRCOA,CO2,2040,41.4849
REGION1,DEMPWRCOA,CO2,2041,43.389
REGION1,DEMPWRCOA,CO2,2042,45.2931
REGION1,DEMPWRCOA,CO2,2043,48.3239
REGION1,DEMPWRCOA,CO2,2044,51.6818
REGION1,DEMPWRCOA,CO2,2045,56.3228
REGION1,DEMPWRCOA,CO2,2046,61.1952
REGION1,DEMPWRCOA,CO2,2047,66.0675
REGION1,DEMPWRCOA,CO2,2048,70.9398
REGION1,DEMPWRCOA,CO2,2049,75.0853
REGION1,DEMPWRCOA,CO2,2050,79.3943
REGION1,DEMPWRDSL,CO2,2017,4.8685
REGION1,DEMPWRDSL,CO2,2019,0.809
REGION1,DEMPWRDSL,CO2,2024,0.0109
REGION1,DEMPWRDSL,CO2,2025,0.0173
REGION1,DEMPWRDSL,CO2,2027,0.0014
REGION1,DEMPWRDSL,CO2,2028,0.0006
REGION1,DEMPWRDSL,CO2,2030,0.0028
REGION1,DEMPWRDSL,CO2,2047,0.0003
REGION1,DEMPWRDSL,CO2,2048,0.0018
REGION1,DEMPWRDSL,CO2,2049,0.0028
REGION1,DEMPWRDSL,CO2,2050,0.0025
REGION1,DEMPWRHFO,CO2,2017,9.7252
REGION1,DEMPWRHFO,CO2,2018,10.1898
REGION1,DEMPWRHFO,CO2,2019,9.4367
REGION1,DEMPWRHFO,CO2,2020,7.4835
REGION1,DEMPWRHFO,CO2,2021,2.9316
