r,t,y,DiscountedSalvageValue
REGION1,PWRCOAA01,2022,0.5383
REGION1,PWRCOAA01,2023,1.0276
REGION1,PWRCOAA01,2024,1.4725
REGION1,PWRCOAA01,2025,1.8769
REGION1,PWRCOAA01,2026,2.2445
REGION1,PWRCOAA01,2027,2.5788
REGION1,PWRCOAA01,2028,2.8826
REGION1,PWRCOAA01,2029,3.1588
REGION1,PWRCOAA01,2030,3.4099
REGION1,PWRCOAA01,2031,3.6382
REGION1,PWRCOAA01,2032,3.8458
REGION1,PWRCOAA01,2033,4.0344
REGION1,PWRCOAA01,2034,4.2059
REGION1,PWRCOAA01,2035,4.3619
REGION1,PWRCOAA01,2036,4.5036
REGION1,PWRCOAA01,2037,4.6325
REGION1,PWRCOAA01,2038,4.7496
REGION1,PWRCOAA01,2039,4.8561
REGION1,PWRCOAA01,2040,4.9529
REGION1,PWRCOAA01,2041,5.0409
REGION1,PWRCOAA01,2042,5.1209
REGION1,PWRCOAA01,2043,5.1937
REGION1,PWRCOAA01,2044,5.2598
REGION1,PWRCOAA01,2045,5.3199
REGION1,PWRCOAA01,2046,5.3746
REGION1,PWRCOAA01,2047,5.4242
REGION1,PWRCOAA01,2048,5.4694
REGION1,PWRCOAA01,2049,5.5105
REGION1,PWRCOAA01,2050,5.5478
REGION1,PWRCOAE01,2022,0.7719
REGION1,PWRCOAE01,2023,1.4737
REGION1,PWRCOAE01,2024,2.1117
REGION1,PWRCOAE01,2025,2.6916
REGION1,PWRCOAE01,2026,3.2189
REGION1,PWRCOAE01,2027,3.6982
REGION1,PWRCOAE01,2028,4.1339
REGION1,PWRCOAE01,2029,4.53
REGION1,PWRCOAE01,2030,4.8901
REGION1,PWRCOAE01,2031,5.2175
REGION1,PWRCOAE01,2032,0.1102
REGION1,PWRCOAE01,2033,5.7857
REGION1,PWRCOAE01,2034,6.0316
REGION1,PWRCOAE01,2035,6.2553
REGION1,PWRCOAE01,2036,6.4585
REGION1,PWRCOAE01,2037,6.6433
REGION1,PWRCOAE01,2038,6.8113
REGION1,PWRCOAE01,2039,6.964
REGION1,PWRCOAE01,2040,7.1029
REGION1,PWRCOAE01,2041,7.2291
REGION1,PWRCOAE01,2042,7.3438
REGION1,PWRCOAE01,2043,7.4481
REGION1,PWRCOAE01,2044,7.543
REGION1,PWRCOAE01,2045,7.6292
REGION1,PWRCOAE01,2046,7.7076
REGION1,PWRCOAE01,2047,7.7788
REGION1,PWRCOAE01,2048,7.8436
REGION1,PWRCOAE01,2049,7.9025
REGION1,PWRCOAE01,2050,7.956
REGION1,PWRCOAF01,2024,2.945
REGION1,PWRCOAF01,2025,3.7538
REGION1,PWRCOAF01,2026,0.5738
REGION1,PWRCOAF01,2027,5.1575
REGION1,PWRCOAF01,2028,5.7652
REGION1,PWRCOAF01,2029,6.3177
REGION1,PWRCOAF01,2030,6.8199
REGION1,PWRCOAF01,2031,7.2765
REGION1,PWRCOAF01,2032,7.6915
REGION1,PWRCOAF01,2033,8.0688
