r,t,y,AnnualVariableOperatingCost
REGION1,DEMPWRBIO,2017,0.0057
REGION1,DEMPWRBIO,2018,0.0052
REGION1,DEMPWRBIO,2019,0.0048
REGION1,DEMPWRBIO,2024,0.0001
REGION1,DEMPWRBIO,2025,0.0
REGION1,DEMPWRBIO,2026,0.0
REGION1,DEMPWRBIO,2027,0.0
REGION1,DEMPWRBIO,2028,0.0
REGION1,DEMPWRBIO,2030,0.0
REGION1,DEMPWRBIO,2031,0.0
REGION1,DEMPWRBIO,2034,0.0
REGION1,DEMPWRBIO,2035,0.0
REGION1,DEMPWRBIO,2036,0.0
REGION1,DEMPWRBIO,2037,0.0
REGION1,DEMPWRBIO,2038,0.0
REGION1,DEMPWRBIO,2039,0.0
REGION1,DEMPWRBIO,2040,0.0
REGION1,DEMPWRBIO,2041,0.0
REGION1,DEMPWRBIO,2044,0.0
REGION1,DEMPWRBIO,2045,0.0
REGION1,DEMPWRBIO,2046,0.0001
REGION1,DEMPWRBIO,2047,0.0002
REGION1,DEMPWRBIO,2048,0.0002
REGION1,DEMPWRBIO,2049,0.0003
REGION1,DEMPWRBIO,2050,0.0005
REGION1,DEMPWRCOA,2017,0.0328
REGION1,DEMPWRCOA,2018,0.0267
REGION1,DEMPWRCOA,2019,0.0249
REGION1,DEMPWRCOA,2020,0.0342
REGION1,DEMPWRCOA,2021,0.0326
REGION1,DEMPWRCOA,2022,0.0335
REGION1,DEMPWRCOA,2023,0.0343
REGION1,DEMPWRCOA,2024,0.0364
REGION1,DEMPWRCOA,2025,0.0363
REGION1,DEMPWRCOA,2026,0.0373
REGION1,DEMPWRCOA,2027,0.0393
REGION1,DEMPWRCOA,2028,0.0414
REGION1,DEMPWRCOA,2029,0.0434
REGION1,DEMPWRCOA,2030,0.0412
REGION1,DEMPWRCOA,2031,0.0433
REGION1,DEMPWRCOA,2032,0.0451
REGION1,DEMPWRCOA,2033,0.0472
REGION1,DEMPWRCOA,2034,0.0324
REGION1,DEMPWRCOA,2035,0.0344
REGION1,DEMPWRCOA,2036,0.0365
REGION1,DEMPWRCOA,2037,0.0385
REGION1,DEMPWRCOA,2038,0.0406
REGION1,DEMPWRCOA,2039,0.0426
REGION1,DEMPWRCOA,2040,0.0447
REGION1,DEMPWRCOA,2041,0.0467
REGION1,DEMPWRCOA,2042,0.0488
REGION1,DEMPWRCOA,2043,0.052
REGION1,DEMPWRCOA,2044,0.0556
REGION1,DEMPWRCOA,2045,0.0606
REGION1,DEMPWRCOA,2046,0.0659
REGION1,DEMPWRCOA,2047,0.0711
REGION1,DEMPWRCOA,2048,0.0764
REGION1,DEMPWRCOA,2049,0.0808
REGION1,DEMPWRCOA,2050,0.0855
REGION1,DEMPWRDSL,2017,0.007
REGION1,DEMPWRDSL,2019,0.0012
REGION1,DEMPWRDSL,2024,0.0
REGION1,DEMPWRDSL,2025,0.0
REGION1,DEMPWRDSL,2027,0.0
REGION1,DEMPWRDSL,2028,0.0
REGION1,DEMPWRDSL,2030,0.0
REGION1,DEMPWRDSL,2047,0.0
REGION1,DEMPWRDSL,2048,0.0
REGION1,DEMPWRDSL,2049,0.0
REGION1,DEMPWRDSL,2050,0.0
REGION1,DEMPWRGEO,2017,0.0032
REGION1,DEMPWRGEO,2018,0.0032
REGION1,DEMPWRGEO,2019,0.0017
REGION1,DEMPWRGEO,2020,0.0076
REGION1,DEMPWRGEO,2021,0.0095
REGION1,DEMPWRGEO,2022,0.0115
REGION1,DEMPWRGEO,2023,0.0134
REGION1,DEMPWRGEO,2024,0.0155
REGION1,DEMPWRGEO,2025,0.0177
REGION1,DEMPWRGEO,2026,0.0199
REGION1,DEMPWRGEO,2027,0.0221
REGION1,DEMPWRGEO,2028,0.0243
REGION1,DEMPWRGEO,2029,0.0264
REGION1,DEMPWRGEO,2030,0.0286
REGION1,DEMPWRGEO,2031,0.0305
REGION1,DEMPWRGEO,2032,0.0325
REGION1,DEMPWRGEO,2033,0.0344
REGION1,DEMPWRGEO,2034,0.0363
REGION1,DEMPWRGEO,2035,0.0382
REGION1,DEMPWRGEO,2036,0.0397
REGION1,DEMPWRGEO,2037,0.0411
REGION1,DEMPWRGEO,2038,0.0423
REGION1,DEMPWRGEO,2039,0.0426
REGION1,DEMPWRGEO,2040,0.0426
REGION1,DEMPWRGEO,2041,0.0426
REGION1,DEMPWRGEO,2042,0.0426
REGION1,DEMPWRGEO,2043,0.0426
REGION1,DEMPWRGEO,2044,0.0426
REGION1,DEMPWRGEO,2045,0.0426
REGION1,DEMPWRGEO,2046,0.0426
REGION1,DEMPWRGEO,2047,0.0426
REGION1,DEMPWRGEO,2048,0.0426
REGION1,DEMPWRGEO,2049,0.0426
REGION1,DEMPWRGEO,2050,0.0426
REGION1,DEMPWRHFO,2017,0.014
REGION1,DEMPWRHFO,2018,0.0147
REGION1,DEMPWRHFO,2019,0.0136
REGION1,DEMPWRHFO,2020,0.0108
REGION1,DEMPWRHFO,2021,0.0042
REGION1,DEMPWRHFO,2022,0.0034
REGION1,DEMPWRHFO,2023,0.0034
REGION1,DEMPWRHFO,2024,0.002
REGION1,DEMPWRHFO,2025,0.0023
REGION1,DEMPWRHFO,2026,0.0023
REGION1,DEMPWRHFO,2027,0.0022
REGION1,DEMPWRHFO,2028,0.0029
REGION1,DEMPWRHFO,2029,0.0028
REGION1,DEMPWRHFO,2030,0.0006
REGION1,DEMPWRHFO,2031,0.0007
REGION1,DEMPWRHFO,2032,0.0008
REGION1,DEMPWRHFO,2033,0.001
