r,t,y,AccumulatedNewCapacity
REGION1,DEMAGRDSL,2017,99999.0
REGION1,DEMAGRDSL,2018,99999.0
REGION1,DEMAGRDSL,2019,99999.0
REGION1,DEMAGRDSL,2020,99999.0
REGION1,DEMAGRDSL,2021,99999.0
REGION1,DEMAGRDSL,2022,99999.0
REGION1,DEMAGRDSL,2023,99999.0
REGION1,DEMAGRDSL,2024,99999.0
REGION1,DEMAGRDSL,2025,99999.0
REGION1,DEMAGRDSL,2026,99999.0
REGION1,DEMAGRDSL,2027,99999.0
REGION1,DEMAGRDSL,2028,99999.0
REGION1,DEMAGRDSL,2029,99999.0
REGION1,DEMAGRDSL,2030,99999.0
REGION1,DEMAGRDSL,2031,99999.0
REGION1,DEMAGRDSL,2032,99999.0
REGION1,DEMAGRDSL,2033,99999.0
REGION1,DEMAGRDSL,2034,99999.0
REGION1,DEMAGRDSL,2035,99999.0
REGION1,DEMAGRDSL,2036,99999.0
REGION1,DEMAGRDSL,2037,99999.0
REGION1,DEMAGRDSL,2038,99999.0
REGION1,DEMAGRDSL,2039,99999.0
REGION1,DEMAGRDSL,2040,99999.0
REGION1,DEMAGRDSL,2041,99999.0
REGION1,DEMAGRDSL,2042,99999.0
REGION1,DEMAGRDSL,2043,99999.0
REGION1,DEMAGRDSL,2044,99999.0
REGION1,DEMAGRDSL,2045,99999.0
REGION1,DEMAGRDSL,2046,99999.0
REGION1,DEMAGRDSL,2047,99999.0
REGION1,DEMAGRDSL,2048,99999.0
REGION1,DEMAGRDSL,2049,99999.0
REGION1,DEMAGRDSL,2050,99999.0
REGION1,DEMAGRGWTBCA,2017,99999.0
REGION1,DEMAGRGWTBCA,2018,99999.0
REGION1,DEMAGRGWTBCA,2019,99999.0
REGION1,DEMAGRGWTBCA,2020,99999.0
REGION1,DEMAGRGWTBCA,2021,99999.0
REGION1,DEMAGRGWTBCA,2022,99999.0
REGION1,DEMAGRGWTBCA,2023,99999.0
REGION1,DEMAGRGWTBCA,2024,99999.0
REGION1,DEMAGRGWTBCA,2025,99999.0
REGION1,DEMAGRGWTBCA,2026,99999.0
REGION1,DEMAGRGWTBCA,2027,99999.0
REGION1,DEMAGRGWTBCA,2028,99999.0
REGION1,DEMAGRGWTBCA,2029,99999.0
REGION1,DEMAGRGWTBCA,2030,99999.0
REGION1,DEMAGRGWTBCA,2031,99999.0
REGION1,DEMAGRGWTBCA,2032,99999.0
REGION1,DEMAGRGWTBCA,2033,99999.0
REGION1,DEMAGRGWTBCA,2034,99999.0
REGION1,DEMAGRGWTBCA,2035,99999.0
REGION1,DEMAGRGWTBCA,2036,99999.0
