r,l,f,y,Demand
REGION1,SEA1WDDP1,RESELCB02,2017,7.5998
REGION1,SEA1WDDP1,RESELCB02,2018,7.8198
REGION1,SEA1WDDP1,RESELCB02,2019,8.1657
REGION1,SEA1WDDP1,RESELCB02,2020,8.5435
REGION1,SEA1WDDP1,RESELCB02,2021,8.6867
REGION1,SEA1WDDP1,RESELCB02,2022,8.7976
REGION1,SEA1WDDP1,RESELCB02,2023,8.9195
REGION1,SEA1WDDP1,RESELCB02,2024,9.4638
REGION1,SEA1WDDP1,RESELCB02,2025,9.8201
REGION1,SEA1WDDP1,RESELCB02,2026,10.022
REGION1,SEA1WDDP1,RESELCB02,2027,10.2547
REGION1,SEA1WDDP1,RESELCB02,2028,10.3057
REGION1,SEA1WDDP1,RESELCB02,2029,10.5665
REGION1,SEA1WDDP1,RESELCB02,2030,11.0533
REGION1,SEA1WDDP1,RESELCB02,2031,11.5822
REGION1,SEA1WDDP1,RESELCB02,2032,11.8252
REGION1,SEA1WDDP1,RESELCB02,2033,12.1576
REGION1,SEA1WDDP1,RESELCB02,2034,12.4993
REGION1,SEA1WDDP1,RESELCB02,2035,12.8505
REGION1,SEA1WDDP1,RESELCB02,2036,13.2114
REGION1,SEA1WDDP1,RESELCB02,2037,13.5826
REGION1,SEA1WDDP1,RESELCB02,2038,13.9641
REGION1,SEA1WDDP1,RESELCB02,2039,14.3567
REGION1,SEA1WDDP1,RESELCB02,2040,14.76
REGION1,SEA1WDDP1,RESELCB02,2041,15.1749
REGION1,SEA1WDDP1,RESELCB02,2042,15.601
REGION1,SEA1WDDP1,RESELCB02,2043,16.0395
REGION1,SEA1WDDP1,RESELCB02,2044,16.4902
REGION1,SEA1WDDP1,RESELCB02,2045,16.9533
REGION1,SEA1WDDP1,RESELCB02,2046,17.4297
REGION1,SEA1WDDP1,RESELCB02,2047,17.9196
REGION1,SEA1WDDP1,RESELCB02,2048,18.4229
REGION1,SEA1WDDP1,RESELCB02,2049,18.9404
REGION1,SEA1WDDP1,RESELCB02,2050,19.4727
REGION1,SEA1WDDP1,RESELCC02,2017,10.2925
REGION1,SEA1WDDP1,RESELCC02,2018,10.64
REGION1,SEA1WDDP1,RESELCC02,2019,11.1752
REGION1,SEA1WDDP1,RESELCC02,2020,11.7553
REGION1,SEA1WDDP1,RESELCC02,2021,12.2184
REGION1,SEA1WDDP1,RESELCC02,2022,12.5844
REGION1,SEA1WDDP1,RESELCC02,2023,12.6035
REGION1,SEA1WDDP1,RESELCC02,2024,13.2392
REGION1,SEA1WDDP1,RESELCC02,2025,13.7897
REGION1,SEA1WDDP1,RESELCC02,2026,14.1378
REGION1,SEA1WDDP1,RESELCC02,2027,14.7403
REGION1,SEA1WDDP1,RESELCC02,2028,14.9662
REGION1,SEA1WDDP1,RESELCC02,2029,15.08
REGION1,SEA1WDDP1,RESELCC02,2030,15.6528
REGION1,SEA1WDDP1,RESELCC02,2031,16.3336
REGION1,SEA1WDDP1,RESELCC02,2032,16.9909
REGION1,SEA1WDDP1,RESELCC02,2033,17.546
REGION1,SEA1WDDP1,RESELCC02,2034,18.1189
REGION1,SEA1WDDP1,RESELCC02,2035,18.711
REGION1,SEA1WDDP1,RESELCC02,2036,19.3217
REGION1,SEA1WDDP1,RESELCC02,2037,19.9529
REGION1,SEA1WDDP1,RESELCC02,2038,20.6049
REGION1,SEA1WDDP1,RESELCC02,2039,21.2778
REGION1,SEA1WDDP1,RESELCC02,2040,21.9728
REGION1,SEA1WDDP1,RESELCC02,2041,22.6905
REGION1,SEA1WDDP1,RESELCC02,2042,23.4312
REGION1,SEA1WDDP1,RESELCC02,2043,24.1967
REGION1,SEA1WDDP1,RESELCC02,2044,24.9869
REGION1,SEA1WDDP1,RESELCC02,2045,25.8033
REGION1,SEA1WDDP1,RESELCC02,2046,26.6457
REGION1,SEA1WDDP1,RESELCC02,2047,27.5164
REGION1,SEA1WDDP1,RESELCC02,2048,28.4149
REGION1,SEA1WDDP1,RESELCC02,2049,29.3429
REGION1,SEA1WDDP1,RESELCC02,2050,30.3014
REGION1,SEA1WDDP1,RESELCD02,2017,2.8638
REGION1,SEA1WDDP1,RESELCD02,2018,2.9627
REGION1,SEA1WDDP1,RESELCD02,2019,3.1299
REGION1,SEA1WDDP1,RESELCD02,2020,3.2983
REGION1,SEA1WDDP1,RESELCD02,2021,3.352
REGION1,SEA1WDDP1,RESELCD02,2022,3.4002
REGION1,SEA1WDDP1,RESELCD02,2023,3.4832
REGION1,SEA1WDDP1,RESELCD02,2024,3.6868
REGION1,SEA1WDDP1,RESELCD02,2025,3.8338
REGION1,SEA1WDDP1,RESELCD02,2026,3.8857
REGION1,SEA1WDDP1,RESELCD02,2027,3.9771
REGION1,SEA1WDDP1,RESELCD02,2028,4.0622
REGION1,SEA1WDDP1,RESELCD02,2029,4.1757
REGION1,SEA1WDDP1,RESELCD02,2030,4.3744
REGION1,SEA1WDDP1,RESELCD02,2031,4.5349
REGION1,SEA1WDDP1,RESELCD02,2032,4.5844
REGION1,SEA1WDDP1,RESELCD02,2033,4.7374
REGION1,SEA1WDDP1,RESELCD02,2034,4.8958
REGION1,SEA1WDDP1,RESELCD02,2035,5.0593
REGION1,SEA1WDDP1,RESELCD02,2036,5.2285
REGION1,SEA1WDDP1,RESELCD02,2037,5.4031
REGION1,SEA1WDDP1,RESELCD02,2038,5.5837
REGION1,SEA1WDDP1,RESELCD02,2039,5.7703
REGION1,SEA1WDDP1,RESELCD02,2040,5.9633
REGION1,SEA1WDDP1,RESELCD02,2041,6.1626
REGION1,SEA1WDDP1,RESELCD02,2042,6.3685
REGION1,SEA1WDDP1,RESELCD02,2043,6.5814
REGION1,SEA1WDDP1,RESELCD02,2044,6.8013
REGION1,SEA1WDDP1,RESELCD02,2045,7.0288
REGION1,SEA1WDDP1,RESELCD02,2046,7.2636
REGION1,SEA1WDDP1,RESELCD02,2047,7.5063
REGION1,SEA1WDDP1,RESELCD02,2048,7.7572
REGION1,SEA1WDDP1,RESELCD02,2049,8.0164
REGION1,SEA1WDDP1,RESELCD02,2050,8.2845
REGION1,SEA1WDDP1,RESELCE02,2017,3.5494
REGION1,SEA1WDDP1,RESELCE02,2018,3.6638
REGION1,SEA1WDDP1,RESELCE02,2019,3.8466
REGION1,SEA1WDDP1,RESELCE02,2020,4.0337
REGION1,SEA1WDDP1,RESELCE02,2021,4.1944
REGION1,SEA1WDDP1,RESELCE02,2022,4.3139
REGION1,SEA1WDDP1,RESELCE02,2023,4.3331
REGION1,SEA1WDDP1,RESELCE02,2024,4.6082
REGION1,SEA1WDDP1,RESELCE02,2025,4.7596
REGION1,SEA1WDDP1,RESELCE02,2026,4.844
REGION1,SEA1WDDP1,RESELCE02,2027,5.0624
REGION1,SEA1WDDP1,RESELCE02,2028,5.1444
REGION1,SEA1WDDP1,RESELCE02,2029,5.1386
REGION1,SEA1WDDP1,RESELCE02,2030,5.389
REGION1,SEA1WDDP1,RESELCE02,2031,5.637
REGION1,SEA1WDDP1,RESELCE02,2032,5.7535
REGION1,SEA1WDDP1,RESELCE02,2033,5.9331
REGION1,SEA1WDDP1,RESELCE02,2034,6.1189
REGION1,SEA1WDDP1,RESELCE02,2035,6.3101
REGION1,SEA1WDDP1,RESELCE02,2036,6.5074
REGION1,SEA1WDDP1,RESELCE02,2037,6.7109
REGION1,SEA1WDDP1,RESELCE02,2038,6.9206
REGION1,SEA1WDDP1,RESELCE02,2039,7.1368
