r,t,f,y,UseByTechnologyAnnual
REGION1,DEMPWRBIO,BIO,2017,56.6923
REGION1,DEMPWRBIO,BIO,2018,52.2308
REGION1,DEMPWRBIO,BIO,2019,47.8461
REGION1,DEMPWRBIO,BIO,2024,0.6768
REGION1,DEMPWRBIO,BIO,2025,0.0518
REGION1,DEMPWRBIO,BIO,2026,0.0073
REGION1,DEMPWRBIO,BIO,2027,0.0518
REGION1,DEMPWRBIO,BIO,2028,0.1316
REGION1,DEMPWRBIO,BIO,2030,0.0518
REGION1,DEMPWRBIO,BIO,2031,0.0281
REGION1,DEMPWRBIO,BIO,2034,0.0281
REGION1,DEMPWRBIO,BIO,2035,0.0281
REGION1,DEMPWRBIO,BIO,2036,0.0281
REGION1,DEMPWRBIO,BIO,2037,0.0281
REGION1,DEMPWRBIO,BIO,2038,0.0281
REGION1,DEMPWRBIO,BIO,2039,0.0281
REGION1,DEMPWRBIO,BIO,2040,0.0281
REGION1,DEMPWRBIO,BIO,2041,0.0134
REGION1,DEMPWRBIO,BIO,2044,0.0281
REGION1,DEMPWRBIO,BIO,2045,0.0281
REGION1,DEMPWRBIO,BIO,2046,1.0832
REGION1,DEMPWRBIO,BIO,2047,1.837
REGION1,DEMPWRBIO,BIO,2048,2.0263
REGION1,DEMPWRBIO,BIO,2049,3.4186
REGION1,DEMPWRBIO,BIO,2050,4.9149
REGION1,DEMPWRCOA,COA,2017,327.6514
REGION1,DEMPWRCOA,COA,2018,266.6851
REGION1,DEMPWRCOA,COA,2019,249.0441
REGION1,DEMPWRCOA,COA,2020,341.5394
REGION1,DEMPWRCOA,COA,2021,326.3778
REGION1,DEMPWRCOA,COA,2022,334.7446
REGION1,DEMPWRCOA,COA,2023,343.1113
REGION1,DEMPWRCOA,COA,2024,363.6073
REGION1,DEMPWRCOA,COA,2025,362.8771
REGION1,DEMPWRCOA,COA,2026,372.7944
REGION1,DEMPWRCOA,COA,2027,393.2903
REGION1,DEMPWRCOA,COA,2028,413.7863
REGION1,DEMPWRCOA,COA,2029,434.2823
REGION1,DEMPWRCOA,COA,2030,412.3259
REGION1,DEMPWRCOA,COA,2031,432.8219
REGION1,DEMPWRCOA,COA,2032,451.0618
REGION1,DEMPWRCOA,COA,2033,471.5577
REGION1,DEMPWRCOA,COA,2034,323.5787
REGION1,DEMPWRCOA,COA,2035,344.0747
REGION1,DEMPWRCOA,COA,2036,364.5707
REGION1,DEMPWRCOA,COA,2037,385.0667
REGION1,DEMPWRCOA,COA,2038,405.5626
REGION1,DEMPWRCOA,COA,2039,426.0586
REGION1,DEMPWRCOA,COA,2040,446.5545
REGION1,DEMPWRCOA,COA,2041,467.0505
REGION1,DEMPWRCOA,COA,2042,487.5465
REGION1,DEMPWRCOA,COA,2043,520.1709
REGION1,DEMPWRCOA,COA,2044,556.3167
REGION1,DEMPWRCOA,COA,2045,606.274
REGION1,DEMPWRCOA,COA,2046,658.7209
REGION1,DEMPWRCOA,COA,2047,711.1678
REGION1,DEMPWRCOA,COA,2048,763.6147
REGION1,DEMPWRCOA,COA,2049,808.2383
REGION1,DEMPWRCOA,COA,2050,854.6206
REGION1,DEMPWRDSL,DSL,2017,70.2531
REGION1,DEMPWRDSL,DSL,2019,11.6742
