r,t,TotalTechnologyModelPeriodActivity
REGION1,PWRTRNDJ1,164.023
REGION1,PWRTRNE01,6415.4752
REGION1,PWRTRNEC1,86.6755
REGION1,PWRTRNED1,43.5284
REGION1,PWRTRNEF1,101.0992
REGION1,PWRTRNF01,13924.019
REGION1,PWRTRNFB1,68.4777
REGION1,PWRTRNFC1,516.6628
REGION1,PWRTRNFE1,85.7153
REGION1,PWRTRNG01,3397.3305
REGION1,PWRTRNH01,3287.4441
REGION1,PWRTRNI01,735.2386
REGION1,PWRTRNJ01,473.7194
REGION1,PWRTRNJI1,287.6274
REGION1,PWRTRNP01,952.8588
REGION1,PWRTRNPA1,57.8027
REGION1,PWRTRNPB1,200.0826
REGION1,PWRTRNPC1,21.8034
REGION1,PWRURNB01,1985.37
REGION1,PWRWNDB01,966.5964
REGION1,PWRWNDC01,255.0813
REGION1,PWRWNDD01,1.1293
REGION1,PWRWNDF01,616.7835
REGION1,PWRWNDG01,57.4781
REGION1,PWRWNDH01,3.2939
REGION1,PWRWNDJ01,0.0097
REGION1,RNWBIO,171.3147
REGION1,RNWGEO,10104.851
REGION1,RNWHYD,5913.6822
REGION1,RNWSOL,12471.518
REGION1,RNWWND,1900.3721
